Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PO1,NaN,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,2,3,A,1,1,D
PO1,NaN,Górnik Łęczna,Wisła Kraków,1,1,D,1,1,D
PO1,NaN,Jagiellonia Białystok,Lechia Gdańsk,2,2,D,2,1,H
PO1,NaN,Legia Warszawa,GKS Bełchatów,0,1,A,0,1,A
PO1,NaN,Lech Poznań,Piast Gliwice,4,0,H,2,0,H
PO1,NaN,Zawisza Bydgoszcz,Korona Kielce,2,0,H,0,0,D
PO1,NaN,Śląsk Wrocław,Ruch Chorzów,2,0,H,1,0,H
PO1,NaN,Górnik Zabrze,Cracovia Kraków,2,0,H,1,0,H
PO1,NaN,GKS Bełchatów,Korona Kielce,2,0,H,2,0,H
PO1,NaN,Lechia Gdańsk,Podbeskidzie Bielsko-Biała,1,0,H,1,0,H
PO1,NaN,Pogoń Szczecin,Śląsk Wrocław,4,1,H,1,1,D
PO1,NaN,Cracovia Kraków,Legia Warszawa,1,3,A,1,1,D
PO1,NaN,Ruch Chorzów,Górnik Łęczna,1,2,A,0,1,A
PO1,NaN,Zawisza Bydgoszcz,Jagiellonia Białystok,1,3,A,0,0,D
PO1,NaN,Górnik Zabrze,Lech Poznań,1,1,D,0,1,A
PO1,NaN,Wisła Kraków,Piast Gliwice,1,1,D,0,0,D
PO1,NaN,Jagiellonia Białystok,Cracovia Kraków,2,1,H,0,1,A
PO1,NaN,Piast Gliwice,Lechia Gdańsk,1,3,A,1,1,D
PO1,NaN,Korona Kielce,Pogoń Szczecin,2,2,D,1,1,D
PO1,NaN,Legia Warszawa,Górnik Zabrze,1,1,D,0,1,A
PO1,NaN,Śląsk Wrocław,Zawisza Bydgoszcz,2,1,H,2,1,H
PO1,NaN,Podbeskidzie Bielsko-Biała,Ruch Chorzów,3,0,H,0,0,D
PO1,NaN,Lech Poznań,Wisła Kraków,2,3,A,0,2,A
PO1,NaN,Górnik Łęczna,GKS Bełchatów,1,1,D,1,1,D
PO1,NaN,Cracovia Kraków,Korona Kielce,2,1,H,1,0,H
PO1,NaN,Górnik Zabrze,Jagiellonia Białystok,3,0,H,1,0,H
PO1,NaN,GKS Bełchatów,Śląsk Wrocław,2,0,H,1,0,H
PO1,NaN,Legia Warszawa,Górnik Łęczna,5,0,H,0,0,D
PO1,NaN,Lechia Gdańsk,Lech Poznań,1,2,A,1,0,H
PO1,NaN,Zawisza Bydgoszcz,Podbeskidzie Bielsko-Biała,1,2,A,1,0,H
PO1,NaN,Wisła Kraków,Ruch Chorzów,2,2,D,1,1,D
PO1,NaN,Pogoń Szczecin,Piast Gliwice,0,0,D,0,0,D
PO1,NaN,Korona Kielce,Górnik Zabrze,0,3,A,0,1,A
PO1,NaN,Jagiellonia Białystok,Legia Warszawa,0,3,A,0,2,A
PO1,NaN,Górnik Łęczna,Zawisza Bydgoszcz,5,2,H,3,1,H
PO1,NaN,Piast Gliwice,Ruch Chorzów,0,1,A,0,1,A
PO1,NaN,Lech Poznań,Pogoń Szczecin,1,1,D,0,1,A
PO1,NaN,Śląsk Wrocław,Cracovia Kraków,0,0,D,0,0,D
PO1,NaN,Wisła Kraków,Lechia Gdańsk,3,1,H,0,1,A
PO1,NaN,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1,1,D,0,0,D
PO1,NaN,Zawisza Bydgoszcz,Lechia Gdańsk,0,2,A,0,0,D
PO1,NaN,Pogoń Szczecin,Wisła Kraków,0,3,A,0,2,A
PO1,NaN,Cracovia Kraków,Podbeskidzie Bielsko-Biała,1,3,A,0,1,A
PO1,NaN,Górnik Zabrze,Górnik Łęczna,2,0,H,0,0,D
PO1,NaN,Jagiellonia Białystok,Śląsk Wrocław,1,3,A,1,0,H
PO1,NaN,Legia Warszawa,Korona Kielce,2,0,H,0,0,D
PO1,NaN,Ruch Chorzów,Lech Poznań,0,0,D,0,0,D
PO1,NaN,GKS Bełchatów,Piast Gliwice,0,0,D,0,0,D
PO1,NaN,Piast Gliwice,Zawisza Bydgoszcz,3,0,H,0,0,D
PO1,NaN,Wisła Kraków,GKS Bełchatów,1,0,H,1,0,H
PO1,NaN,Górnik Łęczna,Pogoń Szczecin,4,2,H,0,1,A
PO1,NaN,Śląsk Wrocław,Górnik Zabrze,2,0,H,1,0,H
PO1,NaN,Korona Kielce,Jagiellonia Białystok,0,3,A,0,2,A
PO1,NaN,Lechia Gdańsk,Ruch Chorzów,3,3,D,0,1,A
PO1,NaN,Podbeskidzie Bielsko-Biała,Legia Warszawa,2,1,H,2,1,H
PO1,NaN,Lech Poznań,Cracovia Kraków,1,1,D,0,1,A
PO1,NaN,Zawisza Bydgoszcz,Wisła Kraków,2,4,A,0,1,A
PO1,NaN,Pogoń Szczecin,Ruch Chorzów,1,1,D,0,1,A
PO1,NaN,Cracovia Kraków,Górnik Łęczna,2,1,H,1,1,D
PO1,NaN,Jagiellonia Białystok,Lech Poznań,1,0,H,1,0,H
PO1,NaN,Legia Warszawa,Śląsk Wrocław,4,3,H,3,1,H
PO1,NaN,Górnik Zabrze,Piast Gliwice,1,2,A,1,1,D
PO1,NaN,GKS Bełchatów,Lechia Gdańsk,1,1,D,1,0,H
PO1,NaN,Korona Kielce,Podbeskidzie Bielsko-Biała,2,1,H,1,1,D
PO1,NaN,Śląsk Wrocław,Korona Kielce,1,0,H,0,0,D
PO1,NaN,Lechia Gdańsk,Pogoń Szczecin,0,1,A,0,1,A
PO1,NaN,Piast Gliwice,Cracovia Kraków,4,2,H,3,0,H
PO1,NaN,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0,3,A,0,1,A
PO1,NaN,Lech Poznań,Zawisza Bydgoszcz,6,2,H,3,2,H
PO1,NaN,Ruch Chorzów,GKS Bełchatów,0,1,A,0,1,A
PO1,NaN,Wisła Kraków,Legia Warszawa,0,3,A,0,0,D
PO1,NaN,Górnik Łęczna,Jagiellonia Białystok,0,0,D,0,0,D
PO1,NaN,Korona Kielce,Piast Gliwice,1,0,H,0,0,D
PO1,NaN,Śląsk Wrocław,Górnik Łęczna,2,1,H,0,0,D
PO1,NaN,Zawisza Bydgoszcz,Ruch Chorzów,1,1,D,1,1,D
PO1,NaN,GKS Bełchatów,Pogoń Szczecin,1,0,H,1,0,H
PO1,NaN,Legia Warszawa,Lech Poznań,2,2,D,0,2,A
PO1,NaN,Górnik Zabrze,Lechia Gdańsk,2,2,D,1,0,H
PO1,NaN,Cracovia Kraków,Wisła Kraków,1,0,H,0,0,D
PO1,NaN,Jagiellonia Białystok,Podbeskidzie Bielsko-Biała,4,2,H,3,0,H
