Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ALB,23/08/2003,,FK Partizani,FK Vllaznia,4,1,H,NaN,NaN,NaN
ALB,23/08/2003,,KF Teuta Durrës,KS Shkumbini,1,0,H,NaN,NaN,NaN
ALB,23/08/2003,,FK Dinamo Tirana,KS Besa,2,0,H,NaN,NaN,NaN
ALB,23/08/2003,,KF Elbasani,KS Flamurtari Vlorë,2,1,H,NaN,NaN,NaN
ALB,23/08/2003,,KF Lushnja,KF Tiranë,0,6,A,NaN,NaN,NaN
ALB,30/08/2003,,FK Partizani,KF Lushnja,1,0,H,NaN,NaN,NaN
ALB,30/08/2003,,KS Flamurtari Vlorë,KF Tiranë,0,3,A,NaN,NaN,NaN
ALB,30/08/2003,,KS Besa,KF Elbasani,1,1,D,NaN,NaN,NaN
ALB,31/08/2003,,KS Shkumbini,FK Dinamo Tirana,1,4,A,NaN,NaN,NaN
ALB,02/09/2003,,FK Vllaznia,KF Teuta Durrës,0,2,A,NaN,NaN,NaN
ALB,12/09/2003,,KF Tiranë,KS Besa,7,1,H,NaN,NaN,NaN
ALB,13/09/2003,,KF Teuta Durrës,FK Partizani,1,1,D,NaN,NaN,NaN
ALB,13/09/2003,,FK Dinamo Tirana,FK Vllaznia,3,0,H,NaN,NaN,NaN
ALB,13/09/2003,,KF Elbasani,KS Shkumbini,5,0,H,NaN,NaN,NaN
ALB,13/09/2003,,KF Lushnja,KS Flamurtari Vlorë,1,0,H,NaN,NaN,NaN
ALB,20/09/2003,,KF Teuta Durrës,KF Lushnja,2,0,H,NaN,NaN,NaN
ALB,20/09/2003,,FK Partizani,FK Dinamo Tirana,2,1,H,NaN,NaN,NaN
ALB,20/09/2003,,FK Vllaznia,KF Elbasani,1,0,H,NaN,NaN,NaN
ALB,20/09/2003,,KS Shkumbini,KF Tiranë,1,3,A,NaN,NaN,NaN
ALB,20/09/2003,,KS Besa,KS Flamurtari Vlorë,0,0,D,NaN,NaN,NaN
ALB,26/09/2003,,FK Dinamo Tirana,KF Teuta Durrës,1,1,D,NaN,NaN,NaN
ALB,27/09/2003,,KF Tiranë,FK Vllaznia,3,2,H,NaN,NaN,NaN
ALB,27/09/2003,,KS Flamurtari Vlorë,KS Shkumbini,3,0,H,NaN,NaN,NaN
ALB,27/09/2003,,KF Lushnja,KS Besa,0,1,A,NaN,NaN,NaN
ALB,27/09/2003,,KF Elbasani,FK Partizani,0,0,D,NaN,NaN,NaN
ALB,03/10/2003,,FK Dinamo Tirana,KF Lushnja,0,0,D,NaN,NaN,NaN
ALB,04/10/2003,,FK Partizani,KF Tiranë,3,1,H,NaN,NaN,NaN
ALB,04/10/2003,,FK Vllaznia,KS Flamurtari Vlorë,3,1,H,NaN,NaN,NaN
ALB,04/10/2003,,KS Shkumbini,KS Besa,1,2,A,NaN,NaN,NaN
ALB,04/10/2003,,KF Teuta Durrës,KF Elbasani,3,1,H,NaN,NaN,NaN
ALB,08/10/2003,,KF Tiranë,KF Teuta Durrës,1,3,A,NaN,NaN,NaN
ALB,08/10/2003,,KF Elbasani,FK Dinamo Tirana,0,1,A,NaN,NaN,NaN
ALB,08/10/2003,,KS Flamurtari Vlorë,FK Partizani,0,3,A,NaN,NaN,NaN
ALB,08/10/2003,,KS Besa,FK Vllaznia,0,2,A,NaN,NaN,NaN
ALB,08/10/2003,,KF Lushnja,KS Shkumbini,0,0,D,NaN,NaN,NaN
ALB,17/10/2003,,FK Partizani,KS Besa,3,1,H,NaN,NaN,NaN
ALB,18/10/2003,,KF Elbasani,KF Lushnja,4,0,H,NaN,NaN,NaN
ALB,18/10/2003,,FK Dinamo Tirana,KF Tiranë,0,0,D,NaN,NaN,NaN
ALB,18/10/2003,,KF Teuta Durrës,KS Flamurtari Vlorë,2,0,H,NaN,NaN,NaN
ALB,18/10/2003,,FK Vllaznia,KS Shkumbini,4,0,H,NaN,NaN,NaN
ALB,25/10/2003,,KF Tiranë,KF Elbasani,0,0,D,NaN,NaN,NaN
ALB,25/10/2003,,KS Flamurtari Vlorë,FK Dinamo Tirana,2,3,A,NaN,NaN,NaN
ALB,25/10/2003,,KS Besa,KF Teuta Durrës,1,2,A,NaN,NaN,NaN
ALB,25/10/2003,,KS Shkumbini,FK Partizani,0,0,D,NaN,NaN,NaN
ALB,25/10/2003,,KF Lushnja,FK Vllaznia,2,1,H,NaN,NaN,NaN
ALB,01/11/2003,,FK Vllaznia,FK Partizani,2,1,H,NaN,NaN,NaN
ALB,01/11/2003,,KS Shkumbini,KF Teuta Durrës,0,0,D,NaN,NaN,NaN
ALB,01/11/2003,,KS Besa,FK Dinamo Tirana,0,0,D,NaN,NaN,NaN
ALB,01/11/2003,,KS Flamurtari Vlorë,KF Elbasani,1,1,D,NaN,NaN,NaN
ALB,01/11/2003,,KF Tiranë,KF Lushnja,2,1,H,NaN,NaN,NaN
ALB,07/11/2003,,KF Tiranë,KS Flamurtari Vlorë,2,1,H,NaN,NaN,NaN
ALB,08/11/2003,,FK Dinamo Tirana,KS Shkumbini,2,0,H,NaN,NaN,NaN
ALB,08/11/2003,,KF Elbasani,KS Besa,1,2,A,NaN,NaN,NaN
ALB,08/11/2003,,KF Teuta Durrës,FK Vllaznia,1,1,D,NaN,NaN,NaN
ALB,08/11/2003,,KF Lushnja,FK Partizani,1,0,H,NaN,NaN,NaN
ALB,19/11/2003,,FK Partizani,KF Teuta Durrës,3,1,H,NaN,NaN,NaN
ALB,19/11/2003,,KS Shkumbini,KF Elbasani,2,0,H,NaN,NaN,NaN
ALB,19/11/2003,,KS Besa,KF Tiranë,1,2,A,NaN,NaN,NaN
ALB,19/11/2003,,KS Flamurtari Vlorë,KF Lushnja,1,5,A,NaN,NaN,NaN
