Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ALG,07/09/2012,20:30,ASO Chlef,USM Bel Abbes,2,1,H,1,0,H
ALG,15/09/2012,16:00,USM El Harrach,JS Kabylie,1,0,H,1,0,H
ALG,15/09/2012,16:00,WA Tlemcen,MC Alger,0,3,A,0,3,A
ALG,15/09/2012,16:00,JS Saoura,CR Bélouizdad,0,1,A,0,0,D
ALG,15/09/2012,17:45,MC El Eulma,ES Sétif,1,1,D,0,0,D
ALG,15/09/2012,18:00,CA Batna,CA Bordj Bou Arreridj,1,1,D,0,1,A
ALG,15/09/2012,18:00,MC Oran,JSM Béjaïa,0,2,A,0,0,D
ALG,15/09/2012,18:00,USM Alger,CS Constantine,1,1,D,1,1,D
ALG,18/09/2012,17:45,MC Alger,JS Saoura,1,0,H,0,0,D
ALG,18/09/2012,18:00,MC El Eulma,USM Alger,3,2,H,0,1,A
ALG,18/09/2012,18:00,USM Bel Abbes,JSM Béjaïa,0,1,A,0,0,D
ALG,18/09/2012,18:00,CR Bélouizdad,ASO Chlef,1,0,H,0,0,D
ALG,18/09/2012,18:00,CS Constantine,MC Oran,4,3,H,3,2,H
ALG,18/09/2012,18:00,JS Kabylie,WA Tlemcen,3,0,H,1,0,H
ALG,18/09/2012,18:00,ES Sétif,CA Batna,6,0,H,3,0,H
ALG,18/09/2012,20:30,CA Bordj Bou Arreridj,USM El Harrach,0,1,A,0,1,A
ALG,22/09/2012,16:00,USM El Harrach,ES Sétif,0,0,D,0,0,D
ALG,22/09/2012,16:00,JS Saoura,JS Kabylie,2,1,H,1,0,H
ALG,22/09/2012,17:45,USM Alger,MC Alger,1,0,H,0,0,D
ALG,22/09/2012,17:45,MC Oran,USM Bel Abbes,1,1,D,0,1,A
ALG,22/09/2012,18:00,JSM Béjaïa,CR Bélouizdad,1,0,H,1,0,H
ALG,22/09/2012,18:00,CA Batna,MC El Eulma,2,1,H,1,0,H
ALG,22/09/2012,18:00,WA Tlemcen,CA Bordj Bou Arreridj,0,0,D,0,0,D
ALG,22/09/2012,18:00,ASO Chlef,CS Constantine,1,1,D,1,0,H
ALG,28/09/2012,16:45,CR Bélouizdad,USM Bel Abbes,0,0,D,0,0,D
ALG,29/09/2012,17:45,CS Constantine,JSM Béjaïa,2,2,D,0,0,D
ALG,29/09/2012,18:00,MC El Eulma,USM El Harrach,2,0,H,2,0,H
ALG,29/09/2012,18:00,CA Batna,USM Alger,0,3,A,0,1,A
ALG,29/09/2012,18:00,MC Alger,ASO Chlef,0,0,D,0,0,D
ALG,29/09/2012,18:00,JS Kabylie,MC Oran,0,0,D,0,0,D
ALG,29/09/2012,18:00,CA Bordj Bou Arreridj,JS Saoura,0,1,A,0,1,A
ALG,29/09/2012,18:00,ES Sétif,WA Tlemcen,3,1,H,1,0,H
ALG,05/10/2012,16:45,JSM Béjaïa,MC Alger,1,1,D,0,0,D
ALG,06/10/2012,16:00,USM El Harrach,CA Batna,2,0,H,2,0,H
ALG,06/10/2012,16:00,JS Saoura,ES Sétif,1,0,H,0,0,D
ALG,06/10/2012,17:45,ASO Chlef,JS Kabylie,0,2,A,0,0,D
ALG,06/10/2012,18:00,USM Bel Abbes,CS Constantine,0,2,A,0,0,D
ALG,06/10/2012,18:00,WA Tlemcen,MC El Eulma,1,0,H,0,0,D
ALG,06/10/2012,18:00,USM Alger,CA Bordj Bou Arreridj,0,1,A,0,1,A
ALG,06/10/2012,18:00,MC Oran,CR Bélouizdad,1,1,D,0,1,A
ALG,16/10/2012,16:00,USM El Harrach,ASO Chlef,2,0,H,1,0,H
ALG,16/10/2012,16:30,CS Constantine,CR Bélouizdad,1,0,H,0,0,D
ALG,16/10/2012,17:45,JS Kabylie,JSM Béjaïa,2,1,H,2,0,H
ALG,16/10/2012,18:00,MC El Eulma,JS Saoura,1,1,D,1,0,H
ALG,16/10/2012,18:00,CA Batna,WA Tlemcen,1,0,H,1,0,H
ALG,16/10/2012,18:00,MC Alger,USM Bel Abbes,3,1,H,2,0,H
ALG,16/10/2012,18:00,CA Bordj Bou Arreridj,MC Oran,1,1,D,1,1,D
ALG,16/10/2012,18:00,ES Sétif,USM Alger,1,0,H,0,0,D
ALG,20/10/2012,15:00,JS Saoura,CS Constantine,0,0,D,0,0,D
ALG,20/10/2012,17:45,USM Bel Abbes,CA Batna,1,0,H,1,0,H
ALG,20/10/2012,18:00,JSM Béjaïa,MC El Eulma,1,1,D,1,1,D
ALG,20/10/2012,18:00,CR Bélouizdad,MC Alger,0,0,D,0,0,D
ALG,20/10/2012,18:00,WA Tlemcen,USM El Harrach,1,2,A,1,1,D
ALG,20/10/2012,18:00,ASO Chlef,CA Bordj Bou Arreridj,0,1,A,0,1,A
ALG,20/10/2012,18:00,MC Oran,ES Sétif,0,2,A,0,1,A
ALG,30/10/2012,17:00,USM Alger,JS Kabylie,1,0,H,0,0,D
ALG,23/10/2012,16:00,CA Batna,JS Saoura,0,0,D,0,0,D
ALG,23/10/2012,16:00,USM El Harrach,USM Alger,0,0,D,0,0,D
ALG,23/10/2012,16:00,WA Tlemcen,ASO Chlef,0,0,D,0,0,D
ALG,23/10/2012,17:45,MC El Eulma,MC Oran,3,0,H,1,0,H
ALG,23/10/2012,17:45,ES Sétif,JSM Béjaïa,1,0,H,0,0,D
ALG,23/10/2012,18:00,MC Alger,CS Constantine,1,0,H,1,0,H
ALG,23/10/2012,18:00,JS Kabylie,CR Bélouizdad,0,1,A,0,0,D
ALG,23/10/2012,18:00,CA Bordj Bou Arreridj,USM Bel Abbes,2,0,H,1,0,H
ALG,02/11/2012,16:45,ASO Chlef,CA Batna,1,1,D,0,1,A
ALG,03/11/2012,14:00,USM Bel Abbes,ES Sétif,0,2,A,0,0,D
ALG,03/11/2012,14:00,JS Saoura,USM El Harrach,0,3,A,NaN,NaN,NaN
ALG,03/11/2012,16:45,CS Constantine,JS Kabylie,1,2,A,1,0,H
ALG,03/11/2012,17:00,JSM Béjaïa,CA Bordj Bou Arreridj,1,0,H,1,0,H
ALG,03/11/2012,17:00,CR Bélouizdad,MC El Eulma,1,1,D,1,0,H
ALG,03/11/2012,17:00,USM Alger,WA Tlemcen,4,0,H,2,0,H
ALG,03/11/2012,17:00,MC Oran,MC Alger,2,2,D,1,0,H
ALG,09/11/2012,15:00,WA Tlemcen,JS Saoura,0,1,A,0,1,A
ALG,10/11/2012,14:00,CA Batna,JSM Béjaïa,0,2,A,0,1,A
ALG,10/11/2012,14:00,USM El Harrach,MC Oran,3,0,H,1,0,H
ALG,10/11/2012,16:45,ES Sétif,CR Bélouizdad,1,0,H,0,0,D
ALG,10/11/2012,17:00,MC El Eulma,USM Bel Abbes,2,0,H,0,0,D
ALG,10/11/2012,17:00,USM Alger,ASO Chlef,3,0,H,3,0,H
ALG,10/11/2012,17:00,JS Kabylie,MC Alger,0,1,A,0,1,A
ALG,10/11/2012,17:00,CA Bordj Bou Arreridj,CS Constantine,1,1,D,0,0,D
ALG,16/11/2012,15:00,MC Oran,CA Batna,3,1,H,1,0,H
ALG,17/11/2012,14:00,USM Bel Abbes,JS Kabylie,1,0,H,0,0,D
ALG,17/11/2012,14:00,CR Bélouizdad,CA Bordj Bou Arreridj,2,1,H,2,0,H
ALG,17/11/2012,14:00,JS Saoura,USM Alger,0,1,A,0,0,D
ALG,17/11/2012,16:45,JSM Béjaïa,USM El Harrach,2,0,H,1,0,H
ALG,17/11/2012,16:45,ASO Chlef,ES Sétif,2,1,H,1,0,H
ALG,17/11/2012,17:00,CS Constantine,WA Tlemcen,2,0,H,1,0,H
ALG,17/11/2012,17:00,MC Alger,MC El Eulma,0,0,D,0,0,D
ALG,23/11/2012,14:00,CA Batna,CR Bélouizdad,2,2,D,1,0,H
ALG,23/11/2012,15:00,CA Bordj Bou Arreridj,JS Kabylie,1,0,H,1,0,H
ALG,24/11/2012,14:00,USM El Harrach,USM Bel Abbes,1,1,D,0,1,A
ALG,24/11/2012,14:00,WA Tlemcen,JSM Béjaïa,1,0,H,0,0,D
ALG,24/11/2012,14:00,JS Saoura,ASO Chlef,1,1,D,0,0,D
ALG,24/11/2012,17:00,MC El Eulma,CS Constantine,1,0,H,0,0,D
ALG,24/11/2012,17:00,ES Sétif,MC Alger,3,1,H,2,1,H
ALG,27/11/2012,17:00,USM Alger,MC Oran,1,0,H,0,0,D
ALG,01/12/2012,14:00,USM Bel Abbes,WA Tlemcen,0,1,A,0,0,D
ALG,01/12/2012,14:00,CR Bélouizdad,USM El Harrach,2,4,A,0,2,A
ALG,01/12/2012,14:00,MC Alger,CA Bordj Bou Arreridj,1,1,D,1,1,D
ALG,01/12/2012,14:00,ASO Chlef,MC El Eulma,0,0,D,0,0,D
ALG,01/12/2012,16:45,CS Constantine,CA Batna,2,0,H,2,0,H
ALG,01/12/2012,17:00,JSM Béjaïa,USM Alger,2,0,H,1,0,H
ALG,01/12/2012,17:00,JS Kabylie,ES Sétif,1,1,D,0,0,D
ALG,01/12/2012,17:00,MC Oran,JS Saoura,1,0,H,0,0,D
ALG,07/12/2012,15:00,USM Alger,USM Bel Abbes,6,0,H,1,0,H
ALG,08/12/2012,14:00,CA Batna,MC Alger,0,1,A,0,1,A
ALG,08/12/2012,14:00,USM El Harrach,CS Constantine,1,0,H,1,0,H
ALG,08/12/2012,14:00,JS Saoura,JSM Béjaïa,3,0,H,1,0,H
ALG,08/12/2012,14:00,ASO Chlef,MC Oran,1,0,H,0,0,D
ALG,08/12/2012,16:45,ES Sétif,CA Bordj Bou Arreridj,3,1,H,2,1,H
ALG,08/12/2012,17:00,MC El Eulma,JS Kabylie,0,1,A,0,0,D
ALG,11/12/2012,14:00,WA Tlemcen,CR Bélouizdad,1,1,D,0,0,D
ALG,21/12/2012,14:00,CS Constantine,ES Sétif,0,0,D,0,0,D
ALG,21/12/2012,15:00,MC Alger,USM El Harrach,1,0,H,0,0,D
ALG,22/12/2012,14:00,USM Bel Abbes,JS Saoura,0,0,D,0,0,D
ALG,22/12/2012,14:00,CR Bélouizdad,USM Alger,0,0,D,0,0,D
ALG,22/12/2012,14:00,JS Kabylie,CA Batna,1,0,H,1,0,H
ALG,22/12/2012,17:00,JSM Béjaïa,ASO Chlef,1,1,D,0,1,A
ALG,22/12/2012,17:00,CA Bordj Bou Arreridj,MC El Eulma,0,0,D,0,0,D
ALG,22/12/2012,17:00,MC Oran,WA Tlemcen,2,0,H,0,0,D
ALG,15/01/2013,14:00,JS Kabylie,USM El Harrach,0,1,A,0,1,A
ALG,15/01/2013,14:00,CR Bélouizdad,JS Saoura,2,1,H,1,1,D
ALG,15/01/2013,14:00,USM Bel Abbes,ASO Chlef,0,1,A,0,1,A
ALG,15/01/2013,14:00,CS Constantine,USM Alger,1,0,H,1,0,H
ALG,15/01/2013,17:00,ES Sétif,MC El Eulma,3,1,H,1,1,D
ALG,15/01/2013,17:00,CA Bordj Bou Arreridj,CA Batna,0,0,D,0,0,D
ALG,15/01/2013,17:00,MC Alger,WA Tlemcen,0,1,A,0,1,A
ALG,15/01/2013,17:00,JSM Béjaïa,MC Oran,0,1,A,0,0,D
ALG,19/01/2013,14:00,JSM Béjaïa,USM Bel Abbes,1,3,A,1,1,D
ALG,19/01/2013,14:00,ASO Chlef,CR Bélouizdad,1,2,A,1,2,A
ALG,19/01/2013,14:00,JS Saoura,MC Alger,2,0,H,0,0,D
ALG,19/01/2013,14:00,CA Batna,ES Sétif,1,2,A,0,2,A
ALG,19/01/2013,14:00,WA Tlemcen,JS Kabylie,3,1,H,2,0,H
ALG,19/01/2013,14:00,USM El Harrach,CA Bordj Bou Arreridj,2,1,H,1,0,H
ALG,19/01/2013,17:00,MC Oran,CS Constantine,1,1,D,0,1,A
ALG,19/01/2013,17:00,USM Alger,MC El Eulma,1,0,H,0,0,D
ALG,25/01/2013,15:00,ES Sétif,USM El Harrach,1,0,H,0,0,D
ALG,25/01/2013,16:45,MC Alger,USM Alger,1,0,H,0,0,D
ALG,26/01/2013,14:00,CR Bélouizdad,JSM Béjaïa,4,1,H,1,0,H
ALG,26/01/2013,14:00,CA Bordj Bou Arreridj,WA Tlemcen,2,1,H,2,0,H
ALG,26/01/2013,14:00,CS Constantine,ASO Chlef,1,0,H,1,0,H
ALG,26/01/2013,14:00,JS Kabylie,JS Saoura,2,0,H,1,0,H
ALG,26/01/2013,14:00,USM Bel Abbes,MC Oran,1,0,H,1,0,H
ALG,19/02/2013,14:00,MC El Eulma,CA Batna,0,0,D,0,0,D
ALG,01/02/2013,14:00,WA Tlemcen,ES Sétif,1,2,A,0,0,D
ALG,02/02/2013,14:00,ASO Chlef,MC Alger,0,1,A,0,1,A
ALG,02/02/2013,14:00,JS Saoura,CA Bordj Bou Arreridj,2,0,H,1,0,H
ALG,02/02/2013,14:00,USM El Harrach,MC El Eulma,1,0,H,0,0,D
ALG,02/02/2013,14:00,USM Bel Abbes,CR Bélouizdad,0,0,D,0,0,D
ALG,02/02/2013,16:45,JSM Béjaïa,CS Constantine,0,0,D,0,0,D
ALG,02/02/2013,17:00,MC Oran,JS Kabylie,1,1,D,1,1,D
ALG,02/02/2013,17:00,USM Alger,CA Batna,2,0,H,0,0,D
ALG,08/02/2013,14:00,CA Bordj Bou Arreridj,USM Alger,1,1,D,1,0,H
ALG,08/02/2013,14:00,CR Bélouizdad,MC Oran,1,0,H,1,0,H
ALG,09/02/2013,14:00,CS Constantine,USM Bel Abbes,2,1,H,0,1,A
ALG,09/02/2013,14:00,CA Batna,USM El Harrach,2,3,A,2,1,H
ALG,09/02/2013,14:00,JS Kabylie,ASO Chlef,1,0,H,0,0,D
ALG,09/02/2013,14:00,MC Alger,JSM Béjaïa,3,1,H,1,0,H
