Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AND,20/03/2016,11:00,UE Santa Coloma,UE Sant Julià,0,0,D,NaN,NaN,NaN
AND,20/03/2016,15:00,FC Lusitanos la Posa,FC Santa Coloma,0,0,D,NaN,NaN,NaN
AND,03/04/2016,11:00,FC Santa Coloma,UE Sant Julià,1,0,H,NaN,NaN,NaN
AND,03/04/2016,15:00,FC Lusitanos la Posa,UE Santa Coloma,1,1,D,NaN,NaN,NaN
AND,10/04/2016,11:00,UE Sant Julià,FC Lusitanos la Posa,2,3,A,NaN,NaN,NaN
AND,10/04/2016,15:00,UE Santa Coloma,FC Santa Coloma,0,1,A,NaN,NaN,NaN
AND,17/04/2016,11:00,FC Santa Coloma,FC Lusitanos la Posa,0,0,D,NaN,NaN,NaN
AND,17/04/2016,15:00,UE Sant Julià,UE Santa Coloma,3,0,H,NaN,NaN,NaN
AND,24/04/2016,13:00,UE Santa Coloma,FC Lusitanos la Posa,1,3,A,NaN,NaN,NaN
AND,24/04/2016,15:00,UE Sant Julià,FC Santa Coloma,0,0,D,NaN,NaN,NaN
AND,27/04/2016,15:00,FC Lusitanos la Posa,UE Sant Julià,2,6,A,NaN,NaN,NaN
AND,06/05/2016,19:45,FC Santa Coloma,UE Santa Coloma,1,1,D,NaN,NaN,NaN
