Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AUS,04/03/1984,,Brisbane City SC,Brisbane Lions,0,1,A,NaN,NaN,NaN
AUS,04/03/1984,,Brunswick United Juventus SC,Melbourne Croatia SC,2,1,H,NaN,NaN,NaN
AUS,04/03/1984,,Preston Makedonia,Footscray JUST,1,1,D,NaN,NaN,NaN
AUS,04/03/1984,,South Melbourne Hellas,Heidelberg United,2,0,H,NaN,NaN,NaN
AUS,04/03/1984,,Sunshine George Cross,Green Gully SC,0,0,D,NaN,NaN,NaN
AUS,04/03/1984,,West Adelaide Hellas,Adelaide City FC,0,1,A,NaN,NaN,NaN
AUS,04/03/1984,,APIA Leichhardt Tigers,Marconi-Fairfield,1,0,H,NaN,NaN,NaN
AUS,04/03/1984,,Blacktown City SC,Sydney City SC,1,1,D,NaN,NaN,NaN
AUS,04/03/1984,,Canberra Arrows,Wollongong City,4,0,H,NaN,NaN,NaN
AUS,04/03/1984,,Melitta Eagles,Sydney Croatia,1,2,A,NaN,NaN,NaN
AUS,04/03/1984,,Penrith City SC,Newcastle Rosebud United,0,2,A,NaN,NaN,NaN
AUS,04/03/1984,,St George-Budapest SC,Sydney Olympic SC,0,0,D,NaN,NaN,NaN
AUS,10/03/1984,,Newcastle Rosebud United,Preston Makedonia,1,0,H,NaN,NaN,NaN
AUS,11/03/1984,,Adelaide City FC,Melbourne Croatia SC,2,3,A,NaN,NaN,NaN
AUS,11/03/1984,,Brisbane Lions,Sydney Olympic SC,1,1,D,NaN,NaN,NaN
AUS,11/03/1984,,Brunswick United Juventus SC,West Adelaide Hellas,1,1,D,NaN,NaN,NaN
AUS,11/03/1984,,Footscray JUST,Brisbane City SC,2,3,A,NaN,NaN,NaN
AUS,11/03/1984,,Green Gully SC,South Melbourne Hellas,0,2,A,NaN,NaN,NaN
AUS,11/03/1984,,Heidelberg United,Sunshine George Cross,1,1,D,NaN,NaN,NaN
AUS,11/03/1984,,APIA Leichhardt Tigers,Melitta Eagles,1,2,A,NaN,NaN,NaN
AUS,11/03/1984,,Marconi-Fairfield,Blacktown City SC,1,2,A,NaN,NaN,NaN
AUS,11/03/1984,,Penrith City SC,Sydney Croatia,3,3,D,NaN,NaN,NaN
AUS,11/03/1984,,St George-Budapest SC,Canberra Arrows,2,1,H,NaN,NaN,NaN
AUS,11/03/1984,,Wollongong City,Sydney City SC,1,3,A,NaN,NaN,NaN
