Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AUT,20/08/1982,,Grazer AK,1. Simmeringer SC,0,0,D,0,0,D
AUT,20/08/1982,,SC Eisenstadt,Linzer ASK,3,1,H,2,0,H
AUT,20/08/1982,,SK VOEST Linz,SC Neusiedl/See 1919,0,0,D,0,0,D
AUT,21/08/1982,,Admira/Wacker,Sturm Graz,4,0,H,3,0,H
AUT,21/08/1982,,Austria Klagenfurt,Rapid Wien,1,3,A,0,0,D
AUT,21/08/1982,,Union Wels,First Vienna FC,3,1,H,1,1,D
AUT,21/08/1982,,Wiener Sport-Club,SV Austria Salzburg,1,1,D,1,0,H
AUT,22/08/1982,,Austria Wien,SSW Innsbruck,6,1,H,4,1,H
AUT,27/08/1982,,Linzer ASK,Austria Klagenfurt,1,1,D,0,0,D
AUT,27/08/1982,,Rapid Wien,Austria Wien,0,0,D,0,0,D
AUT,27/08/1982,,SV Austria Salzburg,Admira/Wacker,3,0,H,1,0,H
AUT,28/08/1982,,1. Simmeringer SC,Sturm Graz,0,2,A,0,1,A
AUT,28/08/1982,,Grazer AK,Union Wels,1,0,H,1,0,H
AUT,28/08/1982,,SC Neusiedl/See 1919,Wiener Sport-Club,2,1,H,2,1,H
AUT,28/08/1982,,First Vienna FC,SC Eisenstadt,0,0,D,0,0,D
AUT,28/08/1982,,SSW Innsbruck,SK VOEST Linz,3,1,H,1,1,D
AUT,03/09/1982,,Admira/Wacker,SC Neusiedl/See 1919,1,0,H,1,0,H
AUT,03/09/1982,,Austria Klagenfurt,First Vienna FC,2,1,H,2,1,H
AUT,03/09/1982,,SC Eisenstadt,Grazer AK,1,0,H,1,0,H
AUT,04/09/1982,,Sturm Graz,SV Austria Salzburg,4,1,H,1,0,H
AUT,04/09/1982,,Union Wels,1. Simmeringer SC,1,1,D,0,1,A
AUT,04/09/1982,,SK VOEST Linz,Rapid Wien,0,3,A,0,0,D
AUT,04/09/1982,,Wiener Sport-Club,SSW Innsbruck,2,1,H,1,1,D
AUT,05/09/1982,,Austria Wien,Linzer ASK,1,0,H,1,0,H
AUT,10/09/1982,,Linzer ASK,SK VOEST Linz,4,0,H,1,0,H
AUT,10/09/1982,,Rapid Wien,Wiener Sport-Club,5,1,H,3,0,H
AUT,11/09/1982,,1. Simmeringer SC,SV Austria Salzburg,1,0,H,1,0,H
AUT,11/09/1982,,Grazer AK,Austria Klagenfurt,2,4,A,2,2,D
AUT,11/09/1982,,SC Neusiedl/See 1919,Sturm Graz,0,4,A,0,3,A
AUT,11/09/1982,,Union Wels,SC Eisenstadt,0,0,D,0,0,D
AUT,11/09/1982,,First Vienna FC,Austria Wien,1,3,A,0,0,D
AUT,11/09/1982,,SSW Innsbruck,Admira/Wacker,0,0,D,0,0,D
AUT,17/09/1982,,Austria Klagenfurt,Union Wels,2,0,H,1,0,H
AUT,17/09/1982,,SC Eisenstadt,1. Simmeringer SC,3,1,H,2,0,H
AUT,17/09/1982,,SV Austria Salzburg,SC Neusiedl/See 1919,3,0,H,1,0,H
AUT,17/09/1982,,SK VOEST Linz,First Vienna FC,3,1,H,0,1,A
AUT,18/09/1982,,Admira/Wacker,Rapid Wien,0,0,D,0,0,D
AUT,18/09/1982,,Sturm Graz,SSW Innsbruck,1,1,D,1,0,H
AUT,18/09/1982,,Wiener Sport-Club,Linzer ASK,2,1,H,1,1,D
AUT,19/09/1982,,Austria Wien,Grazer AK,1,0,H,1,0,H
AUT,24/09/1982,,Grazer AK,SK VOEST Linz,1,0,H,0,0,D
AUT,24/09/1982,,Linzer ASK,Admira/Wacker,3,0,H,2,0,H
AUT,24/09/1982,,First Vienna FC,Wiener Sport-Club,2,1,H,1,1,D
AUT,25/09/1982,,1. Simmeringer SC,SC Neusiedl/See 1919,1,0,H,0,0,D
AUT,25/09/1982,,Rapid Wien,Sturm Graz,2,1,H,1,0,H
AUT,25/09/1982,,SC Eisenstadt,Austria Klagenfurt,2,3,A,0,3,A
AUT,25/09/1982,,Union Wels,Austria Wien,1,2,A,1,0,H
AUT,25/09/1982,,SSW Innsbruck,SV Austria Salzburg,3,1,H,1,0,H
AUT,01/10/1982,,Admira/Wacker,First Vienna FC,3,0,H,1,0,H
AUT,01/10/1982,,SV Austria Salzburg,Rapid Wien,0,0,D,0,0,D
AUT,01/10/1982,,SK VOEST Linz,Union Wels,3,0,H,1,0,H
AUT,02/10/1982,,Austria Klagenfurt,1. Simmeringer SC,4,0,H,2,0,H
AUT,02/10/1982,,Austria Wien,SC Eisenstadt,2,2,D,2,1,H
AUT,02/10/1982,,SC Neusiedl/See 1919,SSW Innsbruck,1,1,D,0,1,A
AUT,02/10/1982,,Sturm Graz,Linzer ASK,1,0,H,1,0,H
AUT,03/10/1982,,Wiener Sport-Club,Grazer AK,7,1,H,3,1,H
