Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AUT,12/03/1988,,FC Tirol,Admira/Wacker,1,0,H,1,0,H
AUT,12/03/1988,,Sturm Graz,First Vienna FC,1,1,D,1,1,D
AUT,13/03/1988,,Austria Wien,Grazer AK,5,1,H,3,0,H
AUT,23/03/1988,,Wiener Sport-Club,Rapid Wien,0,0,D,0,0,D
AUT,19/03/1988,,Admira/Wacker,Austria Wien,3,1,H,1,0,H
AUT,19/03/1988,,Grazer AK,Wiener Sport-Club,2,2,D,0,0,D
AUT,19/03/1988,,Rapid Wien,Sturm Graz,1,1,D,1,0,H
AUT,19/03/1988,,First Vienna FC,FC Tirol,3,0,H,3,0,H
AUT,26/03/1988,,Austria Wien,First Vienna FC,1,2,A,0,0,D
AUT,26/03/1988,,FC Tirol,Rapid Wien,0,0,D,0,0,D
AUT,26/03/1988,,Grazer AK,Admira/Wacker,4,1,H,1,0,H
AUT,27/03/1988,,Wiener Sport-Club,Sturm Graz,1,2,A,1,0,H
AUT,01/04/1988,,Admira/Wacker,Wiener Sport-Club,1,0,H,1,0,H
AUT,01/04/1988,,First Vienna FC,Grazer AK,2,1,H,0,1,A
AUT,02/04/1988,,Austria Wien,Rapid Wien,4,2,H,1,0,H
AUT,02/04/1988,,Sturm Graz,FC Tirol,2,0,H,0,0,D
AUT,08/04/1988,,Wiener Sport-Club,FC Tirol,5,3,H,2,3,A
AUT,09/04/1988,,Admira/Wacker,First Vienna FC,4,2,H,1,1,D
AUT,09/04/1988,,Grazer AK,Rapid Wien,0,0,D,0,0,D
AUT,10/04/1988,,Austria Wien,Sturm Graz,5,1,H,4,0,H
AUT,15/04/1988,,Rapid Wien,Admira/Wacker,2,1,H,2,0,H
AUT,16/04/1988,,FC Tirol,Austria Wien,2,1,H,1,0,H
AUT,16/04/1988,,Sturm Graz,Grazer AK,5,2,H,2,0,H
AUT,16/04/1988,,First Vienna FC,Wiener Sport-Club,3,0,H,1,0,H
AUT,22/04/1988,,Admira/Wacker,Sturm Graz,0,0,D,0,0,D
AUT,23/04/1988,,Grazer AK,FC Tirol,1,1,D,1,0,H
AUT,23/04/1988,,First Vienna FC,Rapid Wien,1,3,A,0,1,A
AUT,24/04/1988,,Austria Wien,Wiener Sport-Club,2,0,H,2,0,H
AUT,29/04/1988,,Rapid Wien,First Vienna FC,3,1,H,1,1,D
AUT,29/04/1988,,Sturm Graz,Admira/Wacker,2,0,H,1,0,H
AUT,30/04/1988,,FC Tirol,Grazer AK,0,0,D,0,0,D
AUT,30/04/1988,,Wiener Sport-Club,Austria Wien,1,6,A,1,2,A
AUT,06/05/1988,,Rapid Wien,Wiener Sport-Club,3,0,H,2,0,H
AUT,07/05/1988,,Admira/Wacker,FC Tirol,1,1,D,0,1,A
AUT,07/05/1988,,Grazer AK,Austria Wien,1,2,A,1,1,D
AUT,07/05/1988,,First Vienna FC,Sturm Graz,1,4,A,1,2,A
AUT,14/05/1988,,Austria Wien,Admira/Wacker,2,2,D,1,1,D
AUT,14/05/1988,,FC Tirol,First Vienna FC,0,1,A,0,0,D
AUT,14/05/1988,,Sturm Graz,Rapid Wien,2,1,H,0,0,D
AUT,14/05/1988,,Wiener Sport-Club,Grazer AK,8,2,H,2,1,H
AUT,20/05/1988,,Rapid Wien,FC Tirol,4,2,H,3,0,H
AUT,21/05/1988,,Admira/Wacker,Grazer AK,2,0,H,0,0,D
AUT,21/05/1988,,Sturm Graz,Wiener Sport-Club,1,1,D,1,1,D
AUT,21/05/1988,,First Vienna FC,Austria Wien,2,0,H,0,0,D
AUT,27/05/1988,,Rapid Wien,Austria Wien,2,4,A,1,1,D
AUT,28/05/1988,,FC Tirol,Sturm Graz,0,0,D,0,0,D
AUT,28/05/1988,,Grazer AK,First Vienna FC,2,2,D,1,0,H
AUT,28/05/1988,,Wiener Sport-Club,Admira/Wacker,1,4,A,0,2,A
AUT,03/06/1988,,Admira/Wacker,Rapid Wien,1,2,A,1,1,D
AUT,04/06/1988,,Austria Wien,FC Tirol,1,1,D,1,1,D
AUT,04/06/1988,,Grazer AK,Sturm Graz,1,1,D,0,0,D
AUT,04/06/1988,,Wiener Sport-Club,First Vienna FC,5,0,H,2,0,H
AUT,07/06/1988,,FC Tirol,Wiener Sport-Club,2,0,H,2,0,H
AUT,07/06/1988,,Rapid Wien,Grazer AK,6,1,H,2,0,H
AUT,07/06/1988,,Sturm Graz,Austria Wien,0,2,A,0,1,A
AUT,07/06/1988,,First Vienna FC,Admira/Wacker,2,1,H,1,0,H
