Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AZE,16/07/2003,,Khazar Universiteti,Dinamo Baku,3,0,H,NaN,NaN,NaN
AZE,16/07/2003,,FK Shafa,Qarabağ FK,0,1,A,NaN,NaN,NaN
AZE,16/07/2003,,Shamkir FK,FK Bakili Baku,3,0,H,NaN,NaN,NaN
AZE,16/07/2003,,FK Adliyye,Lokomotiv Imishli,2,3,A,NaN,NaN,NaN
AZE,30/07/2003,,Dinamo Baku,Neftçi PFK,2,5,A,NaN,NaN,NaN
AZE,30/07/2003,,FK Shafa,Khazar Universiteti,0,1,A,NaN,NaN,NaN
AZE,30/07/2003,,PFK Turan Tavuz,FK MOIK Baku,1,2,A,NaN,NaN,NaN
AZE,30/07/2003,,Şahdağ Qusar,Lokomotiv Imishli,1,2,A,NaN,NaN,NaN
AZE,16/08/2003,,Khazar Universiteti,Şahdağ Qusar,2,0,H,NaN,NaN,NaN
AZE,16/08/2003,,FK Adliyye,FK Kapaz Gäncä,2,0,H,NaN,NaN,NaN
AZE,16/08/2003,,Genclerbirliyi Sumgayit,PFK Turan Tavuz,5,0,H,NaN,NaN,NaN
AZE,20/08/2003,,PFK Turan Tavuz,Khazar Universiteti,0,3,A,NaN,NaN,NaN
AZE,24/03/2004,,Dinamo Baku,Khazar Universiteti,4,0,H,NaN,NaN,NaN
AZE,24/03/2004,,Lokomotiv Imishli,FK Adliyye,0,3,A,NaN,NaN,NaN
AZE,10/04/2004,,FK Bakili Baku,Shamkir FK,0,2,A,NaN,NaN,NaN
AZE,18/04/2004,,Khazar Universiteti,FK Shafa,0,0,D,NaN,NaN,NaN
AZE,18/04/2004,,FK Kapaz Gäncä,FK Adliyye,0,0,D,NaN,NaN,NaN
AZE,18/04/2004,,PFK Turan Tavuz,Genclerbirliyi Sumgayit,0,0,D,NaN,NaN,NaN
AZE,18/04/2004,,Lokomotiv Imishli,Şahdağ Qusar,0,3,A,NaN,NaN,NaN
AZE,17/05/2003,,FK MOIK Baku,FK Adliyye,1,0,H,NaN,NaN,NaN
AZE,17/05/2003,,Qarabağ FK,Şahdağ Qusar,5,0,H,NaN,NaN,NaN
AZE,18/05/2003,,Shamkir FK,Neftçi PFK,3,1,H,NaN,NaN,NaN
AZE,18/05/2003,,FK Shafa,FK Kapaz Gäncä,1,0,H,NaN,NaN,NaN
AZE,18/05/2003,,Genclerbirliyi Sumgayit,Dinamo Baku,2,0,H,NaN,NaN,NaN
AZE,28/05/2003,,FK Bakili Baku,Lokomotiv Imishli,3,0,H,NaN,NaN,NaN
AZE,24/05/2003,,Neftçi PFK,PFK Turan Tavuz,6,1,H,NaN,NaN,NaN
AZE,25/05/2003,,Dinamo Baku,FK Shafa,1,2,A,NaN,NaN,NaN
AZE,25/05/2003,,FK Adliyye,Genclerbirliyi Sumgayit,0,1,A,NaN,NaN,NaN
AZE,25/05/2003,,FK Bakili Baku,Qarabağ FK,0,4,A,NaN,NaN,NaN
AZE,25/05/2003,,Lokomotiv Imishli,FK MOIK Baku,2,3,A,NaN,NaN,NaN
AZE,27/05/2003,,FK Kapaz Gäncä,Shamkir FK,0,3,A,NaN,NaN,NaN
AZE,31/05/2003,,FK MOIK Baku,Qarabağ FK,0,3,A,NaN,NaN,NaN
AZE,31/05/2003,,Genclerbirliyi Sumgayit,Lokomotiv Imishli,4,1,H,NaN,NaN,NaN
AZE,31/05/2003,,Shamkir FK,Dinamo Baku,4,0,H,NaN,NaN,NaN
AZE,31/05/2003,,FK Bakili Baku,Şahdağ Qusar,0,4,A,NaN,NaN,NaN
