Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL,28/08/1979,,Royal Antwerp FC,Club Brugge KV,0,1,A,NaN,NaN,NaN
BEL,28/08/1979,,RSC Anderlecht,Sporting Lokeren,1,2,A,NaN,NaN,NaN
BEL,29/08/1979,,K Waterschei SV Thor Genk,K. Beerschot VAV,1,1,D,NaN,NaN,NaN
BEL,29/08/1979,,KSV Waregem,KFC Winterslag,3,0,H,NaN,NaN,NaN
BEL,29/08/1979,,RFC de Liège,RSC Charleroi,0,2,A,NaN,NaN,NaN
BEL,29/08/1979,,Cercle Brugge,Lierse SK,2,1,H,NaN,NaN,NaN
BEL,29/08/1979,,KSK Beveren,RWD Molenbeek,3,0,H,NaN,NaN,NaN
BEL,29/08/1979,,FC Beringen,KSC Hasselt,1,1,D,NaN,NaN,NaN
BEL,29/08/1979,,Berchem Sport,Standard Liège,1,1,D,NaN,NaN,NaN
BEL,01/09/1979,,KFC Winterslag,Royal Antwerp FC,0,0,D,NaN,NaN,NaN
BEL,01/09/1979,,RWD Molenbeek,FC Beringen,1,0,H,NaN,NaN,NaN
BEL,01/09/1979,,KSC Hasselt,Berchem Sport,1,1,D,NaN,NaN,NaN
BEL,01/09/1979,,RSC Charleroi,Club Brugge KV,2,1,H,NaN,NaN,NaN
BEL,01/09/1979,,K. Beerschot VAV,RFC de Liège,2,1,H,NaN,NaN,NaN
BEL,02/09/1979,,Standard Liège,KSV Waregem,1,0,H,NaN,NaN,NaN
BEL,02/09/1979,,Sporting Lokeren,KSK Beveren,2,0,H,NaN,NaN,NaN
BEL,02/09/1979,,Lierse SK,K Waterschei SV Thor Genk,3,1,H,NaN,NaN,NaN
BEL,02/09/1979,,Cercle Brugge,RSC Anderlecht,2,1,H,NaN,NaN,NaN
BEL,05/09/1979,,KFC Winterslag,KSK Beveren,1,1,D,NaN,NaN,NaN
BEL,05/09/1979,,Standard Liège,RSC Anderlecht,5,2,H,NaN,NaN,NaN
BEL,05/09/1979,,RWD Molenbeek,RFC de Liège,2,1,H,NaN,NaN,NaN
BEL,05/09/1979,,Sporting Lokeren,K Waterschei SV Thor Genk,1,0,H,NaN,NaN,NaN
BEL,05/09/1979,,Lierse SK,Berchem Sport,1,2,A,NaN,NaN,NaN
BEL,05/09/1979,,KSC Hasselt,Cercle Brugge,2,1,H,NaN,NaN,NaN
BEL,05/09/1979,,RSC Charleroi,Royal Antwerp FC,0,0,D,NaN,NaN,NaN
BEL,05/09/1979,,Club Brugge KV,FC Beringen,1,0,H,NaN,NaN,NaN
BEL,05/09/1979,,K. Beerschot VAV,KSV Waregem,1,1,D,NaN,NaN,NaN
BEL,08/09/1979,,K Waterschei SV Thor Genk,Standard Liège,1,3,A,NaN,NaN,NaN
BEL,08/09/1979,,KSV Waregem,Sporting Lokeren,0,0,D,NaN,NaN,NaN
BEL,08/09/1979,,RFC de Liège,KFC Winterslag,0,0,D,NaN,NaN,NaN
BEL,08/09/1979,,Club Brugge KV,KSC Hasselt,4,0,H,NaN,NaN,NaN
BEL,08/09/1979,,KSK Beveren,K. Beerschot VAV,0,0,D,NaN,NaN,NaN
BEL,08/09/1979,,FC Beringen,RSC Charleroi,6,0,H,NaN,NaN,NaN
BEL,08/09/1979,,Berchem Sport,Cercle Brugge,1,3,A,NaN,NaN,NaN
BEL,08/09/1979,,Royal Antwerp FC,RWD Molenbeek,0,2,A,NaN,NaN,NaN
BEL,08/09/1979,,RSC Anderlecht,Lierse SK,4,0,H,NaN,NaN,NaN
BEL,15/09/1979,,KFC Winterslag,FC Beringen,2,1,H,NaN,NaN,NaN
BEL,15/09/1979,,Standard Liège,KSK Beveren,3,3,D,NaN,NaN,NaN
BEL,15/09/1979,,RWD Molenbeek,Club Brugge KV,0,0,D,NaN,NaN,NaN
BEL,15/09/1979,,K. Beerschot VAV,Royal Antwerp FC,1,1,D,NaN,NaN,NaN
BEL,16/09/1979,,Sporting Lokeren,RFC de Liège,4,1,H,NaN,NaN,NaN
BEL,16/09/1979,,Lierse SK,KSV Waregem,6,1,H,NaN,NaN,NaN
BEL,16/09/1979,,KSC Hasselt,RSC Charleroi,3,0,H,NaN,NaN,NaN
BEL,16/09/1979,,Cercle Brugge,K Waterschei SV Thor Genk,3,0,H,NaN,NaN,NaN
BEL,16/09/1979,,Berchem Sport,RSC Anderlecht,2,3,A,NaN,NaN,NaN
BEL,21/09/1979,,RSC Charleroi,RWD Molenbeek,0,1,A,NaN,NaN,NaN
BEL,22/09/1979,,K Waterschei SV Thor Genk,Berchem Sport,1,1,D,NaN,NaN,NaN
BEL,22/09/1979,,Royal Antwerp FC,Sporting Lokeren,0,1,A,NaN,NaN,NaN
BEL,22/09/1979,,RSC Anderlecht,KSC Hasselt,1,0,H,NaN,NaN,NaN
BEL,23/09/1979,,KSV Waregem,Cercle Brugge,1,1,D,NaN,NaN,NaN
BEL,23/09/1979,,RFC de Liège,Standard Liège,1,1,D,NaN,NaN,NaN
BEL,23/09/1979,,Club Brugge KV,KFC Winterslag,4,0,H,NaN,NaN,NaN
BEL,23/09/1979,,KSK Beveren,Lierse SK,1,0,H,NaN,NaN,NaN
BEL,23/09/1979,,FC Beringen,K. Beerschot VAV,1,2,A,NaN,NaN,NaN
BEL,29/09/1979,,KFC Winterslag,RSC Charleroi,2,0,H,NaN,NaN,NaN
BEL,29/09/1979,,KSC Hasselt,RWD Molenbeek,0,2,A,NaN,NaN,NaN
BEL,29/09/1979,,K. Beerschot VAV,Club Brugge KV,2,1,H,NaN,NaN,NaN
BEL,29/09/1979,,RSC Anderlecht,K Waterschei SV Thor Genk,5,0,H,NaN,NaN,NaN
BEL,30/09/1979,,Standard Liège,Royal Antwerp FC,2,1,H,NaN,NaN,NaN
BEL,30/09/1979,,Sporting Lokeren,FC Beringen,3,0,H,NaN,NaN,NaN
BEL,30/09/1979,,Lierse SK,RFC de Liège,4,0,H,NaN,NaN,NaN
BEL,30/09/1979,,Cercle Brugge,KSK Beveren,3,1,H,NaN,NaN,NaN
BEL,30/09/1979,,Berchem Sport,KSV Waregem,0,0,D,NaN,NaN,NaN
BEL,06/10/1979,,K Waterschei SV Thor Genk,KSC Hasselt,4,0,H,NaN,NaN,NaN
BEL,06/10/1979,,RWD Molenbeek,KFC Winterslag,3,1,H,NaN,NaN,NaN
BEL,06/10/1979,,Royal Antwerp FC,Lierse SK,3,1,H,NaN,NaN,NaN
BEL,07/10/1979,,KSV Waregem,RSC Anderlecht,1,1,D,NaN,NaN,NaN
BEL,07/10/1979,,RFC de Liège,Cercle Brugge,5,1,H,NaN,NaN,NaN
BEL,07/10/1979,,RSC Charleroi,K. Beerschot VAV,0,1,A,NaN,NaN,NaN
BEL,07/10/1979,,Club Brugge KV,Sporting Lokeren,2,0,H,NaN,NaN,NaN
BEL,07/10/1979,,KSK Beveren,Berchem Sport,2,1,H,NaN,NaN,NaN
BEL,07/10/1979,,FC Beringen,Standard Liège,1,4,A,NaN,NaN,NaN
BEL,13/10/1979,,K Waterschei SV Thor Genk,KSV Waregem,1,1,D,NaN,NaN,NaN
BEL,13/10/1979,,Standard Liège,Club Brugge KV,1,2,A,NaN,NaN,NaN
BEL,13/10/1979,,Sporting Lokeren,RSC Charleroi,2,0,H,NaN,NaN,NaN
BEL,13/10/1979,,Lierse SK,FC Beringen,1,0,H,NaN,NaN,NaN
BEL,13/10/1979,,KSC Hasselt,KFC Winterslag,1,3,A,NaN,NaN,NaN
BEL,13/10/1979,,Cercle Brugge,Royal Antwerp FC,2,1,H,NaN,NaN,NaN
