Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BIH,03/08/2002,,FK Sarajevo,NK Posušje,4,0,H,NaN,NaN,NaN
BIH,03/08/2002,,FK Kozara,HNK Orašje,1,1,D,NaN,NaN,NaN
BIH,03/08/2002,,FK Mladost Gacko,NK Brotnjo,0,0,D,NaN,NaN,NaN
BIH,03/08/2002,,NK Bosna Visoko,Leotar Trebinje,0,9,A,NaN,NaN,NaN
BIH,03/08/2002,,Čelik Zenica,Sloboda Tuzla,3,0,H,NaN,NaN,NaN
BIH,04/08/2002,,NK Zepce,Željezničar Sarajevo,1,1,D,NaN,NaN,NaN
BIH,04/08/2002,,Rudar Ugljevik,Borac Banja Luka,1,2,A,NaN,NaN,NaN
BIH,04/08/2002,,Glasinac Sokolac,Buducnost Banovici,2,1,H,NaN,NaN,NaN
BIH,04/08/2002,,Zrinjski Mostar,NK Jedinstvo,3,1,H,NaN,NaN,NaN
BIH,04/08/2002,,Široki Brijeg,Velež Mostar,2,1,H,NaN,NaN,NaN
BIH,10/08/2002,,Borac Banja Luka,NK Bosna Visoko,3,1,H,NaN,NaN,NaN
BIH,10/08/2002,,Buducnost Banovici,FK Mladost Gacko,3,1,H,NaN,NaN,NaN
BIH,10/08/2002,,Leotar Trebinje,Čelik Zenica,0,0,D,NaN,NaN,NaN
BIH,10/08/2002,,HNK Orašje,FK Sarajevo,2,0,H,NaN,NaN,NaN
BIH,10/08/2002,,Sloboda Tuzla,Glasinac Sokolac,0,0,D,NaN,NaN,NaN
BIH,10/08/2002,,Velež Mostar,NK Jedinstvo,2,0,H,NaN,NaN,NaN
BIH,10/08/2002,,Željezničar Sarajevo,Rudar Ugljevik,0,1,A,NaN,NaN,NaN
BIH,10/08/2002,,Široki Brijeg,NK Zepce,3,0,H,NaN,NaN,NaN
BIH,11/08/2002,,NK Posušje,Zrinjski Mostar,1,0,H,NaN,NaN,NaN
BIH,11/08/2002,,NK Brotnjo,FK Kozara,4,2,H,NaN,NaN,NaN
BIH,17/08/2002,,Čelik Zenica,Borac Banja Luka,3,1,H,NaN,NaN,NaN
BIH,17/08/2002,,NK Jedinstvo,NK Posušje,5,2,H,NaN,NaN,NaN
BIH,17/08/2002,,FK Kozara,Buducnost Banovici,3,2,H,NaN,NaN,NaN
BIH,17/08/2002,,FK Mladost Gacko,Sloboda Tuzla,2,1,H,NaN,NaN,NaN
BIH,18/08/2002,,NK Zepce,Velež Mostar,2,1,H,NaN,NaN,NaN
BIH,18/08/2002,,Rudar Ugljevik,Široki Brijeg,2,0,H,NaN,NaN,NaN
BIH,18/08/2002,,Glasinac Sokolac,Leotar Trebinje,1,1,D,NaN,NaN,NaN
BIH,18/08/2002,,FK Sarajevo,NK Brotnjo,5,1,H,NaN,NaN,NaN
BIH,18/08/2002,,NK Bosna Visoko,Željezničar Sarajevo,0,1,A,NaN,NaN,NaN
BIH,18/08/2002,,Zrinjski Mostar,HNK Orašje,2,1,H,NaN,NaN,NaN
BIH,24/08/2002,,Široki Brijeg,NK Bosna Visoko,1,0,H,NaN,NaN,NaN
BIH,24/08/2002,,Sloboda Tuzla,FK Kozara,2,1,H,NaN,NaN,NaN
BIH,24/08/2002,,Velež Mostar,NK Posušje,1,3,A,NaN,NaN,NaN
BIH,24/08/2002,,Borac Banja Luka,Glasinac Sokolac,0,2,A,NaN,NaN,NaN
BIH,24/08/2002,,HNK Orašje,NK Jedinstvo,1,0,H,NaN,NaN,NaN
BIH,24/08/2002,,Buducnost Banovici,FK Sarajevo,1,1,D,NaN,NaN,NaN
BIH,24/08/2002,,Željezničar Sarajevo,Čelik Zenica,2,0,H,NaN,NaN,NaN
BIH,24/08/2002,,Leotar Trebinje,FK Mladost Gacko,4,0,H,NaN,NaN,NaN
BIH,25/08/2002,,NK Brotnjo,Zrinjski Mostar,4,1,H,NaN,NaN,NaN
BIH,25/08/2002,,NK Zepce,Rudar Ugljevik,3,3,D,NaN,NaN,NaN
BIH,31/08/2002,,NK Bosna Visoko,NK Zepce,2,1,H,NaN,NaN,NaN
BIH,31/08/2002,,NK Jedinstvo,NK Brotnjo,1,1,D,NaN,NaN,NaN
BIH,31/08/2002,,FK Kozara,Leotar Trebinje,2,2,D,NaN,NaN,NaN
BIH,31/08/2002,,FK Mladost Gacko,Borac Banja Luka,2,0,H,NaN,NaN,NaN
