Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BRA,27/11/1996,,Portuguesa,Cruzeiro EC,3,0,H,NaN,NaN,NaN
BRA,27/11/1996,,Goiás EC,Guarani FC,3,1,H,NaN,NaN,NaN
BRA,28/11/1996,,Grêmio Porto Alegre,SE Palmeiras,3,1,H,NaN,NaN,NaN
BRA,28/11/1996,,Atlético Mineiro,Atlético Paranaense,3,1,H,NaN,NaN,NaN
BRA,30/11/1996,,Cruzeiro EC,Portuguesa,1,0,H,NaN,NaN,NaN
BRA,01/12/1996,,Guarani FC,Goiás EC,1,0,H,NaN,NaN,NaN
BRA,01/12/1996,,SE Palmeiras,Grêmio Porto Alegre,1,0,H,NaN,NaN,NaN
BRA,01/12/1996,,Atlético Paranaense,Atlético Mineiro,1,0,H,NaN,NaN,NaN
BRA,05/12/1996,,Portuguesa,Atlético Mineiro,1,0,H,NaN,NaN,NaN
BRA,05/12/1996,,Goiás EC,Grêmio Porto Alegre,1,3,A,NaN,NaN,NaN
BRA,08/12/1996,,Atlético Mineiro,Portuguesa,2,2,D,NaN,NaN,NaN
BRA,08/12/1996,,Grêmio Porto Alegre,Goiás EC,2,2,D,NaN,NaN,NaN
BRA,11/12/1996,,Portuguesa,Grêmio Porto Alegre,2,0,H,NaN,NaN,NaN
BRA,15/12/1996,,Grêmio Porto Alegre,Portuguesa,2,0,H,NaN,NaN,NaN
