Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BUL,09/08/2008,16:00,Vihren Sandanski,Levski Sofia,1,0,H,0,0,D
BUL,09/08/2008,16:00,FC Pirin,Cherno More Varna,1,2,A,0,0,D
BUL,09/08/2008,16:00,Slavia Sofia,PFC Litex Lovech,0,3,A,0,1,A
BUL,09/08/2008,16:00,Spartak Varna,Lokomotiv 2012 Mezdra,2,0,H,0,0,D
BUL,09/08/2008,16:00,Minyor Pernik,Lokomotiv Sofia,0,1,A,0,1,A
BUL,09/08/2008,16:00,OFC Sliven,Lokomotiv Plovdiv,1,1,D,1,0,H
BUL,10/08/2008,16:00,CSKA Sofia,Belasitsa Petrich,1,0,H,1,0,H
BUL,10/08/2008,16:00,Botev Plovdiv,PSFC Chernomorets,0,1,A,0,0,D
BUL,15/08/2008,16:00,OFC Sliven,CSKA Sofia,3,1,H,2,0,H
BUL,16/08/2008,16:00,Lokomotiv 2012 Mezdra,Slavia Sofia,1,0,H,0,0,D
BUL,16/08/2008,16:00,Lokomotiv Plovdiv,PSFC Chernomorets,1,1,D,1,0,H
BUL,16/08/2008,16:00,Belasitsa Petrich,Spartak Varna,0,0,D,0,0,D
BUL,17/08/2008,16:00,Cherno More Varna,Vihren Sandanski,2,0,H,1,0,H
BUL,17/08/2008,16:00,Lokomotiv Sofia,FC Pirin,1,0,H,1,0,H
BUL,17/08/2008,17:30,Levski Sofia,Botev Plovdiv,6,0,H,3,0,H
BUL,17/08/2008,18:00,PFC Litex Lovech,Minyor Pernik,2,0,H,1,0,H
BUL,22/08/2008,16:00,Vihren Sandanski,Lokomotiv Sofia,1,0,H,0,0,D
BUL,23/08/2008,16:00,Minyor Pernik,Lokomotiv 2012 Mezdra,2,0,H,1,0,H
BUL,23/08/2008,16:00,Spartak Varna,OFC Sliven,2,2,D,1,2,A
BUL,23/08/2008,16:00,Botev Plovdiv,Cherno More Varna,2,2,D,1,1,D
BUL,23/08/2008,16:30,FC Pirin,PFC Litex Lovech,1,1,D,0,0,D
BUL,24/08/2008,16:00,CSKA Sofia,Lokomotiv Plovdiv,2,0,H,2,0,H
BUL,24/08/2008,16:00,Slavia Sofia,Belasitsa Petrich,3,0,H,1,0,H
BUL,05/11/2008,17:00,PSFC Chernomorets,Levski Sofia,2,2,D,0,2,A
BUL,30/08/2008,16:00,Belasitsa Petrich,Minyor Pernik,0,0,D,0,0,D
