Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CAN,17/05/2008,01:00,Toronto FC Academy,Toronto Croatia,1,0,H,NaN,NaN,NaN
CAN,18/05/2008,00:00,Windsor Border Stars,London City,2,1,H,NaN,NaN,NaN
CAN,19/05/2008,21:00,Italia Shooters,Serbian White Eagles,2,2,D,NaN,NaN,NaN
CAN,24/05/2008,01:00,Toronto Croatia,Portugal FC,1,0,H,NaN,NaN,NaN
CAN,24/05/2008,01:00,Serbian White Eagles,North York Astros,3,1,H,NaN,NaN,NaN
CAN,24/05/2008,01:00,Toronto FC Academy,Roma Wolves,0,1,A,NaN,NaN,NaN
CAN,25/05/2008,20:00,North York Astros,Toronto FC Academy,0,1,A,NaN,NaN,NaN
CAN,25/05/2008,21:00,Italia Shooters,Trois-Rivières Attak,1,0,H,NaN,NaN,NaN
CAN,31/05/2008,01:00,Toronto Croatia,Brampton Lions,2,1,H,NaN,NaN,NaN
CAN,31/05/2008,01:00,Serbian White Eagles,Portugal FC,1,2,A,NaN,NaN,NaN
CAN,31/05/2008,01:00,Toronto FC Academy,Italia Shooters,0,2,A,NaN,NaN,NaN
CAN,31/05/2008,01:45,London City,Windsor Border Stars,2,4,A,NaN,NaN,NaN
CAN,31/05/2008,21:00,Trois-Rivières Attak,Roma Wolves,0,0,D,NaN,NaN,NaN
CAN,01/06/2008,19:30,Brampton Lions,Toronto FC Academy,1,0,H,NaN,NaN,NaN
CAN,01/06/2008,20:00,North York Astros,Windsor Border Stars,3,0,H,NaN,NaN,NaN
CAN,01/06/2008,21:00,Italia Shooters,London City,4,0,H,NaN,NaN,NaN
CAN,07/06/2008,01:00,Serbian White Eagles,Italia Shooters,1,2,A,NaN,NaN,NaN
CAN,07/06/2008,01:00,Portugal FC,Toronto FC Academy,2,0,H,NaN,NaN,NaN
CAN,07/06/2008,01:30,Brampton Lions,Windsor Border Stars,5,0,H,NaN,NaN,NaN
CAN,07/06/2008,01:45,London City,Trois-Rivières Attak,0,5,A,NaN,NaN,NaN
CAN,08/06/2008,00:00,Windsor Border Stars,Trois-Rivières Attak,1,2,A,NaN,NaN,NaN
CAN,08/06/2008,20:00,North York Astros,Brampton Lions,3,2,H,NaN,NaN,NaN
CAN,08/06/2008,21:00,Roma Wolves,Serbian White Eagles,0,1,A,NaN,NaN,NaN
CAN,08/06/2008,21:00,Italia Shooters,Toronto Croatia,2,3,A,NaN,NaN,NaN
CAN,14/06/2008,01:00,Toronto Croatia,Trois-Rivières Attak,0,0,D,NaN,NaN,NaN
CAN,14/06/2008,01:00,Portugal FC,North York Astros,4,0,H,NaN,NaN,NaN
CAN,14/06/2008,01:45,London City,Italia Shooters,1,6,A,NaN,NaN,NaN
CAN,15/06/2008,00:00,Windsor Border Stars,Roma Wolves,3,1,H,NaN,NaN,NaN
