Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CAN,13/10/2010,01:00,Toronto Croatia,York Region Shooters,2,0,H,0,0,D
CAN,13/10/2010,01:00,Brantford Galaxy,Serbian White Eagles,0,0,D,0,0,D
CAN,13/10/2010,01:00,Milltown FC,Portugal FC,0,1,A,0,1,A
CAN,14/10/2010,02:00,Toronto FC Academy,Hamilton Croatia,1,2,A,0,1,A
CAN,16/10/2010,23:00,Portugal FC,Milltown FC,2,2,D,0,1,A
CAN,17/10/2010,23:00,York Region Shooters,Toronto Croatia,1,1,D,1,0,H
CAN,18/10/2010,00:00,Hamilton Croatia,Toronto FC Academy,1,0,H,0,0,D
CAN,18/10/2010,01:00,Serbian White Eagles,Brantford Galaxy,0,1,A,0,00,A
CAN,23/10/2010,01:00,Portugal FC,Brantford Galaxy,3,5,A,1,2,A
CAN,25/10/2010,00:00,Hamilton Croatia,Toronto Croatia,2,0,H,1,0,H
CAN,31/10/2010,18:45,Hamilton Croatia,Brantford Galaxy,0,3,A,0,1,A
