Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHI,21/11/2004,,Everton,Puerto Montt,1,2,A,NaN,NaN,NaN
CHI,24/11/2004,,CD Cobreloa,Audax Italiano,5,2,H,NaN,NaN,NaN
CHI,24/11/2004,,Unión Española,Universidad de Concepción,0,0,D,NaN,NaN,NaN
CHI,24/11/2004,,Everton,CD Cobresal,3,2,H,NaN,NaN,NaN
CHI,24/11/2004,,Coquimbo Unido,Colo-Colo,3,7,A,NaN,NaN,NaN
CHI,25/11/2004,,Unión San Felipe,Universidad Católica,2,2,D,NaN,NaN,NaN
CHI,25/11/2004,,Deportes Temuco,Universidad de Chile,2,0,H,NaN,NaN,NaN
CHI,27/11/2004,,Audax Italiano,CD Cobreloa,2,1,H,NaN,NaN,NaN
CHI,27/11/2004,,Colo-Colo,Coquimbo Unido,1,1,D,NaN,NaN,NaN
CHI,28/11/2004,,Universidad de Concepción,Unión Española,1,3,A,NaN,NaN,NaN
CHI,28/11/2004,,CD Cobresal,Everton,3,1,H,NaN,NaN,NaN
CHI,28/11/2004,,Universidad Católica,Unión San Felipe,3,0,H,NaN,NaN,NaN
CHI,28/11/2004,,Universidad de Chile,Deportes Temuco,5,3,H,NaN,NaN,NaN
CHI,01/12/2004,,CD Cobreloa,CD Cobresal,2,1,H,NaN,NaN,NaN
CHI,01/12/2004,,Deportes Temuco,Universidad Católica,3,1,H,NaN,NaN,NaN
CHI,02/12/2004,,Unión Española,Universidad de Chile,4,3,H,NaN,NaN,NaN
CHI,02/12/2004,,Everton,Colo-Colo,1,3,A,NaN,NaN,NaN
CHI,04/12/2004,,CD Cobresal,CD Cobreloa,2,2,D,NaN,NaN,NaN
CHI,04/12/2004,,Universidad Católica,Deportes Temuco,6,2,H,NaN,NaN,NaN
CHI,05/12/2004,,Universidad de Chile,Unión Española,2,4,A,NaN,NaN,NaN
CHI,05/12/2004,,Colo-Colo,Everton,3,4,A,NaN,NaN,NaN
CHI,08/12/2004,,CD Cobreloa,Colo-Colo,4,1,H,NaN,NaN,NaN
CHI,09/12/2004,,Unión Española,Universidad Católica,3,1,H,NaN,NaN,NaN
CHI,11/12/2004,,Colo-Colo,CD Cobreloa,1,1,D,NaN,NaN,NaN
CHI,12/12/2004,,Universidad Católica,Unión Española,3,4,A,NaN,NaN,NaN
CHI,16/12/2004,,Unión Española,CD Cobreloa,1,3,A,NaN,NaN,NaN
CHI,19/12/2004,,CD Cobreloa,Unión Española,0,0,D,NaN,NaN,NaN
