Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHN,17/04/1994,,August 1st (Army Team),Jiangsu Maint,1,1,D,NaN,NaN,NaN
CHN,17/04/1994,,Guangdong Hongyuan,Beijing Guoan,0,2,A,NaN,NaN,NaN
CHN,17/04/1994,,Changchun Yatai,Dalian Wanda,1,3,A,NaN,NaN,NaN
CHN,17/04/1994,,Shandong Taishan FC,Guangzhou Taiyangshen,1,0,H,NaN,NaN,NaN
CHN,17/04/1994,,Shenyang Huayang,Shanghai Shenhua,2,3,A,NaN,NaN,NaN
CHN,17/04/1994,,Sichuan Quanxing,Liaoning Far East,1,1,D,NaN,NaN,NaN
CHN,24/04/1994,,Guangdong Hongyuan,August 1st (Army Team),0,1,A,NaN,NaN,NaN
CHN,24/04/1994,,Jiangsu Maint,Guangzhou Taiyangshen,0,0,D,NaN,NaN,NaN
CHN,24/04/1994,,Shandong Taishan FC,Liaoning Far East,1,0,H,NaN,NaN,NaN
CHN,24/04/1994,,Shanghai Shenhua,Beijing Guoan,4,3,H,NaN,NaN,NaN
CHN,24/04/1994,,Shenyang Huayang,Dalian Wanda,1,0,H,NaN,NaN,NaN
CHN,24/04/1994,,Sichuan Quanxing,Changchun Yatai,4,0,H,NaN,NaN,NaN
CHN,01/05/1994,,Beijing Guoan,Dalian Wanda,2,2,D,NaN,NaN,NaN
CHN,01/05/1994,,Guangzhou Taiyangshen,Guangdong Hongyuan,3,1,H,NaN,NaN,NaN
CHN,01/05/1994,,Jiangsu Maint,Shandong Taishan FC,0,1,A,NaN,NaN,NaN
CHN,01/05/1994,,Liaoning Far East,Changchun Yatai,2,2,D,NaN,NaN,NaN
CHN,01/05/1994,,Shanghai Shenhua,August 1st (Army Team),2,0,H,NaN,NaN,NaN
CHN,01/05/1994,,Sichuan Quanxing,Shenyang Huayang,2,0,H,NaN,NaN,NaN
CHN,08/06/1994,,August 1st (Army Team),Dalian Wanda,0,1,A,NaN,NaN,NaN
CHN,08/06/1994,,Beijing Guoan,Sichuan Quanxing,0,1,A,NaN,NaN,NaN
CHN,08/06/1994,,Guangzhou Taiyangshen,Shanghai Shenhua,2,5,A,NaN,NaN,NaN
CHN,08/06/1994,,Changchun Yatai,Shenyang Huayang,3,2,H,NaN,NaN,NaN
CHN,08/06/1994,,Liaoning Far East,Jiangsu Maint,2,0,H,NaN,NaN,NaN
CHN,08/06/1994,,Shandong Taishan FC,Guangdong Hongyuan,0,1,A,NaN,NaN,NaN
CHN,05/06/1994,,August 1st (Army Team),Sichuan Quanxing,2,1,H,NaN,NaN,NaN
CHN,05/06/1994,,Dalian Wanda,Guangzhou Taiyangshen,2,1,H,NaN,NaN,NaN
CHN,05/06/1994,,Guangdong Hongyuan,Jiangsu Maint,5,1,H,NaN,NaN,NaN
CHN,05/06/1994,,Changchun Yatai,Beijing Guoan,0,0,D,NaN,NaN,NaN
CHN,05/06/1994,,Liaoning Far East,Shenyang Huayang,1,1,D,NaN,NaN,NaN
CHN,05/06/1994,,Shandong Taishan FC,Shanghai Shenhua,3,1,H,NaN,NaN,NaN
CHN,12/06/1994,,August 1st (Army Team),Changchun Yatai,2,1,H,NaN,NaN,NaN
CHN,12/06/1994,,Dalian Wanda,Shandong Taishan FC,3,1,H,NaN,NaN,NaN
CHN,12/06/1994,,Guangdong Hongyuan,Liaoning Far East,2,0,H,NaN,NaN,NaN
CHN,12/06/1994,,Jiangsu Maint,Shanghai Shenhua,1,4,A,NaN,NaN,NaN
CHN,12/06/1994,,Shenyang Huayang,Beijing Guoan,0,1,A,NaN,NaN,NaN
CHN,12/06/1994,,Sichuan Quanxing,Guangzhou Taiyangshen,0,0,D,NaN,NaN,NaN
CHN,19/06/1994,,Beijing Guoan,Liaoning Far East,3,1,H,NaN,NaN,NaN
CHN,19/06/1994,,Guangzhou Taiyangshen,Changchun Yatai,1,0,H,NaN,NaN,NaN
CHN,19/06/1994,,Jiangsu Maint,Dalian Wanda,1,3,A,NaN,NaN,NaN
CHN,19/06/1994,,Shanghai Shenhua,Guangdong Hongyuan,0,0,D,NaN,NaN,NaN
CHN,19/06/1994,,Shenyang Huayang,August 1st (Army Team),0,0,D,NaN,NaN,NaN
CHN,19/06/1994,,Sichuan Quanxing,Shandong Taishan FC,2,0,H,NaN,NaN,NaN
CHN,26/06/1994,,Beijing Guoan,August 1st (Army Team),0,0,D,NaN,NaN,NaN
CHN,26/06/1994,,Guangdong Hongyuan,Dalian Wanda,2,1,H,NaN,NaN,NaN
CHN,26/06/1994,,Jiangsu Maint,Sichuan Quanxing,1,1,D,NaN,NaN,NaN
CHN,26/06/1994,,Changchun Yatai,Shandong Taishan FC,1,1,D,NaN,NaN,NaN
CHN,26/06/1994,,Shanghai Shenhua,Liaoning Far East,1,3,A,NaN,NaN,NaN
CHN,26/06/1994,,Shenyang Huayang,Guangzhou Taiyangshen,1,1,D,NaN,NaN,NaN
CHN,03/07/1994,,Dalian Wanda,Shanghai Shenhua,2,2,D,NaN,NaN,NaN
CHN,03/07/1994,,Guangzhou Taiyangshen,Beijing Guoan,3,2,H,NaN,NaN,NaN
CHN,03/07/1994,,Jiangsu Maint,Changchun Yatai,1,0,H,NaN,NaN,NaN
CHN,03/07/1994,,Liaoning Far East,August 1st (Army Team),2,1,H,NaN,NaN,NaN
CHN,03/07/1994,,Shandong Taishan FC,Shenyang Huayang,1,0,H,NaN,NaN,NaN
CHN,03/07/1994,,Sichuan Quanxing,Guangdong Hongyuan,1,0,H,NaN,NaN,NaN
CHN,10/07/1994,,Dalian Wanda,Liaoning Far East,2,1,H,NaN,NaN,NaN
CHN,10/07/1994,,Guangzhou Taiyangshen,August 1st (Army Team),1,0,H,NaN,NaN,NaN
CHN,10/07/1994,,Changchun Yatai,Guangdong Hongyuan,1,1,D,NaN,NaN,NaN
CHN,10/07/1994,,Shandong Taishan FC,Beijing Guoan,1,1,D,NaN,NaN,NaN
CHN,10/07/1994,,Shanghai Shenhua,Sichuan Quanxing,2,1,H,NaN,NaN,NaN
CHN,10/07/1994,,Shenyang Huayang,Jiangsu Maint,1,1,D,NaN,NaN,NaN
CHN,17/07/1994,,August 1st (Army Team),Shandong Taishan FC,1,0,H,NaN,NaN,NaN
CHN,17/07/1994,,Beijing Guoan,Jiangsu Maint,4,1,H,NaN,NaN,NaN
CHN,17/07/1994,,Dalian Wanda,Sichuan Quanxing,1,0,H,NaN,NaN,NaN
CHN,17/07/1994,,Guangdong Hongyuan,Shenyang Huayang,1,1,D,NaN,NaN,NaN
CHN,17/07/1994,,Changchun Yatai,Shanghai Shenhua,3,1,H,NaN,NaN,NaN
CHN,17/07/1994,,Liaoning Far East,Guangzhou Taiyangshen,5,0,H,NaN,NaN,NaN
CHN,24/07/1994,,Beijing Guoan,Guangdong Hongyuan,2,2,D,NaN,NaN,NaN
CHN,24/07/1994,,Dalian Wanda,Changchun Yatai,1,0,H,NaN,NaN,NaN
CHN,24/07/1994,,Guangzhou Taiyangshen,Shandong Taishan FC,3,1,H,NaN,NaN,NaN
CHN,24/07/1994,,Jiangsu Maint,August 1st (Army Team),0,0,D,NaN,NaN,NaN
CHN,24/07/1994,,Liaoning Far East,Sichuan Quanxing,6,3,H,NaN,NaN,NaN
CHN,24/07/1994,,Shanghai Shenhua,Shenyang Huayang,0,0,D,NaN,NaN,NaN
CHN,31/07/1994,,August 1st (Army Team),Guangdong Hongyuan,0,0,D,NaN,NaN,NaN
CHN,31/07/1994,,Beijing Guoan,Shanghai Shenhua,5,1,H,NaN,NaN,NaN
CHN,31/07/1994,,Dalian Wanda,Shenyang Huayang,4,0,H,NaN,NaN,NaN
CHN,31/07/1994,,Guangzhou Taiyangshen,Jiangsu Maint,2,0,H,NaN,NaN,NaN
CHN,31/07/1994,,Changchun Yatai,Sichuan Quanxing,1,1,D,NaN,NaN,NaN
CHN,31/07/1994,,Liaoning Far East,Shandong Taishan FC,1,0,H,NaN,NaN,NaN
CHN,07/08/1994,,August 1st (Army Team),Shanghai Shenhua,1,2,A,NaN,NaN,NaN
CHN,07/08/1994,,Dalian Wanda,Beijing Guoan,4,1,H,NaN,NaN,NaN
CHN,07/08/1994,,Guangdong Hongyuan,Guangzhou Taiyangshen,0,2,A,NaN,NaN,NaN
CHN,07/08/1994,,Changchun Yatai,Liaoning Far East,3,2,H,NaN,NaN,NaN
CHN,07/08/1994,,Shandong Taishan FC,Jiangsu Maint,3,0,H,NaN,NaN,NaN
CHN,07/08/1994,,Shenyang Huayang,Sichuan Quanxing,0,1,A,NaN,NaN,NaN
CHN,14/08/1994,,Dalian Wanda,August 1st (Army Team),1,1,D,NaN,NaN,NaN
CHN,14/08/1994,,Guangdong Hongyuan,Shandong Taishan FC,3,0,H,NaN,NaN,NaN
CHN,14/08/1994,,Jiangsu Maint,Liaoning Far East,1,5,A,NaN,NaN,NaN
CHN,14/08/1994,,Shanghai Shenhua,Guangzhou Taiyangshen,1,6,A,NaN,NaN,NaN
CHN,14/08/1994,,Shenyang Huayang,Changchun Yatai,2,2,D,NaN,NaN,NaN
CHN,14/08/1994,,Sichuan Quanxing,Beijing Guoan,4,1,H,NaN,NaN,NaN
CHN,21/08/1994,,Beijing Guoan,Changchun Yatai,1,2,A,NaN,NaN,NaN
CHN,21/08/1994,,Guangzhou Taiyangshen,Dalian Wanda,3,2,H,NaN,NaN,NaN
CHN,21/08/1994,,Jiangsu Maint,Guangdong Hongyuan,0,0,D,NaN,NaN,NaN
CHN,21/08/1994,,Shanghai Shenhua,Shandong Taishan FC,0,0,D,NaN,NaN,NaN
CHN,21/08/1994,,Shenyang Huayang,Liaoning Far East,3,4,A,NaN,NaN,NaN
CHN,21/08/1994,,Sichuan Quanxing,August 1st (Army Team),0,0,D,NaN,NaN,NaN
CHN,28/08/1994,,Beijing Guoan,Shenyang Huayang,6,0,H,NaN,NaN,NaN
CHN,28/08/1994,,Guangzhou Taiyangshen,Sichuan Quanxing,1,0,H,NaN,NaN,NaN
CHN,28/08/1994,,Changchun Yatai,August 1st (Army Team),3,0,H,NaN,NaN,NaN
CHN,28/08/1994,,Liaoning Far East,Guangdong Hongyuan,2,1,H,NaN,NaN,NaN
CHN,28/08/1994,,Shandong Taishan FC,Dalian Wanda,0,3,A,NaN,NaN,NaN
CHN,28/08/1994,,Shanghai Shenhua,Jiangsu Maint,2,0,H,NaN,NaN,NaN
CHN,04/09/1994,,August 1st (Army Team),Shenyang Huayang,0,0,D,NaN,NaN,NaN
CHN,04/09/1994,,Dalian Wanda,Jiangsu Maint,2,2,D,NaN,NaN,NaN
CHN,04/09/1994,,Guangdong Hongyuan,Shanghai Shenhua,2,0,H,NaN,NaN,NaN
CHN,04/09/1994,,Changchun Yatai,Guangzhou Taiyangshen,1,1,D,NaN,NaN,NaN
CHN,04/09/1994,,Liaoning Far East,Beijing Guoan,3,1,H,NaN,NaN,NaN
CHN,04/09/1994,,Shandong Taishan FC,Sichuan Quanxing,2,0,H,NaN,NaN,NaN
CHN,23/10/1994,,August 1st (Army Team),Beijing Guoan,2,2,D,NaN,NaN,NaN
CHN,23/10/1994,,Dalian Wanda,Guangdong Hongyuan,1,0,H,NaN,NaN,NaN
CHN,23/10/1994,,Guangzhou Taiyangshen,Shenyang Huayang,3,0,H,NaN,NaN,NaN
CHN,23/10/1994,,Liaoning Far East,Shanghai Shenhua,2,4,A,NaN,NaN,NaN
CHN,23/10/1994,,Shandong Taishan FC,Changchun Yatai,2,0,H,NaN,NaN,NaN
CHN,23/10/1994,,Sichuan Quanxing,Jiangsu Maint,4,1,H,NaN,NaN,NaN
CHN,30/10/1994,,August 1st (Army Team),Liaoning Far East,2,1,H,NaN,NaN,NaN
CHN,30/10/1994,,Beijing Guoan,Guangzhou Taiyangshen,1,1,D,NaN,NaN,NaN
CHN,30/10/1994,,Guangdong Hongyuan,Sichuan Quanxing,2,2,D,NaN,NaN,NaN
CHN,30/10/1994,,Changchun Yatai,Jiangsu Maint,1,0,H,NaN,NaN,NaN
CHN,30/10/1994,,Shanghai Shenhua,Dalian Wanda,0,0,D,NaN,NaN,NaN
CHN,30/10/1994,,Shenyang Huayang,Shandong Taishan FC,0,1,A,NaN,NaN,NaN
CHN,06/11/1994,,August 1st (Army Team),Guangzhou Taiyangshen,1,0,H,NaN,NaN,NaN
CHN,06/11/1994,,Beijing Guoan,Shandong Taishan FC,2,2,D,NaN,NaN,NaN
CHN,06/11/1994,,Guangdong Hongyuan,Changchun Yatai,2,0,H,NaN,NaN,NaN
CHN,06/11/1994,,Jiangsu Maint,Shenyang Huayang,1,1,D,NaN,NaN,NaN
CHN,06/11/1994,,Liaoning Far East,Dalian Wanda,0,2,A,NaN,NaN,NaN
CHN,06/11/1994,,Sichuan Quanxing,Shanghai Shenhua,0,0,D,NaN,NaN,NaN
CHN,13/11/1994,,Guangzhou Taiyangshen,Liaoning Far East,2,3,A,NaN,NaN,NaN
CHN,13/11/1994,,Jiangsu Maint,Beijing Guoan,0,2,A,NaN,NaN,NaN
