Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CYP,29/03/2008,14:00,Enosis Neon Paralimni,APOP Kinyras,4,3,H,NaN,NaN,NaN
CYP,29/03/2008,14:00,Ethnikos Achna,Apollon Limassol,1,1,D,NaN,NaN,NaN
CYP,05/04/2008,15:00,Enosis Neon Paralimni,Ethnikos Achna,1,1,D,NaN,NaN,NaN
CYP,05/04/2008,15:00,APOP Kinyras,Apollon Limassol,1,2,A,NaN,NaN,NaN
CYP,12/04/2008,15:00,Ethnikos Achna,APOP Kinyras,2,2,D,NaN,NaN,NaN
CYP,13/04/2008,15:00,Apollon Limassol,Enosis Neon Paralimni,4,1,H,NaN,NaN,NaN
CYP,19/04/2008,15:00,Enosis Neon Paralimni,Apollon Limassol,1,0,H,NaN,NaN,NaN
CYP,19/04/2008,15:00,APOP Kinyras,Ethnikos Achna,1,0,H,NaN,NaN,NaN
CYP,03/05/2008,15:00,APOP Kinyras,Enosis Neon Paralimni,3,4,A,NaN,NaN,NaN
CYP,03/05/2008,15:00,Apollon Limassol,Ethnikos Achna,0,2,A,NaN,NaN,NaN
CYP,10/05/2008,15:00,Ethnikos Achna,Enosis Neon Paralimni,4,3,H,NaN,NaN,NaN
CYP,11/05/2008,16:00,Apollon Limassol,APOP Kinyras,2,2,D,NaN,NaN,NaN
