Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CYP,21/03/2009,15:00,Alki Larnaca,AE Paphos,1,1,D,NaN,NaN,NaN
CYP,21/03/2009,15:00,APEP Pitsilias,Enosis Neon Paralimni,2,0,H,NaN,NaN,NaN
CYP,04/04/2009,14:30,APEP Pitsilias,Alki Larnaca,0,4,A,NaN,NaN,NaN
CYP,04/04/2009,14:30,Enosis Neon Paralimni,AE Paphos,0,0,D,NaN,NaN,NaN
CYP,12/04/2009,14:00,AE Paphos,APEP Pitsilias,1,1,D,NaN,NaN,NaN
CYP,12/04/2009,14:00,Alki Larnaca,Enosis Neon Paralimni,1,2,A,NaN,NaN,NaN
CYP,25/04/2009,15:00,Enosis Neon Paralimni,Alki Larnaca,2,1,H,NaN,NaN,NaN
CYP,25/04/2009,15:00,APEP Pitsilias,AE Paphos,0,1,A,NaN,NaN,NaN
CYP,02/05/2009,15:00,AE Paphos,Alki Larnaca,3,4,A,NaN,NaN,NaN
CYP,02/05/2009,15:00,Enosis Neon Paralimni,APEP Pitsilias,0,1,A,NaN,NaN,NaN
CYP,09/05/2009,15:00,Alki Larnaca,APEP Pitsilias,1,1,D,NaN,NaN,NaN
CYP,09/05/2009,15:00,AE Paphos,Enosis Neon Paralimni,3,0,H,NaN,NaN,NaN
