Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ESP,14/09/1968,,FC Barcelona,Real Sociedad,0,0,D,0,0,D
ESP,15/09/1968,,Real Zaragoza,Athletic Bilbao,0,2,A,0,1,A
ESP,15/09/1968,,Real Madrid,Espanyol Barcelona,3,1,H,2,1,H
ESP,15/09/1968,,Pontevedra CF,Valencia CF,2,0,H,1,0,H
ESP,15/09/1968,,UD Las Palmas,Atlético Madrid,2,1,H,2,0,H
ESP,15/09/1968,,CD Málaga,Deportivo La Coruña,3,1,H,1,0,H
ESP,15/09/1968,,Granada CF,CE Sabadell,0,1,A,0,0,D
ESP,15/09/1968,,Elche CF,Córdoba CF,4,1,H,1,1,D
ESP,21/09/1968,,Atlético Madrid,FC Barcelona,0,1,A,0,1,A
ESP,21/09/1968,,Espanyol Barcelona,UD Las Palmas,1,2,A,1,0,H
ESP,22/09/1968,,Córdoba CF,CD Málaga,2,2,D,1,1,D
ESP,22/09/1968,,Real Sociedad,Pontevedra CF,0,0,D,0,0,D
ESP,22/09/1968,,Athletic Bilbao,Elche CF,1,1,D,0,0,D
ESP,22/09/1968,,Deportivo La Coruña,Real Madrid,2,4,A,1,0,H
ESP,22/09/1968,,CE Sabadell,Real Zaragoza,1,0,H,0,0,D
ESP,22/09/1968,,Valencia CF,Granada CF,4,1,H,2,0,H
ESP,28/09/1968,,Granada CF,Real Sociedad,0,0,D,0,0,D
ESP,28/09/1968,,CD Málaga,Athletic Bilbao,4,0,H,3,0,H
ESP,29/09/1968,,UD Las Palmas,FC Barcelona,0,0,D,0,0,D
ESP,29/09/1968,,Real Madrid,Córdoba CF,2,0,H,1,0,H
ESP,29/09/1968,,Elche CF,CE Sabadell,3,0,H,2,0,H
ESP,29/09/1968,,Espanyol Barcelona,Deportivo La Coruña,4,0,H,1,0,H
ESP,29/09/1968,,Real Zaragoza,Valencia CF,3,1,H,2,1,H
ESP,29/09/1968,,Pontevedra CF,Atlético Madrid,0,0,D,0,0,D
ESP,06/10/1968,,CE Sabadell,CD Málaga,2,1,H,1,0,H
ESP,06/10/1968,,Valencia CF,Elche CF,1,0,H,0,0,D
ESP,06/10/1968,,Atlético Madrid,Granada CF,1,0,H,0,0,D
ESP,06/10/1968,,Real Sociedad,Real Zaragoza,2,1,H,1,0,H
ESP,06/10/1968,,Athletic Bilbao,Real Madrid,0,1,A,0,1,A
ESP,06/10/1968,,Córdoba CF,Espanyol Barcelona,5,0,H,2,0,H
ESP,06/10/1968,,UD Las Palmas,Deportivo La Coruña,2,1,H,0,0,D
ESP,06/10/1968,,FC Barcelona,Pontevedra CF,1,0,H,0,0,D
ESP,13/10/1968,,CD Málaga,Valencia CF,4,1,H,1,1,D
ESP,13/10/1968,,Deportivo La Coruña,Córdoba CF,1,0,H,0,0,D
ESP,13/10/1968,,Real Madrid,CE Sabadell,5,3,H,2,1,H
ESP,13/10/1968,,Pontevedra CF,UD Las Palmas,3,0,H,1,0,H
ESP,13/10/1968,,Real Zaragoza,Atlético Madrid,2,0,H,0,0,D
ESP,13/10/1968,,Espanyol Barcelona,Athletic Bilbao,2,0,H,2,0,H
