Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
FRA,21/08/1949,,Olympique Marseille,Girondins Bordeaux,3,0,H,NaN,NaN,NaN
FRA,21/08/1949,,Stade Red Star,Stade Rennes,3,1,H,NaN,NaN,NaN
FRA,21/08/1949,,FC Sochaux,Racing Club de France,0,2,A,NaN,NaN,NaN
FRA,21/08/1949,,AS Saint-Étienne,Lille OSC,3,4,A,NaN,NaN,NaN
FRA,21/08/1949,,RC Strasbourg,Stade Reims,2,1,H,NaN,NaN,NaN
FRA,21/08/1949,,Stade Olympique Montpelliérain,AS Nancy,2,1,H,NaN,NaN,NaN
FRA,21/08/1949,,RC Lens,OGC Nice,2,1,H,NaN,NaN,NaN
FRA,21/08/1949,,RC Roubaix,Toulouse FC,0,1,A,NaN,NaN,NaN
FRA,21/08/1949,,FC Metz,FC Sète,1,1,D,NaN,NaN,NaN
FRA,28/08/1949,,Lille OSC,Stade Olympique Montpelliérain,5,0,H,NaN,NaN,NaN
FRA,28/08/1949,,RC Lens,FC Metz,5,3,H,NaN,NaN,NaN
FRA,28/08/1949,,AS Nancy,Olympique Marseille,4,0,H,NaN,NaN,NaN
FRA,28/08/1949,,AS Saint-Étienne,Toulouse FC,3,0,H,NaN,NaN,NaN
FRA,28/08/1949,,Girondins Bordeaux,Stade Red Star,2,1,H,NaN,NaN,NaN
FRA,28/08/1949,,Racing Club de France,OGC Nice,1,2,A,NaN,NaN,NaN
FRA,28/08/1949,,FC Sète,RC Roubaix,3,3,D,NaN,NaN,NaN
FRA,28/08/1949,,RC Strasbourg,FC Sochaux,0,1,A,NaN,NaN,NaN
FRA,28/08/1949,,Stade Rennes,Stade Reims,1,1,D,NaN,NaN,NaN
FRA,03/09/1949,,Stade Red Star,AS Nancy,0,4,A,NaN,NaN,NaN
FRA,04/09/1949,,Olympique Marseille,Lille OSC,2,3,A,NaN,NaN,NaN
FRA,04/09/1949,,OGC Nice,RC Strasbourg,5,1,H,NaN,NaN,NaN
FRA,04/09/1949,,FC Metz,Racing Club de France,1,4,A,NaN,NaN,NaN
FRA,04/09/1949,,RC Roubaix,RC Lens,1,0,H,NaN,NaN,NaN
FRA,04/09/1949,,Stade Reims,Girondins Bordeaux,0,2,A,NaN,NaN,NaN
FRA,04/09/1949,,Toulouse FC,FC Sète,3,1,H,NaN,NaN,NaN
FRA,04/09/1949,,FC Sochaux,Stade Rennes,2,1,H,NaN,NaN,NaN
FRA,04/09/1949,,Stade Olympique Montpelliérain,AS Saint-Étienne,1,1,D,NaN,NaN,NaN
FRA,11/09/1949,,AS Nancy,Lille OSC,0,1,A,NaN,NaN,NaN
FRA,11/09/1949,,Girondins Bordeaux,Stade Olympique Montpelliérain,7,0,H,NaN,NaN,NaN
FRA,11/09/1949,,Toulouse FC,FC Metz,8,2,H,NaN,NaN,NaN
FRA,11/09/1949,,RC Lens,FC Sochaux,1,2,A,NaN,NaN,NaN
FRA,11/09/1949,,RC Roubaix,AS Saint-Étienne,2,0,H,NaN,NaN,NaN
FRA,11/09/1949,,FC Sète,OGC Nice,1,0,H,NaN,NaN,NaN
FRA,11/09/1949,,Racing Club de France,Stade Reims,2,4,A,NaN,NaN,NaN
FRA,11/09/1949,,RC Strasbourg,Stade Red Star,3,1,H,NaN,NaN,NaN
FRA,11/09/1949,,Stade Rennes,Olympique Marseille,1,1,D,NaN,NaN,NaN
FRA,18/09/1949,,Lille OSC,Girondins Bordeaux,4,2,H,NaN,NaN,NaN
FRA,18/09/1949,,OGC Nice,Toulouse FC,0,5,A,NaN,NaN,NaN
FRA,18/09/1949,,FC Sochaux,FC Sète,8,1,H,NaN,NaN,NaN
FRA,18/09/1949,,FC Metz,RC Roubaix,2,2,D,NaN,NaN,NaN
FRA,18/09/1949,,Stade Reims,RC Lens,5,0,H,NaN,NaN,NaN
FRA,18/09/1949,,Olympique Marseille,RC Strasbourg,2,2,D,NaN,NaN,NaN
FRA,18/09/1949,,Stade Red Star,Racing Club de France,2,1,H,NaN,NaN,NaN
FRA,18/09/1949,,Stade Olympique Montpelliérain,Stade Rennes,5,6,A,NaN,NaN,NaN
FRA,18/09/1949,,AS Saint-Étienne,AS Nancy,3,5,A,NaN,NaN,NaN
FRA,22/09/1949,,Stade Rennes,Lille OSC,0,3,A,NaN,NaN,NaN
FRA,22/09/1949,,Toulouse FC,FC Sochaux,0,0,D,NaN,NaN,NaN
FRA,22/09/1949,,Girondins Bordeaux,AS Nancy,5,0,H,NaN,NaN,NaN
FRA,22/09/1949,,RC Roubaix,OGC Nice,1,0,H,NaN,NaN,NaN
FRA,22/09/1949,,RC Strasbourg,Stade Olympique Montpelliérain,2,1,H,NaN,NaN,NaN
FRA,22/09/1949,,Racing Club de France,Olympique Marseille,5,0,H,NaN,NaN,NaN
FRA,22/09/1949,,RC Lens,Stade Red Star,2,1,H,NaN,NaN,NaN
FRA,22/09/1949,,FC Sète,Stade Reims,3,1,H,NaN,NaN,NaN
FRA,22/09/1949,,FC Metz,AS Saint-Étienne,1,4,A,NaN,NaN,NaN
FRA,24/09/1949,,Stade Red Star,FC Sète,4,0,H,NaN,NaN,NaN
FRA,25/09/1949,,Lille OSC,RC Strasbourg,7,1,H,NaN,NaN,NaN
FRA,25/09/1949,,Girondins Bordeaux,AS Saint-Étienne,5,2,H,NaN,NaN,NaN
FRA,25/09/1949,,FC Sochaux,RC Roubaix,1,1,D,NaN,NaN,NaN
FRA,25/09/1949,,Stade Reims,Toulouse FC,1,0,H,NaN,NaN,NaN
FRA,25/09/1949,,AS Nancy,Stade Rennes,3,1,H,NaN,NaN,NaN
FRA,25/09/1949,,Olympique Marseille,RC Lens,1,4,A,NaN,NaN,NaN
FRA,25/09/1949,,Stade Olympique Montpelliérain,Racing Club de France,3,1,H,NaN,NaN,NaN
FRA,25/09/1949,,OGC Nice,FC Metz,0,2,A,NaN,NaN,NaN
FRA,02/10/1949,,Racing Club de France,Lille OSC,3,1,H,NaN,NaN,NaN
FRA,02/10/1949,,FC Metz,FC Sochaux,0,2,A,NaN,NaN,NaN
FRA,02/10/1949,,Stade Rennes,Girondins Bordeaux,0,0,D,NaN,NaN,NaN
FRA,02/10/1949,,Toulouse FC,Stade Red Star,5,2,H,NaN,NaN,NaN
FRA,02/10/1949,,RC Roubaix,Stade Reims,1,1,D,NaN,NaN,NaN
FRA,02/10/1949,,RC Strasbourg,AS Nancy,3,0,H,NaN,NaN,NaN
FRA,02/10/1949,,AS Saint-Étienne,OGC Nice,2,0,H,NaN,NaN,NaN
FRA,02/10/1949,,FC Sète,Olympique Marseille,1,2,A,NaN,NaN,NaN
FRA,02/10/1949,,RC Lens,Stade Olympique Montpelliérain,3,0,H,NaN,NaN,NaN
FRA,16/10/1949,,Lille OSC,RC Lens,4,1,H,NaN,NaN,NaN
FRA,16/10/1949,,Girondins Bordeaux,RC Strasbourg,6,0,H,NaN,NaN,NaN
FRA,16/10/1949,,Olympique Marseille,Toulouse FC,2,2,D,NaN,NaN,NaN
FRA,16/10/1949,,OGC Nice,FC Sochaux,5,0,H,NaN,NaN,NaN
FRA,16/10/1949,,Stade Red Star,RC Roubaix,2,2,D,NaN,NaN,NaN
FRA,16/10/1949,,Stade Reims,FC Metz,6,2,H,NaN,NaN,NaN
FRA,16/10/1949,,AS Nancy,Racing Club de France,1,1,D,NaN,NaN,NaN
FRA,16/10/1949,,AS Saint-Étienne,Stade Rennes,2,2,D,NaN,NaN,NaN
FRA,16/10/1949,,Stade Olympique Montpelliérain,FC Sète,3,2,H,NaN,NaN,NaN
FRA,23/10/1949,,FC Sète,Lille OSC,0,2,A,NaN,NaN,NaN
FRA,23/10/1949,,Racing Club de France,Girondins Bordeaux,3,4,A,NaN,NaN,NaN
FRA,23/10/1949,,Toulouse FC,Stade Olympique Montpelliérain,3,1,H,NaN,NaN,NaN
FRA,23/10/1949,,FC Sochaux,AS Saint-Étienne,6,2,H,NaN,NaN,NaN
FRA,23/10/1949,,RC Roubaix,Olympique Marseille,1,1,D,NaN,NaN,NaN
FRA,23/10/1949,,RC Lens,AS Nancy,2,1,H,NaN,NaN,NaN
FRA,23/10/1949,,OGC Nice,Stade Reims,1,1,D,NaN,NaN,NaN
FRA,23/10/1949,,RC Strasbourg,Stade Rennes,2,3,A,NaN,NaN,NaN
FRA,23/10/1949,,FC Metz,Stade Red Star,1,1,D,NaN,NaN,NaN
FRA,06/11/1949,,Stade Reims,FC Sochaux,5,3,H,NaN,NaN,NaN
FRA,06/11/1949,,Stade Olympique Montpelliérain,RC Roubaix,0,1,A,NaN,NaN,NaN
FRA,06/11/1949,,Stade Rennes,Racing Club de France,1,2,A,NaN,NaN,NaN
FRA,06/11/1949,,AS Nancy,FC Sète,4,0,H,NaN,NaN,NaN
FRA,06/11/1949,,AS Saint-Étienne,RC Strasbourg,5,0,H,NaN,NaN,NaN
FRA,06/11/1949,,Olympique Marseille,FC Metz,4,0,H,NaN,NaN,NaN
FRA,06/11/1949,,Stade Red Star,OGC Nice,0,2,A,NaN,NaN,NaN
FRA,06/11/1949,,Lille OSC,Toulouse FC,4,1,H,NaN,NaN,NaN
FRA,06/11/1949,,Girondins Bordeaux,RC Lens,5,1,H,NaN,NaN,NaN
FRA,20/11/1949,,RC Roubaix,Lille OSC,1,2,A,NaN,NaN,NaN
FRA,20/11/1949,,FC Sète,Girondins Bordeaux,2,2,D,NaN,NaN,NaN
FRA,20/11/1949,,Toulouse FC,AS Nancy,2,0,H,NaN,NaN,NaN
FRA,20/11/1949,,Stade Reims,AS Saint-Étienne,0,0,D,NaN,NaN,NaN
FRA,20/11/1949,,FC Sochaux,Stade Red Star,1,2,A,NaN,NaN,NaN
FRA,20/11/1949,,Racing Club de France,RC Strasbourg,3,0,H,NaN,NaN,NaN
FRA,20/11/1949,,RC Lens,Stade Rennes,3,3,D,NaN,NaN,NaN
FRA,20/11/1949,,OGC Nice,Olympique Marseille,6,4,H,NaN,NaN,NaN
FRA,20/11/1949,,FC Metz,Stade Olympique Montpelliérain,5,2,H,NaN,NaN,NaN
FRA,27/11/1949,,Lille OSC,FC Metz,2,1,H,NaN,NaN,NaN
FRA,27/11/1949,,Girondins Bordeaux,Toulouse FC,1,2,A,NaN,NaN,NaN
FRA,27/11/1949,,AS Nancy,RC Roubaix,2,2,D,NaN,NaN,NaN
FRA,27/11/1949,,AS Saint-Étienne,Racing Club de France,1,1,D,NaN,NaN,NaN
FRA,27/11/1949,,Stade Red Star,Stade Reims,2,0,H,NaN,NaN,NaN
FRA,27/11/1949,,Olympique Marseille,FC Sochaux,3,0,H,NaN,NaN,NaN
FRA,27/11/1949,,RC Strasbourg,RC Lens,3,2,H,NaN,NaN,NaN
FRA,27/11/1949,,Stade Olympique Montpelliérain,OGC Nice,2,2,D,NaN,NaN,NaN
FRA,27/11/1949,,Stade Rennes,FC Sète,4,2,H,NaN,NaN,NaN
FRA,04/12/1949,,OGC Nice,Lille OSC,3,2,H,NaN,NaN,NaN
FRA,04/12/1949,,Toulouse FC,Stade Rennes,3,2,H,NaN,NaN,NaN
FRA,04/12/1949,,RC Roubaix,Girondins Bordeaux,0,0,D,NaN,NaN,NaN
FRA,04/12/1949,,Stade Reims,Olympique Marseille,2,0,H,NaN,NaN,NaN
FRA,04/12/1949,,RC Lens,Racing Club de France,0,0,D,NaN,NaN,NaN
FRA,04/12/1949,,FC Sochaux,Stade Olympique Montpelliérain,2,2,D,NaN,NaN,NaN
FRA,04/12/1949,,Stade Red Star,AS Saint-Étienne,2,2,D,NaN,NaN,NaN
FRA,04/12/1949,,FC Metz,AS Nancy,3,0,H,NaN,NaN,NaN
FRA,04/12/1949,,FC Sète,RC Strasbourg,2,1,H,NaN,NaN,NaN
FRA,18/12/1949,,Stade Reims,Lille OSC,2,1,H,NaN,NaN,NaN
FRA,18/12/1949,,Toulouse FC,Racing Club de France,2,0,H,NaN,NaN,NaN
FRA,18/12/1949,,OGC Nice,Girondins Bordeaux,3,2,H,NaN,NaN,NaN
FRA,18/12/1949,,RC Roubaix,RC Strasbourg,2,0,H,NaN,NaN,NaN
FRA,18/12/1949,,FC Sochaux,AS Nancy,3,4,A,NaN,NaN,NaN
FRA,18/12/1949,,Olympique Marseille,AS Saint-Étienne,2,0,H,NaN,NaN,NaN
FRA,18/12/1949,,FC Sète,RC Lens,3,1,H,NaN,NaN,NaN
FRA,18/12/1949,,Stade Red Star,Stade Olympique Montpelliérain,1,2,A,NaN,NaN,NaN
FRA,18/12/1949,,FC Metz,Stade Rennes,1,2,A,NaN,NaN,NaN
FRA,25/12/1949,,Lille OSC,Stade Red Star,5,1,H,NaN,NaN,NaN
FRA,25/12/1949,,RC Lens,Toulouse FC,0,3,A,NaN,NaN,NaN
FRA,25/12/1949,,Girondins Bordeaux,FC Sochaux,2,1,H,NaN,NaN,NaN
FRA,25/12/1949,,AS Nancy,Stade Reims,0,2,A,NaN,NaN,NaN
FRA,25/12/1949,,Racing Club de France,RC Roubaix,1,1,D,NaN,NaN,NaN
FRA,25/12/1949,,Stade Rennes,OGC Nice,5,2,H,NaN,NaN,NaN
FRA,25/12/1949,,AS Saint-Étienne,FC Sète,1,0,H,NaN,NaN,NaN
FRA,25/12/1949,,Stade Olympique Montpelliérain,Olympique Marseille,1,0,H,NaN,NaN,NaN
FRA,25/12/1949,,RC Strasbourg,FC Metz,2,1,H,NaN,NaN,NaN
FRA,01/01/1950,,Lille OSC,FC Sochaux,2,0,H,NaN,NaN,NaN
FRA,01/01/1950,,RC Strasbourg,Toulouse FC,4,1,H,NaN,NaN,NaN
FRA,01/01/1950,,Girondins Bordeaux,FC Metz,1,1,D,NaN,NaN,NaN
FRA,01/01/1950,,Stade Olympique Montpelliérain,Stade Reims,0,1,A,NaN,NaN,NaN
FRA,01/01/1950,,Stade Rennes,RC Roubaix,1,1,D,NaN,NaN,NaN
FRA,01/01/1950,,Racing Club de France,FC Sète,2,1,H,NaN,NaN,NaN
FRA,01/01/1950,,AS Saint-Étienne,RC Lens,2,0,H,NaN,NaN,NaN
FRA,01/01/1950,,AS Nancy,OGC Nice,2,2,D,NaN,NaN,NaN
FRA,02/01/1950,,Olympique Marseille,Stade Red Star,2,1,H,NaN,NaN,NaN
FRA,14/01/1950,,RC Roubaix,FC Sète,3,1,H,NaN,NaN,NaN
FRA,14/01/1950,,Olympique Marseille,AS Nancy,1,2,A,NaN,NaN,NaN
FRA,15/01/1950,,Stade Olympique Montpelliérain,Lille OSC,4,3,H,NaN,NaN,NaN
FRA,15/01/1950,,Toulouse FC,AS Saint-Étienne,2,0,H,NaN,NaN,NaN
FRA,15/01/1950,,Stade Red Star,Girondins Bordeaux,0,4,A,NaN,NaN,NaN
FRA,15/01/1950,,Stade Reims,Stade Rennes,3,1,H,NaN,NaN,NaN
FRA,15/01/1950,,OGC Nice,Racing Club de France,1,4,A,NaN,NaN,NaN
FRA,15/01/1950,,FC Sochaux,RC Strasbourg,0,0,D,NaN,NaN,NaN
FRA,15/01/1950,,FC Metz,RC Lens,1,1,D,NaN,NaN,NaN
FRA,22/01/1950,,Lille OSC,Olympique Marseille,1,2,A,NaN,NaN,NaN
FRA,22/01/1950,,FC Sète,Toulouse FC,1,1,D,NaN,NaN,NaN
FRA,22/01/1950,,Girondins Bordeaux,Stade Reims,4,0,H,NaN,NaN,NaN
FRA,22/01/1950,,RC Lens,RC Roubaix,3,2,H,NaN,NaN,NaN
FRA,22/01/1950,,Racing Club de France,FC Metz,2,2,D,NaN,NaN,NaN
FRA,22/01/1950,,AS Saint-Étienne,Stade Olympique Montpelliérain,5,1,H,NaN,NaN,NaN
FRA,22/01/1950,,AS Nancy,Stade Red Star,1,1,D,NaN,NaN,NaN
FRA,22/01/1950,,Stade Rennes,FC Sochaux,1,2,A,NaN,NaN,NaN
FRA,22/01/1950,,RC Strasbourg,OGC Nice,0,0,D,NaN,NaN,NaN
FRA,29/01/1950,,Lille OSC,AS Nancy,2,1,H,NaN,NaN,NaN
FRA,29/01/1950,,FC Metz,Toulouse FC,1,4,A,NaN,NaN,NaN
FRA,29/01/1950,,Stade Olympique Montpelliérain,Girondins Bordeaux,0,1,A,NaN,NaN,NaN
FRA,29/01/1950,,Stade Reims,Racing Club de France,3,2,H,NaN,NaN,NaN
FRA,29/01/1950,,OGC Nice,FC Sète,5,0,H,NaN,NaN,NaN
FRA,29/01/1950,,FC Sochaux,RC Lens,1,0,H,NaN,NaN,NaN
FRA,29/01/1950,,Olympique Marseille,Stade Rennes,3,1,H,NaN,NaN,NaN
FRA,29/01/1950,,Stade Red Star,RC Strasbourg,0,0,D,NaN,NaN,NaN
FRA,05/02/1950,,AS Saint-Étienne,RC Roubaix,0,0,D,NaN,NaN,NaN
FRA,12/02/1950,,Girondins Bordeaux,Lille OSC,1,1,D,NaN,NaN,NaN
FRA,12/02/1950,,Toulouse FC,OGC Nice,2,3,A,NaN,NaN,NaN
FRA,12/02/1950,,RC Lens,Stade Reims,0,0,D,NaN,NaN,NaN
FRA,12/02/1950,,RC Roubaix,FC Metz,3,1,H,NaN,NaN,NaN
FRA,12/02/1950,,Racing Club de France,Stade Red Star,2,1,H,NaN,NaN,NaN
FRA,12/02/1950,,FC Sète,FC Sochaux,1,2,A,NaN,NaN,NaN
FRA,12/02/1950,,RC Strasbourg,Olympique Marseille,1,1,D,NaN,NaN,NaN
FRA,12/02/1950,,AS Nancy,AS Saint-Étienne,2,1,H,NaN,NaN,NaN
FRA,12/02/1950,,Stade Rennes,Stade Olympique Montpelliérain,5,1,H,NaN,NaN,NaN
FRA,16/02/1950,,Lille OSC,Stade Rennes,1,0,H,NaN,NaN,NaN
FRA,16/02/1950,,FC Sochaux,Toulouse FC,1,2,A,NaN,NaN,NaN
FRA,16/02/1950,,AS Nancy,Girondins Bordeaux,0,0,D,NaN,NaN,NaN
FRA,16/02/1950,,Stade Reims,FC Sète,2,1,H,NaN,NaN,NaN
FRA,16/02/1950,,OGC Nice,RC Roubaix,3,2,H,NaN,NaN,NaN
FRA,16/02/1950,,Olympique Marseille,Racing Club de France,1,1,D,NaN,NaN,NaN
FRA,16/02/1950,,AS Saint-Étienne,FC Metz,1,3,A,NaN,NaN,NaN
FRA,16/02/1950,,Stade Olympique Montpelliérain,RC Strasbourg,3,0,H,NaN,NaN,NaN
FRA,16/02/1950,,Stade Red Star,RC Lens,4,3,H,NaN,NaN,NaN
FRA,19/02/1950,,RC Strasbourg,Lille OSC,2,1,H,NaN,NaN,NaN
FRA,19/02/1950,,Toulouse FC,Stade Reims,1,1,D,NaN,NaN,NaN
FRA,19/02/1950,,AS Saint-Étienne,Girondins Bordeaux,1,1,D,NaN,NaN,NaN
FRA,19/02/1950,,Racing Club de France,Stade Olympique Montpelliérain,6,0,H,NaN,NaN,NaN
FRA,19/02/1950,,FC Metz,OGC Nice,0,3,A,NaN,NaN,NaN
FRA,19/02/1950,,RC Roubaix,FC Sochaux,0,2,A,NaN,NaN,NaN
FRA,19/02/1950,,RC Lens,Olympique Marseille,1,2,A,NaN,NaN,NaN
FRA,19/02/1950,,Stade Rennes,AS Nancy,2,1,H,NaN,NaN,NaN
FRA,19/02/1950,,FC Sète,Stade Red Star,3,2,H,NaN,NaN,NaN
FRA,05/03/1950,,Lille OSC,Racing Club de France,2,2,D,NaN,NaN,NaN
FRA,05/03/1950,,Stade Red Star,Toulouse FC,1,3,A,NaN,NaN,NaN
FRA,05/03/1950,,Girondins Bordeaux,Stade Rennes,2,1,H,NaN,NaN,NaN
FRA,05/03/1950,,Stade Reims,RC Roubaix,2,1,H,NaN,NaN,NaN
FRA,05/03/1950,,OGC Nice,AS Saint-Étienne,1,1,D,NaN,NaN,NaN
FRA,05/03/1950,,FC Sochaux,FC Metz,3,1,H,NaN,NaN,NaN
FRA,05/03/1950,,Olympique Marseille,FC Sète,3,4,A,NaN,NaN,NaN
FRA,05/03/1950,,AS Nancy,RC Strasbourg,1,2,A,NaN,NaN,NaN
FRA,05/03/1950,,Stade Olympique Montpelliérain,RC Lens,4,2,H,NaN,NaN,NaN
FRA,12/03/1950,,Toulouse FC,Olympique Marseille,1,1,D,NaN,NaN,NaN
FRA,12/03/1950,,RC Strasbourg,Girondins Bordeaux,1,1,D,NaN,NaN,NaN
FRA,12/03/1950,,RC Lens,Lille OSC,1,0,H,NaN,NaN,NaN
