Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GDR,12/08/1989,14:00,BSG Energie Cottbus,FC Karl-Marx-Stadt,0,0,D,0,0,D
GDR,12/08/1989,14:00,FC Carl Zeiss Jena,1. FC Magdeburg,0,2,A,0,1,A
GDR,12/08/1989,14:00,Hansa Rostock,BSG Stahl Brandenburg,1,0,H,0,0,D
GDR,12/08/1989,14:00,BFC Dynamo,Rot-Weiß Erfurt,2,2,D,2,1,H
GDR,12/08/1989,14:00,Stahl Eisenhüttenstadt,BSG Wismut Aue,0,0,D,0,0,D
GDR,12/08/1989,14:00,1. FC Lok Leipzig,BSG Fortschritt Bischofswerda,3,1,H,2,0,H
GDR,12/08/1989,14:00,Dynamo Dresden,Hallescher FC Chemie,2,0,H,0,0,D
GDR,19/08/1989,14:00,1. FC Magdeburg,Hansa Rostock,2,1,H,0,1,A
GDR,19/08/1989,14:00,BSG Energie Cottbus,FC Carl Zeiss Jena,1,0,H,0,0,D
GDR,19/08/1989,14:00,BSG Stahl Brandenburg,BFC Dynamo,1,1,D,0,0,D
GDR,19/08/1989,14:00,Rot-Weiß Erfurt,Stahl Eisenhüttenstadt,0,0,D,0,0,D
GDR,19/08/1989,14:00,BSG Wismut Aue,1. FC Lok Leipzig,0,1,A,0,0,D
GDR,19/08/1989,14:00,BSG Fortschritt Bischofswerda,Dynamo Dresden,0,1,A,0,0,D
GDR,19/08/1989,14:00,Hallescher FC Chemie,FC Karl-Marx-Stadt,4,0,H,2,0,H
GDR,01/09/1989,17:00,FC Karl-Marx-Stadt,Dynamo Dresden,1,1,D,0,1,A
GDR,01/09/1989,17:00,FC Carl Zeiss Jena,Hallescher FC Chemie,2,0,H,1,0,H
GDR,01/09/1989,17:00,Hansa Rostock,BSG Energie Cottbus,3,0,H,2,0,H
GDR,01/09/1989,17:00,BFC Dynamo,1. FC Magdeburg,2,1,H,0,0,D
GDR,01/09/1989,17:00,Stahl Eisenhüttenstadt,BSG Stahl Brandenburg,3,1,H,2,1,H
GDR,01/09/1989,17:00,1. FC Lok Leipzig,Rot-Weiß Erfurt,2,1,H,1,0,H
GDR,01/09/1989,17:00,BSG Fortschritt Bischofswerda,BSG Wismut Aue,1,0,H,0,0,D
GDR,09/09/1989,14:00,Dynamo Dresden,BSG Wismut Aue,3,0,H,2,0,H
GDR,09/09/1989,14:00,BSG Energie Cottbus,BFC Dynamo,2,2,D,0,2,A
