Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GEO,26/07/2003,,Dinamo Tbilisi,Lazika Zugdidi,6,0,H,NaN,NaN,NaN
GEO,26/07/2003,,Torpedo Kutaisi,Dinamo Batumi,2,0,H,NaN,NaN,NaN
GEO,26/07/2003,,Kolkheti-1913 Poti,Dila Gori,0,0,D,NaN,NaN,NaN
GEO,26/07/2003,,Mertskhali Ozurgeti,FC Tbilisi,2,1,H,NaN,NaN,NaN
GEO,27/07/2003,,WIT Georgia,FK Mtskheta,7,0,H,NaN,NaN,NaN
GEO,28/07/2003,,Lokomotiv Tbilisi,Sioni Bolnisi,1,1,D,NaN,NaN,NaN
GEO,02/08/2003,,Lazika Zugdidi,FC Tbilisi,0,3,A,NaN,NaN,NaN
GEO,02/08/2003,,Dinamo Tbilisi,Torpedo Kutaisi,3,0,H,NaN,NaN,NaN
GEO,02/08/2003,,Sioni Bolnisi,Mertskhali Ozurgeti,4,1,H,NaN,NaN,NaN
GEO,02/08/2003,,Dinamo Batumi,Kolkheti-1913 Poti,0,1,A,NaN,NaN,NaN
GEO,03/08/2003,,FK Mtskheta,Lokomotiv Tbilisi,2,1,H,NaN,NaN,NaN
GEO,03/08/2003,,Dila Gori,WIT Georgia,3,0,H,NaN,NaN,NaN
GEO,09/08/2003,,Torpedo Kutaisi,Lazika Zugdidi,0,0,D,NaN,NaN,NaN
GEO,09/08/2003,,Kolkheti-1913 Poti,Dinamo Tbilisi,2,1,H,NaN,NaN,NaN
GEO,09/08/2003,,Mertskhali Ozurgeti,FK Mtskheta,1,1,D,NaN,NaN,NaN
GEO,09/08/2003,,FC Tbilisi,Sioni Bolnisi,1,1,D,NaN,NaN,NaN
GEO,10/08/2003,,Lokomotiv Tbilisi,Dila Gori,2,1,H,NaN,NaN,NaN
GEO,11/08/2003,,WIT Georgia,Dinamo Batumi,3,1,H,NaN,NaN,NaN
GEO,16/08/2003,,FK Mtskheta,FC Tbilisi,3,2,H,NaN,NaN,NaN
GEO,16/08/2003,,Dila Gori,Mertskhali Ozurgeti,2,1,H,NaN,NaN,NaN
GEO,16/08/2003,,Dinamo Batumi,Lokomotiv Tbilisi,1,3,A,NaN,NaN,NaN
GEO,17/08/2003,,Dinamo Tbilisi,WIT Georgia,0,0,D,NaN,NaN,NaN
GEO,18/08/2003,,Lazika Zugdidi,Sioni Bolnisi,0,1,A,NaN,NaN,NaN
GEO,18/08/2003,,Torpedo Kutaisi,Kolkheti-1913 Poti,1,0,H,NaN,NaN,NaN
GEO,23/08/2003,,Kolkheti-1913 Poti,Lazika Zugdidi,3,0,H,NaN,NaN,NaN
GEO,23/08/2003,,Lokomotiv Tbilisi,Dinamo Tbilisi,0,1,A,NaN,NaN,NaN
GEO,23/08/2003,,Mertskhali Ozurgeti,Dinamo Batumi,0,1,A,NaN,NaN,NaN
GEO,23/08/2003,,Sioni Bolnisi,FK Mtskheta,2,0,H,NaN,NaN,NaN
GEO,24/08/2003,,WIT Georgia,Torpedo Kutaisi,1,0,H,NaN,NaN,NaN
GEO,25/08/2003,,FC Tbilisi,Dila Gori,2,1,H,NaN,NaN,NaN
GEO,31/08/2003,,Lazika Zugdidi,FK Mtskheta,2,1,H,NaN,NaN,NaN
GEO,31/08/2003,,Dila Gori,Sioni Bolnisi,2,0,H,NaN,NaN,NaN
GEO,31/08/2003,,Dinamo Batumi,FC Tbilisi,1,0,H,NaN,NaN,NaN
GEO,31/08/2003,,Dinamo Tbilisi,Mertskhali Ozurgeti,8,1,H,NaN,NaN,NaN
GEO,31/08/2003,,Torpedo Kutaisi,Lokomotiv Tbilisi,3,1,H,NaN,NaN,NaN
GEO,31/08/2003,,Kolkheti-1913 Poti,WIT Georgia,0,2,A,NaN,NaN,NaN
GEO,13/09/2003,,WIT Georgia,Lazika Zugdidi,2,0,H,NaN,NaN,NaN
GEO,13/09/2003,,Lokomotiv Tbilisi,Kolkheti-1913 Poti,2,0,H,NaN,NaN,NaN
GEO,13/09/2003,,Mertskhali Ozurgeti,Torpedo Kutaisi,0,0,D,NaN,NaN,NaN
GEO,13/09/2003,,Sioni Bolnisi,Dinamo Batumi,1,0,H,NaN,NaN,NaN
GEO,13/09/2003,,FK Mtskheta,Dila Gori,0,1,A,NaN,NaN,NaN
GEO,14/09/2003,,FC Tbilisi,Dinamo Tbilisi,0,4,A,NaN,NaN,NaN
GEO,20/09/2003,,Lazika Zugdidi,Dila Gori,0,3,A,NaN,NaN,NaN
GEO,20/09/2003,,Dinamo Batumi,FK Mtskheta,2,0,H,NaN,NaN,NaN
GEO,20/09/2003,,Dinamo Tbilisi,Sioni Bolnisi,0,0,D,NaN,NaN,NaN
GEO,20/09/2003,,Kolkheti-1913 Poti,Mertskhali Ozurgeti,1,3,A,NaN,NaN,NaN
GEO,21/09/2003,,Torpedo Kutaisi,FC Tbilisi,2,1,H,NaN,NaN,NaN
GEO,21/09/2003,,WIT Georgia,Lokomotiv Tbilisi,1,1,D,NaN,NaN,NaN
GEO,26/09/2003,,Mertskhali Ozurgeti,WIT Georgia,0,1,A,NaN,NaN,NaN
