Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GEO,18/03/2004,,Dinamo Tbilisi,Lokomotiv Tbilisi,0,0,D,NaN,NaN,NaN
GEO,18/03/2004,,WIT Georgia,Sioni Bolnisi,0,0,D,NaN,NaN,NaN
GEO,18/03/2004,,FC Tbilisi,Dila Gori,0,0,D,NaN,NaN,NaN
GEO,26/03/2004,,Dila Gori,Lokomotiv Tbilisi,0,0,D,NaN,NaN,NaN
GEO,26/03/2004,,Sioni Bolnisi,Dinamo Tbilisi,3,2,H,NaN,NaN,NaN
GEO,26/03/2004,,FC Tbilisi,WIT Georgia,1,0,H,NaN,NaN,NaN
GEO,03/04/2004,,WIT Georgia,Dila Gori,3,0,H,NaN,NaN,NaN
GEO,03/04/2004,,Dinamo Tbilisi,FC Tbilisi,2,2,D,NaN,NaN,NaN
GEO,03/04/2004,,Lokomotiv Tbilisi,Sioni Bolnisi,0,1,A,NaN,NaN,NaN
GEO,10/04/2004,,Dila Gori,Sioni Bolnisi,0,4,A,NaN,NaN,NaN
GEO,10/04/2004,,FC Tbilisi,Lokomotiv Tbilisi,5,1,H,NaN,NaN,NaN
GEO,10/04/2004,,WIT Georgia,Dinamo Tbilisi,1,0,H,NaN,NaN,NaN
GEO,16/04/2004,,Dinamo Tbilisi,Dila Gori,5,0,H,NaN,NaN,NaN
GEO,16/04/2004,,Lokomotiv Tbilisi,WIT Georgia,0,1,A,NaN,NaN,NaN
GEO,16/04/2004,,Sioni Bolnisi,FC Tbilisi,1,1,D,NaN,NaN,NaN
GEO,24/04/2004,,Dila Gori,FC Tbilisi,0,2,A,NaN,NaN,NaN
GEO,24/04/2004,,Sioni Bolnisi,WIT Georgia,1,0,H,NaN,NaN,NaN
GEO,24/04/2004,,Lokomotiv Tbilisi,Dinamo Tbilisi,0,0,D,NaN,NaN,NaN
GEO,01/05/2004,,WIT Georgia,FC Tbilisi,0,0,D,NaN,NaN,NaN
GEO,01/05/2004,,Dinamo Tbilisi,Sioni Bolnisi,1,0,H,NaN,NaN,NaN
GEO,01/05/2004,,Lokomotiv Tbilisi,Dila Gori,3,1,H,NaN,NaN,NaN
GEO,09/05/2004,,FC Tbilisi,Dinamo Tbilisi,0,2,A,NaN,NaN,NaN
GEO,09/05/2004,,Sioni Bolnisi,Lokomotiv Tbilisi,1,1,D,NaN,NaN,NaN
GEO,12/05/2004,,Dila Gori,WIT Georgia,0,1,A,NaN,NaN,NaN
GEO,17/05/2004,,Dinamo Tbilisi,WIT Georgia,1,3,A,NaN,NaN,NaN
GEO,17/05/2004,,Lokomotiv Tbilisi,FC Tbilisi,1,1,D,NaN,NaN,NaN
GEO,17/05/2004,,Sioni Bolnisi,Dila Gori,2,0,H,NaN,NaN,NaN
GEO,22/05/2004,,Dila Gori,Dinamo Tbilisi,1,2,A,NaN,NaN,NaN
GEO,22/05/2004,,WIT Georgia,Lokomotiv Tbilisi,1,0,H,NaN,NaN,NaN
GEO,22/05/2004,,FC Tbilisi,Sioni Bolnisi,0,1,A,NaN,NaN,NaN
