Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GER,20/08/1982,18:30,Borussia Dortmund,VfB Stuttgart,1,1,D,1,0,H
GER,20/08/1982,19:00,1. FC Kaiserslautern,Hertha BSC,2,2,D,1,0,H
GER,21/08/1982,14:30,SV Bayer 04 Leverkusen,Arminia Bielefeld,0,1,A,0,1,A
GER,21/08/1982,14:30,Karlsruher SC,Eintracht Frankfurt,1,0,H,1,0,H
GER,21/08/1982,14:30,Fortuna Düsseldorf,VfL Bochum,2,0,H,1,0,H
GER,21/08/1982,14:30,Werder Bremen,Bayern München,1,0,H,1,0,H
GER,21/08/1982,14:30,1. FC Nürnberg,Hamburger SV,2,2,D,1,2,A
GER,21/08/1982,14:30,FC Schalke 04,Bor. Mönchengladbach,2,4,A,0,1,A
GER,21/08/1982,14:30,Eintracht Braunschweig,1. FC Köln,2,2,D,0,0,D
GER,17/08/1982,19:00,Hertha BSC,Borussia Dortmund,1,3,A,0,2,A
GER,24/08/1982,19:00,VfB Stuttgart,FC Schalke 04,2,1,H,2,0,H
GER,24/08/1982,19:00,Bayern München,Fortuna Düsseldorf,1,0,H,0,0,D
GER,24/08/1982,19:00,VfL Bochum,Karlsruher SC,0,1,A,0,0,D
GER,24/08/1982,19:00,Eintracht Frankfurt,SV Bayer 04 Leverkusen,5,0,H,1,0,H
GER,25/08/1982,19:00,Bor. Mönchengladbach,1. FC Nürnberg,1,2,A,1,1,D
GER,25/08/1982,19:00,Hamburger SV,Werder Bremen,1,1,D,1,1,D
GER,25/08/1982,19:00,Arminia Bielefeld,Eintracht Braunschweig,2,0,H,1,0,H
GER,07/09/1982,19:00,1. FC Köln,1. FC Kaiserslautern,3,0,H,2,0,H
GER,31/08/1982,19:00,Werder Bremen,Bor. Mönchengladbach,2,0,H,1,0,H
GER,31/08/1982,19:00,FC Schalke 04,Hertha BSC,2,0,H,1,0,H
GER,01/09/1982,18:30,SV Bayer 04 Leverkusen,VfL Bochum,1,0,H,1,0,H
