Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GRE,17/08/2013,17:15,Platanias Chanion,Veria FC,2,2,D,2,0,H
GRE,17/08/2013,17:15,Atromitos,Ergotelis,2,2,D,1,2,A
GRE,17/08/2013,19:30,PAOK Saloniki,Skoda Xanthi,3,0,H,1,0,H
GRE,18/08/2013,17:15,Asteras Tripolis,PAS Giannina,3,3,D,2,2,D
GRE,18/08/2013,17:15,Apollon Smyrnis,Aris Saloniki,2,1,H,1,0,H
GRE,18/08/2013,17:15,OFI Heraklion,Panionios GSS,0,0,D,0,0,D
GRE,18/08/2013,17:15,Levadiakos,Panthrakikos,2,2,D,0,0,D
GRE,18/08/2013,19:30,Panathinaikos,Panetolikos,2,0,H,1,0,H
GRE,19/08/2013,19:30,AEL Kalloni,Olympiakos Piräus,0,1,A,0,0,D
GRE,24/08/2013,17:15,Veria FC,OFI Heraklion,2,0,H,0,0,D
GRE,24/08/2013,17:15,Panetolikos,PAOK Saloniki,2,0,H,2,0,H
GRE,24/08/2013,19:30,Panionios GSS,Panathinaikos,3,0,H,1,0,H
GRE,25/08/2013,17:15,Platanias Chanion,Asteras Tripolis,1,1,D,1,0,H
GRE,25/08/2013,17:15,PAS Giannina,Apollon Smyrnis,2,0,H,2,0,H
GRE,25/08/2013,17:15,Aris Saloniki,AEL Kalloni,0,2,A,0,1,A
GRE,25/08/2013,17:15,Skoda Xanthi,Panthrakikos,1,0,H,1,0,H
GRE,25/08/2013,19:30,Olympiakos Piräus,Atromitos,2,1,H,0,0,D
GRE,26/08/2013,19:30,Ergotelis,Levadiakos,2,0,H,0,0,D
GRE,31/08/2013,17:15,AEL Kalloni,PAS Giannina,1,0,H,0,0,D
GRE,31/08/2013,17:15,Skoda Xanthi,Ergotelis,0,0,D,0,0,D
GRE,31/08/2013,19:30,Panathinaikos,Veria FC,1,1,D,1,0,H
GRE,01/09/2013,17:15,Asteras Tripolis,Apollon Smyrnis,2,0,H,0,0,D
GRE,01/09/2013,17:15,PAOK Saloniki,Panionios GSS,4,1,H,1,0,H
GRE,01/09/2013,17:15,Panthrakikos,Panetolikos,2,1,H,2,1,H
