Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GUA,27/05/2009,02:00,CSD Comunicaciones,Deportivo Jalapa,0,1,A,NaN,NaN,NaN
GUA,29/05/2009,03:00,Xelaju MC,Deportivo Suchitepéquez,3,1,H,NaN,NaN,NaN
GUA,31/05/2009,03:00,Deportivo Jalapa,CSD Comunicaciones,3,0,H,NaN,NaN,NaN
GUA,31/05/2009,18:00,Deportivo Suchitepéquez,Xelaju MC,4,0,H,NaN,NaN,NaN
GUA,04/06/2009,19:30,Deportivo Suchitepéquez,CSD Municipal,2,0,H,NaN,NaN,NaN
GUA,05/06/2009,03:00,Deportivo Jalapa,Deportivo Heredia,1,0,H,NaN,NaN,NaN
GUA,07/06/2009,18:00,CSD Municipal,Deportivo Suchitepéquez,3,0,H,NaN,NaN,NaN
GUA,07/06/2009,20:00,Deportivo Heredia,Deportivo Jalapa,2,2,D,NaN,NaN,NaN
GUA,12/06/2009,03:00,Deportivo Jalapa,CSD Municipal,3,1,H,NaN,NaN,NaN
GUA,14/06/2009,18:00,CSD Municipal,Deportivo Jalapa,0,1,A,NaN,NaN,NaN
