Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HKG,06/09/2008,08:30,South China AA,Citizen,1,1,D,NaN,NaN,NaN
HKG,07/09/2008,08:00,Eastern Athletic Association,Happy Valley,0,0,D,NaN,NaN,NaN
HKG,07/09/2008,10:00,TSW Pegasus,Kitchee SC,0,1,A,NaN,NaN,NaN
HKG,09/09/2008,11:00,Tuen Mun Progoal,Tai Po FC,0,3,A,NaN,NaN,NaN
HKG,09/09/2008,13:00,Mutual,Xiangxue Eisiti,0,0,D,NaN,NaN,NaN
HKG,10/09/2008,13:00,Sheffield United,Convoy Sun Hei,0,0,D,NaN,NaN,NaN
HKG,13/09/2008,08:00,Tai Po FC,Sheffield United,2,1,H,NaN,NaN,NaN
HKG,13/09/2008,12:30,Xiangxue Eisiti,Eastern Athletic Association,0,1,A,NaN,NaN,NaN
HKG,14/09/2008,07:00,Kitchee SC,Mutual,3,1,H,NaN,NaN,NaN
HKG,14/09/2008,09:00,Convoy Sun Hei,TSW Pegasus,1,2,A,NaN,NaN,NaN
HKG,15/09/2008,07:00,Citizen,Tuen Mun Progoal,4,1,H,NaN,NaN,NaN
HKG,15/09/2008,09:00,Happy Valley,Fourway Athletics,0,2,A,NaN,NaN,NaN
HKG,19/09/2008,11:00,Mutual,Convoy Sun Hei,0,4,A,NaN,NaN,NaN
HKG,19/09/2008,13:00,Sheffield United,Citizen,2,3,A,NaN,NaN,NaN
HKG,20/09/2008,07:00,TSW Pegasus,Tai Po FC,1,2,A,NaN,NaN,NaN
HKG,20/09/2008,09:00,Tuen Mun Progoal,South China AA,0,9,A,NaN,NaN,NaN
HKG,21/09/2008,07:00,Fourway Athletics,Xiangxue Eisiti,4,0,H,NaN,NaN,NaN
HKG,21/09/2008,09:00,Eastern Athletic Association,Kitchee SC,1,3,A,NaN,NaN,NaN
HKG,26/09/2008,11:00,Kitchee SC,Fourway Athletics,2,0,H,NaN,NaN,NaN
HKG,26/09/2008,13:00,Convoy Sun Hei,Eastern Athletic Association,4,0,H,NaN,NaN,NaN
HKG,27/09/2008,08:00,Tai Po FC,Mutual,0,0,D,NaN,NaN,NaN
HKG,27/09/2008,12:30,Xiangxue Eisiti,Happy Valley,0,1,A,NaN,NaN,NaN
HKG,28/09/2008,07:00,Citizen,TSW Pegasus,3,2,H,NaN,NaN,NaN
HKG,28/09/2008,09:00,South China AA,Sheffield United,2,0,H,NaN,NaN,NaN
HKG,01/10/2008,07:00,Sheffield United,Tuen Mun Progoal,4,0,H,NaN,NaN,NaN
HKG,01/10/2008,09:00,Fourway Athletics,Convoy Sun Hei,1,0,H,NaN,NaN,NaN
HKG,04/10/2008,07:00,Eastern Athletic Association,Tai Po FC,1,3,A,NaN,NaN,NaN
HKG,04/10/2008,09:00,Happy Valley,Kitchee SC,1,1,D,NaN,NaN,NaN
HKG,08/10/2008,13:00,TSW Pegasus,South China AA,0,3,A,NaN,NaN,NaN
HKG,21/10/2008,08:00,Mutual,Citizen,2,5,A,NaN,NaN,NaN
