Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HON,28/07/2012,23:00,Atlético Choloma,CDS Vida,4,2,H,NaN,NaN,NaN
HON,29/07/2012,00:00,Real España,Real Sociedad,1,0,H,NaN,NaN,NaN
HON,29/07/2012,01:00,CD Victoria,CD Motagua,2,1,H,NaN,NaN,NaN
HON,29/07/2012,22:00,Platense FC,CD Marathón,1,0,H,NaN,NaN,NaN
HON,30/07/2012,02:00,CD Olimpia,Deportes Savio,3,1,H,NaN,NaN,NaN
HON,04/08/2012,23:00,CD Motagua,Platense FC,2,0,H,NaN,NaN,NaN
HON,05/08/2012,00:30,Deportes Savio,CD Victoria,0,1,A,NaN,NaN,NaN
HON,05/08/2012,22:00,CDS Vida,Real España,0,3,A,NaN,NaN,NaN
HON,09/08/2012,02:30,CD Marathón,Real Sociedad,1,2,A,NaN,NaN,NaN
HON,09/08/2012,02:30,Atlético Choloma,CD Olimpia,0,0,D,NaN,NaN,NaN
HON,12/08/2012,02:00,Real España,CD Motagua,1,0,H,NaN,NaN,NaN
HON,12/08/2012,02:00,CD Victoria,CDS Vida,3,0,H,NaN,NaN,NaN
HON,12/08/2012,21:00,Real Sociedad,Atlético Choloma,2,1,H,NaN,NaN,NaN
HON,12/08/2012,22:00,Platense FC,Deportes Savio,4,2,H,NaN,NaN,NaN
HON,14/08/2012,23:00,CD Olimpia,CD Marathón,4,0,H,NaN,NaN,NaN
HON,16/08/2012,02:00,CD Victoria,CD Olimpia,2,2,D,NaN,NaN,NaN
HON,16/08/2012,02:30,Deportes Savio,Real España,1,0,H,NaN,NaN,NaN
HON,16/08/2012,22:00,Real Sociedad,Platense FC,0,0,D,NaN,NaN,NaN
HON,17/08/2012,02:00,CD Marathón,Atlético Choloma,1,2,A,NaN,NaN,NaN
HON,17/08/2012,02:00,CD Motagua,CDS Vida,0,0,D,NaN,NaN,NaN
HON,18/08/2012,22:45,Atlético Choloma,Deportes Savio,2,1,H,NaN,NaN,NaN
HON,19/08/2012,02:00,Real España,CD Marathón,2,3,A,NaN,NaN,NaN
HON,19/08/2012,22:00,Platense FC,CD Victoria,1,3,A,NaN,NaN,NaN
HON,19/08/2012,22:00,CDS Vida,Real Sociedad,2,1,H,NaN,NaN,NaN
HON,20/08/2012,06:00,CD Motagua,CD Olimpia,2,2,D,NaN,NaN,NaN
HON,25/08/2012,23:00,Real España,Atlético Choloma,3,1,H,NaN,NaN,NaN
HON,26/08/2012,03:00,Deportes Savio,CDS Vida,2,1,H,NaN,NaN,NaN
HON,27/08/2012,00:00,Real Sociedad,CD Motagua,2,1,H,NaN,NaN,NaN
HON,27/08/2012,01:00,CD Victoria,CD Marathón,2,0,H,NaN,NaN,NaN
HON,27/08/2012,02:00,CD Olimpia,Platense FC,1,1,D,NaN,NaN,NaN
HON,01/09/2012,22:30,CD Marathón,CD Motagua,1,1,D,NaN,NaN,NaN
HON,02/09/2012,00:30,Deportes Savio,Real Sociedad,0,0,D,NaN,NaN,NaN
HON,02/09/2012,02:30,Atlético Choloma,CD Victoria,1,1,D,NaN,NaN,NaN
HON,02/09/2012,22:00,CDS Vida,Platense FC,1,0,H,NaN,NaN,NaN
HON,02/09/2012,23:00,CD Olimpia,Real España,1,0,H,NaN,NaN,NaN
HON,09/09/2012,02:00,Real España,CD Victoria,1,0,H,NaN,NaN,NaN
HON,09/09/2012,21:00,Real Sociedad,CD Olimpia,0,0,D,NaN,NaN,NaN
HON,09/09/2012,22:00,Platense FC,Atlético Choloma,0,0,D,NaN,NaN,NaN
HON,09/09/2012,22:00,CDS Vida,CD Marathón,2,2,D,NaN,NaN,NaN
HON,09/09/2012,23:00,CD Motagua,Deportes Savio,1,1,D,NaN,NaN,NaN
HON,14/09/2012,02:00,CD Olimpia,CDS Vida,3,0,H,NaN,NaN,NaN
HON,15/09/2012,22:30,CD Marathón,Deportes Savio,1,0,H,NaN,NaN,NaN
HON,15/09/2012,23:35,Atlético Choloma,CD Motagua,1,2,A,NaN,NaN,NaN
HON,16/09/2012,21:00,CD Victoria,Real Sociedad,0,0,D,NaN,NaN,NaN
HON,16/09/2012,22:00,Platense FC,Real España,1,0,H,NaN,NaN,NaN
HON,23/09/2012,21:00,Deportes Savio,CD Olimpia,1,2,A,NaN,NaN,NaN
HON,23/09/2012,22:00,CDS Vida,Atlético Choloma,3,2,H,NaN,NaN,NaN
HON,23/09/2012,22:00,Real Sociedad,Real España,1,0,H,NaN,NaN,NaN
HON,23/09/2012,22:30,CD Marathón,Platense FC,2,0,H,NaN,NaN,NaN
HON,23/09/2012,23:10,CD Motagua,CD Victoria,1,0,H,NaN,NaN,NaN
HON,30/09/2012,02:00,Real España,CDS Vida,2,4,A,NaN,NaN,NaN
HON,30/09/2012,21:00,CD Victoria,Deportes Savio,2,0,H,NaN,NaN,NaN
HON,30/09/2012,22:00,Platense FC,CD Motagua,0,0,D,NaN,NaN,NaN
HON,30/09/2012,22:00,Real Sociedad,CD Marathón,0,1,A,NaN,NaN,NaN
HON,30/09/2012,23:00,CD Olimpia,Atlético Choloma,4,1,H,NaN,NaN,NaN
HON,05/10/2012,23:00,CDS Vida,CD Victoria,0,0,D,NaN,NaN,NaN
HON,06/10/2012,22:30,CD Marathón,CD Olimpia,1,0,H,NaN,NaN,NaN
HON,07/10/2012,00:00,Atlético Choloma,Real Sociedad,3,1,H,NaN,NaN,NaN
HON,07/10/2012,21:00,Deportes Savio,Platense FC,1,1,D,NaN,NaN,NaN
HON,07/10/2012,23:00,CD Motagua,Real España,1,1,D,NaN,NaN,NaN
