Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
IND,19/12/1997,,JCT FC,Churchill Brothers,3,0,H,NaN,NaN,NaN
IND,19/12/1997,,Salgaocar SC,Mahindra & Mahindra SC,0,0,D,NaN,NaN,NaN
IND,20/12/1997,,Air India,Mohun Bagan,1,0,H,NaN,NaN,NaN
IND,23/12/1997,,FC Kochin,East Bengal FC,2,1,H,NaN,NaN,NaN
IND,15/03/1998,,Indian Bank,Dempo SC,1,0,H,NaN,NaN,NaN
IND,21/12/1997,,Air India,Salgaocar SC,1,0,H,NaN,NaN,NaN
IND,27/12/1997,,JCT FC,East Bengal FC,0,0,D,NaN,NaN,NaN
IND,28/12/1997,,Mohun Bagan,Churchill Brothers,2,1,H,NaN,NaN,NaN
IND,28/12/1997,,FC Kochin,Indian Bank,4,0,H,NaN,NaN,NaN
IND,29/12/1997,,Mahindra & Mahindra SC,Dempo SC,0,1,A,NaN,NaN,NaN
IND,02/01/1998,,East Bengal FC,Churchill Brothers,3,0,H,NaN,NaN,NaN
IND,03/01/1998,,Dempo SC,Air India,0,0,D,NaN,NaN,NaN
IND,03/01/1998,,Mohun Bagan,Indian Bank,1,0,H,NaN,NaN,NaN
IND,04/01/1998,,Mahindra & Mahindra SC,JCT FC,1,0,H,NaN,NaN,NaN
IND,05/01/1998,,Salgaocar SC,FC Kochin,2,1,H,NaN,NaN,NaN
IND,06/01/1998,,Mohun Bagan,East Bengal FC,2,1,H,NaN,NaN,NaN
IND,06/01/1998,,Air India,Churchill Brothers,1,1,D,NaN,NaN,NaN
IND,07/01/1998,,Indian Bank,JCT FC,2,0,H,NaN,NaN,NaN
IND,08/01/1998,,FC Kochin,Mahindra & Mahindra SC,1,0,H,NaN,NaN,NaN
IND,08/01/1998,,Salgaocar SC,Dempo SC,2,1,H,NaN,NaN,NaN
IND,10/01/1998,,Air India,Indian Bank,2,1,H,NaN,NaN,NaN
IND,11/01/1998,,FC Kochin,JCT FC,1,1,D,NaN,NaN,NaN
IND,11/01/1998,,Mahindra & Mahindra SC,East Bengal FC,0,1,A,NaN,NaN,NaN
IND,11/01/1998,,Churchill Brothers,Salgaocar SC,1,1,D,NaN,NaN,NaN
IND,12/01/1998,,Mohun Bagan,Dempo SC,1,1,D,NaN,NaN,NaN
IND,14/01/1998,,East Bengal FC,Dempo SC,3,1,H,NaN,NaN,NaN
IND,14/01/1998,,Mahindra & Mahindra SC,Air India,2,2,D,NaN,NaN,NaN
IND,14/01/1998,,FC Kochin,Churchill Brothers,3,2,H,NaN,NaN,NaN
IND,15/01/1998,,JCT FC,Mohun Bagan,0,0,D,NaN,NaN,NaN
IND,16/01/1998,,Salgaocar SC,Indian Bank,3,0,H,NaN,NaN,NaN
IND,17/01/1998,,Air India,East Bengal FC,1,1,D,NaN,NaN,NaN
IND,17/01/1998,,Dempo SC,FC Kochin,5,3,H,NaN,NaN,NaN
IND,18/01/1998,,JCT FC,Salgaocar SC,1,0,H,NaN,NaN,NaN
IND,18/01/1998,,Mahindra & Mahindra SC,Mohun Bagan,0,1,A,NaN,NaN,NaN
IND,19/01/1998,,Churchill Brothers,Indian Bank,1,0,H,NaN,NaN,NaN
IND,20/01/1998,,Mohun Bagan,FC Kochin,1,0,H,NaN,NaN,NaN
IND,21/01/1998,,Salgaocar SC,East Bengal FC,1,0,H,NaN,NaN,NaN
IND,22/01/1998,,Churchill Brothers,Dempo SC,2,1,H,NaN,NaN,NaN
IND,22/01/1998,,Air India,JCT FC,1,0,H,NaN,NaN,NaN
IND,23/01/1998,,Indian Bank,Mahindra & Mahindra SC,2,0,H,NaN,NaN,NaN
IND,08/01/1998,,Churchill Brothers,Mahindra & Mahindra SC,3,0,H,NaN,NaN,NaN
IND,25/01/1998,,FC Kochin,Air India,0,0,D,NaN,NaN,NaN
IND,25/01/1998,,Salgaocar SC,Mohun Bagan,0,2,A,NaN,NaN,NaN
IND,26/01/1998,,JCT FC,Dempo SC,3,1,H,NaN,NaN,NaN
IND,30/01/1998,,Indian Bank,East Bengal FC,0,1,A,NaN,NaN,NaN
IND,30/01/1998,,Mahindra & Mahindra SC,FC Kochin,0,1,A,NaN,NaN,NaN
IND,07/02/1998,,Air India,Churchill Brothers,2,0,H,NaN,NaN,NaN
IND,08/02/1998,,Indian Bank,JCT FC,2,2,D,NaN,NaN,NaN
IND,08/02/1998,,Salgaocar SC,Dempo SC,0,0,D,NaN,NaN,NaN
IND,04/03/1998,,East Bengal FC,Mohun Bagan,0,0,D,NaN,NaN,NaN
IND,11/02/1998,,Dempo SC,Churchill Brothers,1,1,D,NaN,NaN,NaN
