Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ITA,13/09/1936,,Lazio Roma,AC Milan,3,0,H,NaN,NaN,NaN
ITA,13/09/1936,,Torino FC,Genova 1893 Circolo del Calcio,1,3,A,NaN,NaN,NaN
ITA,13/09/1936,,Sampierdarenese,Novara Calcio,2,1,H,NaN,NaN,NaN
ITA,13/09/1936,,Lucchese,ACF Fiorentina,1,1,D,NaN,NaN,NaN
ITA,13/09/1936,,AS Bari,Juventus,1,1,D,NaN,NaN,NaN
ITA,13/09/1936,,Inter,Unione Triestina,1,2,A,NaN,NaN,NaN
ITA,13/09/1936,,US Alessandria 1912,Bologna FC,0,1,A,NaN,NaN,NaN
ITA,13/09/1936,,SSC Napoli,AS Roma,0,0,D,NaN,NaN,NaN
ITA,20/09/1936,,Juventus,Lucchese,1,1,D,NaN,NaN,NaN
ITA,20/09/1936,,AC Milan,US Alessandria 1912,4,1,H,NaN,NaN,NaN
ITA,20/09/1936,,Unione Triestina,Torino FC,0,2,A,NaN,NaN,NaN
ITA,20/09/1936,,AS Roma,Sampierdarenese,3,0,H,NaN,NaN,NaN
ITA,20/09/1936,,Bologna FC,AS Bari,2,2,D,NaN,NaN,NaN
ITA,20/09/1936,,Genova 1893 Circolo del Calcio,Lazio Roma,4,1,H,NaN,NaN,NaN
ITA,20/09/1936,,ACF Fiorentina,SSC Napoli,1,1,D,NaN,NaN,NaN
ITA,20/09/1936,,Novara Calcio,Inter,3,5,A,NaN,NaN,NaN
ITA,27/09/1936,,Lazio Roma,Unione Triestina,2,1,H,NaN,NaN,NaN
ITA,27/09/1936,,Torino FC,AS Roma,2,0,H,NaN,NaN,NaN
ITA,27/09/1936,,Sampierdarenese,ACF Fiorentina,1,1,D,NaN,NaN,NaN
ITA,27/09/1936,,Lucchese,AC Milan,0,0,D,NaN,NaN,NaN
ITA,27/09/1936,,AS Bari,Genova 1893 Circolo del Calcio,1,0,H,NaN,NaN,NaN
ITA,27/09/1936,,Inter,Bologna FC,0,1,A,NaN,NaN,NaN
ITA,27/09/1936,,US Alessandria 1912,Novara Calcio,1,3,A,NaN,NaN,NaN
ITA,27/09/1936,,SSC Napoli,Juventus,0,1,A,NaN,NaN,NaN
ITA,04/10/1936,,Juventus,Torino FC,0,1,A,NaN,NaN,NaN
ITA,04/10/1936,,AC Milan,Inter,1,1,D,NaN,NaN,NaN
ITA,04/10/1936,,Unione Triestina,SSC Napoli,1,1,D,NaN,NaN,NaN
ITA,04/10/1936,,AS Roma,US Alessandria 1912,1,0,H,NaN,NaN,NaN
ITA,04/10/1936,,Genova 1893 Circolo del Calcio,Sampierdarenese,1,1,D,NaN,NaN,NaN
ITA,04/10/1936,,ACF Fiorentina,AS Bari,1,0,H,NaN,NaN,NaN
ITA,04/10/1936,,Bologna FC,Lazio Roma,1,1,D,NaN,NaN,NaN
ITA,04/10/1936,,Novara Calcio,Lucchese,1,2,A,NaN,NaN,NaN
ITA,11/10/1936,,Lazio Roma,ACF Fiorentina,2,1,H,NaN,NaN,NaN
ITA,11/10/1936,,Torino FC,Novara Calcio,4,1,H,NaN,NaN,NaN
ITA,11/10/1936,,Sampierdarenese,AC Milan,0,0,D,NaN,NaN,NaN
ITA,11/10/1936,,Lucchese,Bologna FC,2,2,D,NaN,NaN,NaN
ITA,11/10/1936,,AS Bari,Unione Triestina,4,0,H,NaN,NaN,NaN
ITA,11/10/1936,,Inter,AS Roma,2,1,H,NaN,NaN,NaN
ITA,11/10/1936,,US Alessandria 1912,Juventus,1,0,H,NaN,NaN,NaN
