Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
JAM,30/09/2007,20:00,Harbour View,St. George's SC,0,0,D,NaN,NaN,NaN
JAM,30/09/2007,20:00,Village United,Tivoli Gardens,2,2,D,NaN,NaN,NaN
JAM,30/09/2007,20:00,August Town FC,Boys' Town,1,2,A,NaN,NaN,NaN
JAM,30/09/2007,20:00,Arnett Gardens,Reno FC,0,0,D,NaN,NaN,NaN
JAM,30/09/2007,20:00,Portmore United,Sporting Central,1,0,H,NaN,NaN,NaN
JAM,30/09/2007,20:00,Seba United,Waterhouse FC,4,3,H,NaN,NaN,NaN
JAM,07/10/2007,20:00,Boys' Town,Seba United,1,1,D,NaN,NaN,NaN
JAM,07/10/2007,20:00,Waterhouse FC,Portmore United,1,0,H,NaN,NaN,NaN
JAM,07/10/2007,20:00,Sporting Central,Arnett Gardens,0,0,D,NaN,NaN,NaN
JAM,07/10/2007,20:00,Reno FC,Harbour View,1,1,D,NaN,NaN,NaN
JAM,07/10/2007,20:00,St. George's SC,Village United,2,1,H,NaN,NaN,NaN
JAM,07/10/2007,20:00,Tivoli Gardens,August Town FC,1,1,D,NaN,NaN,NaN
JAM,14/10/2007,20:00,Harbour View,Village United,3,0,H,NaN,NaN,NaN
JAM,14/10/2007,20:00,Seba United,Tivoli Gardens,1,2,A,NaN,NaN,NaN
JAM,14/10/2007,20:00,August Town FC,St. George's SC,1,0,H,NaN,NaN,NaN
JAM,14/10/2007,20:00,Sporting Central,Reno FC,4,3,H,NaN,NaN,NaN
JAM,14/10/2007,20:00,Arnett Gardens,Waterhouse FC,0,0,D,NaN,NaN,NaN
JAM,17/10/2007,23:30,Portmore United,Boys' Town,0,0,D,NaN,NaN,NaN
JAM,21/10/2007,20:00,St. George's SC,Seba United,1,2,A,NaN,NaN,NaN
JAM,21/10/2007,20:00,Portmore United,Tivoli Gardens,3,0,H,NaN,NaN,NaN
JAM,21/10/2007,20:00,Boys' Town,Arnett Gardens,0,2,A,NaN,NaN,NaN
