Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KAZ,08/03/2008,,FK Okzhetpes,Vostok Öskemen,0,3,A,NaN,NaN,NaN
KAZ,08/03/2008,09:00,Kaysar Kyzylorda,Shakter Karaganda,1,0,H,NaN,NaN,NaN
KAZ,08/03/2008,09:00,FC Alma-Ata,FK Kyzylzhar,1,1,D,NaN,NaN,NaN
KAZ,08/03/2008,09:00,FK Ordabasy,FK Atyrau,0,0,D,NaN,NaN,NaN
KAZ,08/03/2008,09:00,Megasport Almaty,Zhetysu Taldykorgan,2,1,H,NaN,NaN,NaN
KAZ,08/03/2008,09:00,Irtysh Pavlodar,Tobyl Kostanay,1,1,D,NaN,NaN,NaN
KAZ,09/03/2008,09:00,Energetik-2 Pavlodar,FK Aktobe,2,4,A,NaN,NaN,NaN
KAZ,09/03/2008,09:00,FK Kairat,FK Astana-64,0,0,D,NaN,NaN,NaN
KAZ,15/03/2008,09:00,Kaysar Kyzylorda,FK Atyrau,1,0,H,NaN,NaN,NaN
KAZ,15/03/2008,09:00,FK Okzhetpes,FK Aktobe,0,3,A,NaN,NaN,NaN
KAZ,15/03/2008,09:00,Megasport Almaty,FK Astana-64,0,0,D,NaN,NaN,NaN
KAZ,15/03/2008,09:00,Energetik-2 Pavlodar,FC Alma-Ata,1,3,A,NaN,NaN,NaN
KAZ,15/03/2008,09:00,Zhetysu Taldykorgan,Tobyl Kostanay,1,0,H,NaN,NaN,NaN
KAZ,15/03/2008,10:00,FK Ordabasy,FK Kyzylzhar,0,2,A,NaN,NaN,NaN
KAZ,16/03/2008,09:00,FK Kairat,Shakter Karaganda,0,0,D,NaN,NaN,NaN
KAZ,16/03/2008,09:00,Irtysh Pavlodar,Vostok Öskemen,2,3,A,NaN,NaN,NaN
KAZ,30/03/2008,10:00,FK Kyzylzhar,Zhetysu Taldykorgan,0,1,A,NaN,NaN,NaN
KAZ,30/03/2008,10:00,FK Astana-64,Irtysh Pavlodar,1,1,D,NaN,NaN,NaN
KAZ,30/03/2008,10:00,Vostok Öskemen,FK Kairat,0,0,D,NaN,NaN,NaN
KAZ,30/03/2008,10:00,Shakter Karaganda,FK Okzhetpes,3,0,H,NaN,NaN,NaN
KAZ,30/03/2008,11:00,FK Aktobe,Kaysar Kyzylorda,1,0,H,NaN,NaN,NaN
KAZ,30/03/2008,11:00,FK Atyrau,Energetik-2 Pavlodar,0,0,D,NaN,NaN,NaN
KAZ,30/03/2008,11:00,FC Alma-Ata,FK Ordabasy,1,2,A,NaN,NaN,NaN
KAZ,31/03/2008,10:00,Megasport Almaty,Tobyl Kostanay,2,2,D,NaN,NaN,NaN
KAZ,05/04/2008,10:00,FK Kyzylzhar,Tobyl Kostanay,0,2,A,NaN,NaN,NaN
KAZ,05/04/2008,10:00,Vostok Öskemen,Megasport Almaty,1,2,A,NaN,NaN,NaN
KAZ,05/04/2008,10:00,Shakter Karaganda,Irtysh Pavlodar,3,1,H,NaN,NaN,NaN
KAZ,05/04/2008,10:00,FK Ordabasy,Energetik-2 Pavlodar,2,1,H,NaN,NaN,NaN
KAZ,05/04/2008,11:00,FK Astana-64,Zhetysu Taldykorgan,0,0,D,NaN,NaN,NaN
KAZ,05/04/2008,11:00,FK Aktobe,FK Kairat,3,0,H,NaN,NaN,NaN
KAZ,05/04/2008,11:00,FC Alma-Ata,Kaysar Kyzylorda,0,1,A,NaN,NaN,NaN
KAZ,05/04/2008,12:00,FK Atyrau,FK Okzhetpes,0,0,D,NaN,NaN,NaN
KAZ,13/04/2008,08:00,FK Okzhetpes,FC Alma-Ata,0,2,A,NaN,NaN,NaN
KAZ,13/04/2008,10:00,Megasport Almaty,Shakter Karaganda,1,0,H,NaN,NaN,NaN
KAZ,13/04/2008,10:00,Tobyl Kostanay,FK Astana-64,2,0,H,NaN,NaN,NaN
KAZ,13/04/2008,10:00,Energetik-2 Pavlodar,FK Kyzylzhar,0,0,D,NaN,NaN,NaN
KAZ,13/04/2008,11:00,Zhetysu Taldykorgan,Vostok Öskemen,1,0,H,NaN,NaN,NaN
KAZ,13/04/2008,12:00,Kaysar Kyzylorda,FK Ordabasy,1,0,H,NaN,NaN,NaN
KAZ,13/04/2008,12:00,Irtysh Pavlodar,FK Aktobe,0,0,D,NaN,NaN,NaN
KAZ,14/04/2008,11:00,FK Kairat,FK Atyrau,1,0,H,NaN,NaN,NaN
KAZ,19/04/2008,10:00,FK Ordabasy,FK Okzhetpes,1,1,D,NaN,NaN,NaN
KAZ,19/04/2008,10:00,Energetik-2 Pavlodar,Kaysar Kyzylorda,0,1,A,NaN,NaN,NaN
KAZ,19/04/2008,11:00,FK Kyzylzhar,FK Astana-64,0,0,D,NaN,NaN,NaN
KAZ,19/04/2008,11:00,Vostok Öskemen,Tobyl Kostanay,0,2,A,NaN,NaN,NaN
KAZ,19/04/2008,11:00,FK Kairat,FC Alma-Ata,1,0,H,NaN,NaN,NaN
KAZ,19/04/2008,12:00,Shakter Karaganda,Zhetysu Taldykorgan,1,0,H,NaN,NaN,NaN
KAZ,19/04/2008,13:00,FK Aktobe,Megasport Almaty,1,0,H,NaN,NaN,NaN
KAZ,19/04/2008,13:00,FK Atyrau,Irtysh Pavlodar,1,2,A,NaN,NaN,NaN
KAZ,27/04/2008,10:00,FK Okzhetpes,Energetik-2 Pavlodar,2,1,H,NaN,NaN,NaN
KAZ,27/04/2008,11:00,FK Kairat,FK Ordabasy,3,0,H,NaN,NaN,NaN
KAZ,27/04/2008,11:00,Zhetysu Taldykorgan,FK Aktobe,2,1,H,NaN,NaN,NaN
KAZ,27/04/2008,11:00,Tobyl Kostanay,Shakter Karaganda,2,1,H,NaN,NaN,NaN
KAZ,27/04/2008,12:00,Kaysar Kyzylorda,FK Kyzylzhar,1,0,H,NaN,NaN,NaN
KAZ,27/04/2008,12:00,Irtysh Pavlodar,FC Alma-Ata,1,0,H,NaN,NaN,NaN
KAZ,27/04/2008,13:00,FK Astana-64,Vostok Öskemen,0,0,D,NaN,NaN,NaN
KAZ,28/04/2008,13:00,Megasport Almaty,FK Atyrau,0,0,D,NaN,NaN,NaN
KAZ,03/05/2008,10:00,Shakter Karaganda,FK Astana-64,1,1,D,NaN,NaN,NaN
KAZ,03/05/2008,10:00,Megasport Almaty,FC Alma-Ata,0,1,A,NaN,NaN,NaN
KAZ,03/05/2008,12:00,FK Kyzylzhar,Vostok Öskemen,2,1,H,NaN,NaN,NaN
KAZ,03/05/2008,12:00,FK Ordabasy,Irtysh Pavlodar,0,1,A,NaN,NaN,NaN
KAZ,03/05/2008,12:00,Energetik-2 Pavlodar,FK Kairat,0,0,D,NaN,NaN,NaN
KAZ,03/05/2008,13:00,FK Aktobe,Tobyl Kostanay,1,1,D,NaN,NaN,NaN
KAZ,03/05/2008,13:00,FK Atyrau,Zhetysu Taldykorgan,1,0,H,NaN,NaN,NaN
KAZ,03/05/2008,13:00,Kaysar Kyzylorda,FK Okzhetpes,1,2,A,NaN,NaN,NaN
KAZ,11/05/2008,10:00,FK Okzhetpes,FK Kyzylzhar,2,0,H,NaN,NaN,NaN
KAZ,11/05/2008,10:00,Megasport Almaty,FK Ordabasy,0,1,A,NaN,NaN,NaN
KAZ,11/05/2008,11:00,Tobyl Kostanay,FK Atyrau,3,0,H,NaN,NaN,NaN
KAZ,11/05/2008,12:00,Irtysh Pavlodar,Energetik-2 Pavlodar,3,0,H,NaN,NaN,NaN
KAZ,11/05/2008,12:00,Zhetysu Taldykorgan,FC Alma-Ata,2,0,H,NaN,NaN,NaN
KAZ,11/05/2008,12:00,Vostok Öskemen,Shakter Karaganda,1,1,D,NaN,NaN,NaN
KAZ,11/05/2008,13:00,FK Astana-64,FK Aktobe,1,0,H,NaN,NaN,NaN
