Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KOR,03/04/2004,07:00,Incheon United,Jeonbuk FC,0,0,D,NaN,NaN,NaN
KOR,03/04/2004,07:00,Daejeon Citizen,Pohang Steelers,0,1,A,NaN,NaN,NaN
KOR,03/04/2004,07:00,Gwangju Sangmu,Seongnam Ilhwa Chunma,1,0,H,NaN,NaN,NaN
KOR,03/04/2004,07:00,Chunnam Dragons,Daegu FC,4,1,H,NaN,NaN,NaN
KOR,03/04/2004,07:00,Bucheon SK,Ulsan Hyundai,0,1,A,NaN,NaN,NaN
KOR,03/04/2004,07:00,FC Seoul,Busan I'Cons,1,1,D,NaN,NaN,NaN
KOR,10/04/2004,07:00,Busan I'Cons,Bucheon SK,0,0,D,NaN,NaN,NaN
KOR,10/04/2004,07:00,Ulsan Hyundai,Chunnam Dragons,1,1,D,NaN,NaN,NaN
KOR,10/04/2004,07:00,Daegu FC,Gwangju Sangmu,4,2,H,NaN,NaN,NaN
KOR,10/04/2004,07:00,Seongnam Ilhwa Chunma,Daejeon Citizen,2,1,H,NaN,NaN,NaN
KOR,10/04/2004,07:00,Pohang Steelers,Incheon United,2,1,H,NaN,NaN,NaN
KOR,10/04/2004,07:00,Jeonbuk FC,Suwon Bluewings,1,1,D,NaN,NaN,NaN
KOR,17/04/2004,07:00,Incheon United,Seongnam Ilhwa Chunma,1,0,H,NaN,NaN,NaN
KOR,17/04/2004,07:00,Daejeon Citizen,Daegu FC,1,1,D,NaN,NaN,NaN
KOR,17/04/2004,07:00,Gwangju Sangmu,Ulsan Hyundai,0,0,D,NaN,NaN,NaN
KOR,17/04/2004,07:00,Chunnam Dragons,Busan I'Cons,0,1,A,NaN,NaN,NaN
KOR,17/04/2004,07:00,Bucheon SK,FC Seoul,1,1,D,NaN,NaN,NaN
KOR,17/04/2004,07:00,Suwon Bluewings,Pohang Steelers,1,2,A,NaN,NaN,NaN
KOR,24/04/2004,07:00,FC Seoul,Chunnam Dragons,0,0,D,NaN,NaN,NaN
KOR,24/04/2004,07:00,Busan I'Cons,Gwangju Sangmu,0,0,D,NaN,NaN,NaN
KOR,24/04/2004,07:00,Ulsan Hyundai,Daejeon Citizen,0,0,D,NaN,NaN,NaN
KOR,24/04/2004,07:00,Daegu FC,Incheon United,5,0,H,NaN,NaN,NaN
KOR,24/04/2004,07:00,Seongnam Ilhwa Chunma,Suwon Bluewings,2,2,D,NaN,NaN,NaN
KOR,24/04/2004,07:00,Pohang Steelers,Jeonbuk FC,0,2,A,NaN,NaN,NaN
KOR,05/05/2004,07:00,Incheon United,Ulsan Hyundai,2,3,A,NaN,NaN,NaN
KOR,05/05/2004,07:00,Daejeon Citizen,Busan I'Cons,2,0,H,NaN,NaN,NaN
KOR,05/05/2004,07:00,Gwangju Sangmu,FC Seoul,0,1,A,NaN,NaN,NaN
KOR,05/05/2004,07:00,Suwon Bluewings,Daegu FC,1,0,H,NaN,NaN,NaN
KOR,05/05/2004,07:30,Chunnam Dragons,Bucheon SK,0,0,D,NaN,NaN,NaN
KOR,05/05/2004,11:00,Jeonbuk FC,Seongnam Ilhwa Chunma,2,0,H,NaN,NaN,NaN
KOR,08/05/2004,07:00,Bucheon SK,Gwangju Sangmu,0,0,D,NaN,NaN,NaN
KOR,08/05/2004,07:00,FC Seoul,Daejeon Citizen,0,0,D,NaN,NaN,NaN
KOR,08/05/2004,07:00,Busan I'Cons,Incheon United,1,1,D,NaN,NaN,NaN
KOR,08/05/2004,09:00,Daegu FC,Jeonbuk FC,2,3,A,NaN,NaN,NaN
KOR,08/05/2004,11:00,Seongnam Ilhwa Chunma,Pohang Steelers,1,2,A,NaN,NaN,NaN
KOR,09/05/2004,11:00,Ulsan Hyundai,Suwon Bluewings,0,2,A,NaN,NaN,NaN
KOR,15/05/2004,10:00,Daejeon Citizen,Bucheon SK,1,1,D,NaN,NaN,NaN
KOR,15/05/2004,11:00,Incheon United,FC Seoul,1,3,A,NaN,NaN,NaN
KOR,15/05/2004,11:00,Pohang Steelers,Daegu FC,2,1,H,NaN,NaN,NaN
KOR,16/05/2004,11:00,Jeonbuk FC,Ulsan Hyundai,1,2,A,NaN,NaN,NaN
KOR,16/05/2004,11:00,Suwon Bluewings,Busan I'Cons,1,2,A,NaN,NaN,NaN
KOR,16/05/2004,11:00,Gwangju Sangmu,Chunnam Dragons,2,2,D,NaN,NaN,NaN
KOR,23/05/2004,07:00,Bucheon SK,Incheon United,0,0,D,NaN,NaN,NaN
KOR,23/05/2004,07:00,FC Seoul,Suwon Bluewings,1,0,H,NaN,NaN,NaN
KOR,23/05/2004,07:00,Busan I'Cons,Jeonbuk FC,0,0,D,NaN,NaN,NaN
KOR,23/05/2004,07:00,Daegu FC,Seongnam Ilhwa Chunma,2,3,A,NaN,NaN,NaN
KOR,23/05/2004,11:00,Ulsan Hyundai,Pohang Steelers,0,1,A,NaN,NaN,NaN
KOR,23/05/2004,11:00,Chunnam Dragons,Daejeon Citizen,3,1,H,NaN,NaN,NaN
KOR,26/05/2004,07:00,Incheon United,Chunnam Dragons,0,2,A,NaN,NaN,NaN
KOR,26/05/2004,07:00,Pohang Steelers,Busan I'Cons,1,1,D,NaN,NaN,NaN
KOR,26/05/2004,10:00,Jeonbuk FC,FC Seoul,1,1,D,NaN,NaN,NaN
KOR,26/05/2004,10:00,Daejeon Citizen,Gwangju Sangmu,1,1,D,NaN,NaN,NaN
KOR,26/05/2004,11:00,Seongnam Ilhwa Chunma,Ulsan Hyundai,0,2,A,NaN,NaN,NaN
KOR,26/05/2004,11:00,Suwon Bluewings,Bucheon SK,3,1,H,NaN,NaN,NaN
KOR,30/05/2004,07:00,Busan I'Cons,Seongnam Ilhwa Chunma,1,1,D,NaN,NaN,NaN
KOR,30/05/2004,07:00,Bucheon SK,Jeonbuk FC,0,3,A,NaN,NaN,NaN
KOR,30/05/2004,11:00,FC Seoul,Pohang Steelers,1,1,D,NaN,NaN,NaN
KOR,30/05/2004,11:00,Ulsan Hyundai,Daegu FC,0,0,D,NaN,NaN,NaN
KOR,30/05/2004,11:00,Gwangju Sangmu,Incheon United,1,0,H,NaN,NaN,NaN
KOR,30/05/2004,11:00,Chunnam Dragons,Suwon Bluewings,2,2,D,NaN,NaN,NaN
KOR,13/06/2004,07:00,Incheon United,Daejeon Citizen,1,0,H,NaN,NaN,NaN
KOR,13/06/2004,07:00,Daegu FC,Busan I'Cons,1,0,H,NaN,NaN,NaN
KOR,13/06/2004,10:00,Jeonbuk FC,Chunnam Dragons,2,1,H,NaN,NaN,NaN
KOR,13/06/2004,11:00,Suwon Bluewings,Gwangju Sangmu,3,2,H,NaN,NaN,NaN
