Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KSA,19/08/2015,18:45,Al Hilal,Al Wahda,2,0,H,2,0,H
KSA,20/08/2015,16:55,Al Khaleej,Al Fateh,0,2,A,0,2,A
KSA,20/08/2015,19:15,Najran SC,Al Ittihad,1,2,A,0,1,A
KSA,21/08/2015,17:15,Al Taawoun,Al Ahli SFC,0,0,D,0,0,D
KSA,21/08/2015,19:15,Al Nassr,Hajer Club,0,0,D,0,0,D
KSA,22/08/2015,16:55,Al Qadisiya,Al Faysali,1,0,H,1,0,H
KSA,22/08/2015,19:00,Al Shabab,Al Raed,3,1,H,0,0,D
KSA,27/08/2015,16:45,Al Khaleej,Al Ahli SFC,0,4,A,0,1,A
KSA,27/08/2015,19:00,Al Raed,Al Ittihad,0,2,A,0,0,D
KSA,28/08/2015,16:45,Hajer Club,Al Shabab,1,2,A,0,1,A
KSA,28/08/2015,16:45,Al Qadisiya,Al Nassr,2,2,D,0,2,A
KSA,28/08/2015,19:00,Al Faysali,Al Taawoun,1,2,A,1,0,H
KSA,29/08/2015,16:45,Al Fateh,Al Hilal,1,2,A,1,1,D
KSA,29/08/2015,19:00,Al Wahda,Najran SC,1,1,D,0,0,D
KSA,17/09/2015,18:15,Al Shabab,Al Khaleej,0,0,D,0,0,D
KSA,18/09/2015,16:45,Al Taawoun,Al Qadisiya,5,1,H,2,1,H
KSA,18/09/2015,19:00,Al Ahli SFC,Al Wahda,2,0,H,1,0,H
KSA,18/09/2015,19:00,Al Nassr,Najran SC,2,0,H,1,0,H
KSA,19/09/2015,16:20,Al Fateh,Hajer Club,1,1,D,0,0,D
KSA,19/09/2015,19:00,Al Ittihad,Al Faysali,1,2,A,0,2,A
KSA,20/09/2015,16:35,Al Hilal,Al Raed,1,0,H,1,0,H
KSA,16/10/2015,15:50,Hajer Club,Al Khaleej,1,2,A,0,2,A
KSA,16/10/2015,16:15,Al Raed,Al Fateh,0,0,D,0,0,D
KSA,16/10/2015,18:00,Al Wahda,Al Faysali,2,2,D,2,1,H
KSA,17/10/2015,15:50,Al Qadisiya,Al Ittihad,1,3,A,1,1,D
KSA,17/10/2015,18:30,Najran SC,Al Shabab,0,1,A,0,0,D
KSA,18/10/2015,18:30,Al Ahli SFC,Al Nassr,4,2,H,3,0,H
KSA,25/10/2015,17:00,Al Hilal,Al Taawoun,3,1,H,1,0,H
KSA,29/10/2015,14:40,Al Qadisiya,Al Raed,1,1,D,0,1,A
KSA,29/10/2015,14:40,Al Khaleej,Al Taawoun,1,1,D,0,0,D
KSA,29/10/2015,15:00,Al Faysali,Hajer Club,3,1,H,1,1,D
KSA,29/10/2015,17:15,Al Wahda,Al Nassr,0,2,A,0,2,A
KSA,30/10/2015,14:40,Al Fateh,Al Shabab,0,0,D,0,0,D
KSA,30/10/2015,17:15,Najran SC,Al Ahli SFC,0,1,A,0,1,A
KSA,30/10/2015,17:30,Al Ittihad,Al Hilal,4,3,H,3,0,H
KSA,02/11/2015,14:40,Hajer Club,Al Wahda,1,2,A,1,1,D
KSA,02/11/2015,15:00,Al Raed,Al Khaleej,0,2,A,0,0,D
KSA,02/11/2015,17:15,Al Nassr,Al Faysali,0,0,D,0,0,D
KSA,03/11/2015,14:40,Al Fateh,Al Ittihad,1,1,D,1,1,D
KSA,03/11/2015,14:55,Al Hilal,Al Qadisiya,1,0,H,0,0,D
KSA,03/11/2015,15:00,Al Taawoun,Najran SC,4,1,H,2,0,H
KSA,03/11/2015,17:30,Al Shabab,Al Ahli SFC,1,1,D,0,1,A
KSA,07/11/2015,14:35,Al Khaleej,Najran SC,3,1,H,2,1,H
KSA,24/12/2015,17:00,Al Ahli SFC,Al Qadisiya,2,0,H,0,0,D
KSA,24/12/2015,17:00,Al Nassr,Al Hilal,1,2,A,1,1,D
KSA,25/12/2015,12:15,Al Faysali,Al Fateh,1,2,A,0,1,A
KSA,25/12/2015,14:35,Hajer Club,Al Raed,1,2,A,0,1,A
