Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KUW,28/09/2016,16:00,Qadsia SC,Al Sahel,1,0,H,1,0,H
KUW,28/09/2016,16:00,Al Nasr SC,Burgan SC,2,0,H,1,0,H
KUW,28/09/2016,18:30,Al Salibikhaet SC,Al Kuwait SC,1,2,A,0,1,A
KUW,28/09/2016,18:30,Al Fahaheel,Al Arabi SC,1,2,A,0,1,A
KUW,29/09/2016,16:00,Al Salmiya SC,Khaitan SC,2,0,H,1,0,H
KUW,29/09/2016,16:00,Al Shabab,Al Tadamun,1,1,D,1,0,H
KUW,29/09/2016,18:30,Kazma SC,Al Jahra SC,2,1,H,2,0,H
KUW,02/10/2016,15:45,Al Sahel,Al Salmiya SC,2,1,H,0,0,D
KUW,02/10/2016,15:45,Al Kuwait SC,Al Yarmouk,1,1,D,1,1,D
KUW,02/10/2016,15:45,Al Salibikhaet SC,Khaitan SC,2,1,H,NaN,NaN,NaN
KUW,02/10/2016,15:45,Al Jahra SC,Al Nasr SC,1,2,A,NaN,NaN,NaN
KUW,02/10/2016,15:45,Burgan SC,Al Shabab,1,5,A,0,0,D
KUW,02/10/2016,18:30,Al Arabi SC,Qadsia SC,0,0,D,0,0,D
KUW,02/10/2016,18:30,Al Tadamun,Al Fahaheel,3,0,H,2,0,H
KUW,13/10/2016,15:30,Al Nasr SC,Kazma SC,0,2,A,0,0,D
KUW,13/10/2016,15:30,Al Shabab,Al Jahra SC,1,1,D,1,0,H
KUW,13/10/2016,18:00,Qadsia SC,Al Tadamun,3,0,H,1,0,H
KUW,14/10/2016,15:30,Al Fahaheel,Burgan SC,0,1,A,0,1,A
KUW,14/10/2016,15:30,Al Yarmouk,Khaitan SC,0,1,A,0,0,D
KUW,14/10/2016,15:30,Al Salibikhaet SC,Al Sahel,0,0,D,0,0,D
KUW,14/10/2016,18:00,Al Salmiya SC,Al Arabi SC,0,0,D,0,0,D
KUW,20/10/2016,15:30,Khaitan SC,Al Kuwait SC,0,1,A,0,1,A
KUW,20/10/2016,18:00,Al Arabi SC,Al Salibikhaet SC,1,1,D,1,0,H
KUW,20/10/2016,18:00,Al Sahel,Al Yarmouk,1,0,H,0,0,D
KUW,21/10/2016,15:30,Burgan SC,Qadsia SC,0,5,A,0,1,A
KUW,21/10/2016,15:30,Al Jahra SC,Al Fahaheel,0,2,A,0,0,D
KUW,21/10/2016,18:00,Kazma SC,Al Shabab,0,0,D,0,0,D
KUW,21/10/2016,18:00,Al Tadamun,Al Salmiya SC,0,2,A,0,0,D
KUW,27/10/2016,15:15,Al Kuwait SC,Al Sahel,4,0,H,1,0,H
KUW,27/10/2016,15:15,Al Shabab,Al Nasr SC,1,2,A,1,0,H
KUW,27/10/2016,18:00,Al Salmiya SC,Burgan SC,2,1,H,0,0,D
KUW,27/10/2016,18:00,Al Salibikhaet SC,Al Tadamun,2,3,A,0,2,A
KUW,28/10/2016,15:15,Qadsia SC,Al Jahra SC,2,0,H,2,0,H
KUW,28/10/2016,18:00,Al Fahaheel,Kazma SC,0,4,A,0,0,D
KUW,28/10/2016,18:00,Al Yarmouk,Al Arabi SC,2,3,A,1,2,A
KUW,17/11/2016,13:00,Al Nasr SC,Al Fahaheel,1,0,H,0,0,D
KUW,17/11/2016,13:00,Burgan SC,Al Salibikhaet SC,0,4,A,0,2,A
KUW,17/11/2016,15:30,Kazma SC,Qadsia SC,0,1,A,0,1,A
KUW,17/11/2016,15:30,Al Tadamun,Al Yarmouk,0,0,D,0,0,D
KUW,18/11/2016,13:00,Al Sahel,Khaitan SC,1,0,H,0,0,D
KUW,18/11/2016,15:30,Al Jahra SC,Al Salmiya SC,2,1,H,1,0,H
KUW,18/11/2016,15:30,Al Arabi SC,Al Kuwait SC,1,2,A,NaN,NaN,NaN
KUW,02/12/2016,13:00,Khaitan SC,Al Arabi SC,1,4,A,1,1,D
KUW,02/12/2016,13:00,Al Yarmouk,Burgan SC,4,0,H,2,0,H
KUW,02/12/2016,15:30,Qadsia SC,Al Nasr SC,0,1,A,0,0,D
KUW,02/12/2016,15:30,Al Salibikhaet SC,Al Jahra SC,5,1,H,2,1,H
KUW,03/12/2016,13:00,Al Kuwait SC,Al Tadamun,3,0,H,1,0,H
KUW,03/12/2016,15:30,Al Fahaheel,Al Shabab,0,0,D,0,0,D
KUW,03/12/2016,15:30,Al Salmiya SC,Kazma SC,1,2,A,0,2,A
KUW,24/12/2016,13:00,Al Arabi SC,Al Sahel,4,0,H,0,0,D
KUW,24/12/2016,13:00,Kazma SC,Al Salibikhaet SC,1,0,H,1,0,H
KUW,24/12/2016,15:30,Al Tadamun,Khaitan SC,3,0,H,0,0,D
KUW,25/12/2016,14:15,Burgan SC,Al Kuwait SC,1,9,A,0,4,A
KUW,25/12/2016,16:15,Al Nasr SC,Al Salmiya SC,1,1,D,1,0,H
KUW,25/12/2016,16:15,Al Jahra SC,Al Yarmouk,3,0,H,1,0,H
