Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
LBY,17/10/2008,14:30,Al-Akhdar,Al-Tirsana,3,1,H,NaN,NaN,NaN
LBY,17/10/2008,15:00,Al Wefaq,Al-Olympique,2,2,D,NaN,NaN,NaN
LBY,17/10/2008,17:00,Al Ahly Tripolis,Al Ahly Benghazi,2,2,D,NaN,NaN,NaN
LBY,18/10/2008,15:00,Al Wahda Tripolis,Al Amen Al 'Aam,0,1,A,NaN,NaN,NaN
LBY,18/10/2008,15:00,Al Jazeera,Al Hilal,0,1,A,NaN,NaN,NaN
LBY,18/10/2008,15:00,Al Medina Tripolis,Al-Swihli,1,2,A,NaN,NaN,NaN
LBY,19/10/2008,15:00,Khaleej Sart,Al Shaat Tripolis,1,1,D,NaN,NaN,NaN
LBY,19/10/2008,17:00,Al Ittihad Tripolis,Al Nasr Benghazi,2,2,D,NaN,NaN,NaN
LBY,24/10/2008,15:00,Al Wefaq,Al Ahly Benghazi,1,2,A,NaN,NaN,NaN
LBY,24/10/2008,15:00,Al-Swihli,Al Ahly Tripolis,1,1,D,NaN,NaN,NaN
LBY,24/10/2008,15:00,Al Hilal,Al Amen Al 'Aam,1,0,H,NaN,NaN,NaN
LBY,24/10/2008,17:00,Al Ittihad Tripolis,Al-Tirsana,0,0,D,NaN,NaN,NaN
LBY,25/10/2008,14:00,Al Nasr Benghazi,Khaleej Sart,1,2,A,NaN,NaN,NaN
LBY,25/10/2008,14:00,Al-Olympique,Al Medina Tripolis,0,0,D,NaN,NaN,NaN
LBY,25/10/2008,14:00,Al Jazeera,Al Shaat Tripolis,3,2,H,NaN,NaN,NaN
LBY,25/10/2008,16:00,Al Wahda Tripolis,Al-Akhdar,0,1,A,NaN,NaN,NaN
LBY,31/10/2008,14:00,Al-Swihli,Khaleej Sart,0,1,A,NaN,NaN,NaN
LBY,31/10/2008,14:00,Al Amen Al 'Aam,Al Wefaq,0,0,D,NaN,NaN,NaN
LBY,31/10/2008,14:00,Al Shaat Tripolis,Al Nasr Benghazi,2,1,H,NaN,NaN,NaN
LBY,01/11/2008,14:00,Al-Tirsana,Al Hilal,1,0,H,NaN,NaN,NaN
LBY,01/11/2008,14:00,Al Wahda Tripolis,Al-Olympique,1,1,D,NaN,NaN,NaN
LBY,02/11/2008,16:00,Al Ittihad Tripolis,Al Medina Tripolis,0,2,A,NaN,NaN,NaN
LBY,03/11/2008,13:00,Al Ahly Benghazi,Al Jazeera,3,0,H,NaN,NaN,NaN
LBY,03/11/2008,15:00,Al Ahly Tripolis,Al-Akhdar,3,2,H,NaN,NaN,NaN
LBY,05/11/2008,13:00,Al Nasr Benghazi,Al-Swihli,3,0,H,NaN,NaN,NaN
LBY,06/11/2008,13:00,Al Wefaq,Al Wahda Tripolis,2,0,H,NaN,NaN,NaN
