Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
LTU,08/04/2000,,FK Ventspils,Skonto FC,0,1,A,NaN,NaN,NaN
LTU,08/04/2000,,FK Liepājas Metalurgs,Policijas FK,1,0,H,NaN,NaN,NaN
LTU,08/04/2000,,LU/Daugava Rīga,FK Valmiera,2,2,D,NaN,NaN,NaN
LTU,08/04/2000,,FC Dinaburg,FK Rīga,1,2,A,NaN,NaN,NaN
LTU,15/04/2000,,FK Ventspils,FK Rīga,2,1,H,NaN,NaN,NaN
LTU,15/04/2000,,FK Valmiera,Skonto FC,0,3,A,NaN,NaN,NaN
LTU,15/04/2000,,Policijas FK,LU/Daugava Rīga,0,0,D,NaN,NaN,NaN
LTU,15/04/2000,,FC Dinaburg,FK Liepājas Metalurgs,1,3,A,NaN,NaN,NaN
LTU,22/04/2000,,FK Ventspils,FK Valmiera,3,0,H,NaN,NaN,NaN
LTU,22/04/2000,,Policijas FK,Skonto FC,0,5,A,NaN,NaN,NaN
LTU,22/04/2000,,FK Liepājas Metalurgs,FK Rīga,2,0,H,NaN,NaN,NaN
LTU,22/04/2000,,LU/Daugava Rīga,FC Dinaburg,2,1,H,NaN,NaN,NaN
LTU,30/04/2000,,FK Valmiera,FK Rīga,0,0,D,NaN,NaN,NaN
LTU,30/04/2000,,Policijas FK,FK Ventspils,0,1,A,NaN,NaN,NaN
LTU,30/04/2000,,FK Liepājas Metalurgs,LU/Daugava Rīga,5,2,H,NaN,NaN,NaN
LTU,30/04/2000,,FC Dinaburg,Skonto FC,1,2,A,NaN,NaN,NaN
LTU,06/05/2000,,FK Ventspils,FC Dinaburg,2,0,H,NaN,NaN,NaN
LTU,06/05/2000,,FK Valmiera,Policijas FK,1,0,H,NaN,NaN,NaN
LTU,06/05/2000,,FK Liepājas Metalurgs,Skonto FC,1,3,A,NaN,NaN,NaN
LTU,06/05/2000,,LU/Daugava Rīga,FK Rīga,0,3,A,NaN,NaN,NaN
LTU,14/05/2000,,FK Rīga,Policijas FK,2,0,H,NaN,NaN,NaN
LTU,14/05/2000,,FK Liepājas Metalurgs,FK Ventspils,1,1,D,NaN,NaN,NaN
LTU,14/05/2000,,LU/Daugava Rīga,Skonto FC,0,9,A,NaN,NaN,NaN
LTU,14/05/2000,,FC Dinaburg,FK Valmiera,0,1,A,NaN,NaN,NaN
LTU,21/05/2000,,Policijas FK,FC Dinaburg,0,2,A,NaN,NaN,NaN
LTU,22/05/2000,,FK Ventspils,LU/Daugava Rīga,4,0,H,NaN,NaN,NaN
LTU,22/05/2000,,FK Valmiera,FK Liepājas Metalurgs,0,3,A,NaN,NaN,NaN
LTU,22/05/2000,,FK Rīga,Skonto FC,1,3,A,NaN,NaN,NaN
LTU,30/05/2000,,FK Valmiera,LU/Daugava Rīga,5,2,H,NaN,NaN,NaN
LTU,30/05/2000,,Skonto FC,FK Ventspils,2,2,D,NaN,NaN,NaN
LTU,30/05/2000,,Policijas FK,FK Liepājas Metalurgs,0,2,A,NaN,NaN,NaN
LTU,31/05/2000,,FK Rīga,FC Dinaburg,1,2,A,NaN,NaN,NaN
LTU,05/06/2000,,FK Rīga,FK Ventspils,1,3,A,NaN,NaN,NaN
LTU,06/06/2000,,LU/Daugava Rīga,Policijas FK,1,1,D,NaN,NaN,NaN
LTU,07/06/2000,,FK Valmiera,Skonto FC,1,2,A,NaN,NaN,NaN
LTU,07/06/2000,,FK Liepājas Metalurgs,FC Dinaburg,0,1,A,NaN,NaN,NaN
LTU,10/06/2000,,FK Valmiera,FK Ventspils,0,2,A,NaN,NaN,NaN
LTU,10/06/2000,,Skonto FC,Policijas FK,2,0,H,NaN,NaN,NaN
LTU,10/06/2000,,FC Dinaburg,LU/Daugava Rīga,1,1,D,NaN,NaN,NaN
LTU,11/06/2000,,FK Rīga,FK Liepājas Metalurgs,0,4,A,NaN,NaN,NaN
LTU,13/06/2000,,Skonto FC,FC Dinaburg,3,0,H,NaN,NaN,NaN
LTU,14/06/2000,,FK Ventspils,Policijas FK,5,3,H,NaN,NaN,NaN
LTU,14/06/2000,,LU/Daugava Rīga,FK Liepājas Metalurgs,0,3,A,NaN,NaN,NaN
LTU,16/06/2000,,FK Rīga,FK Valmiera,0,0,D,NaN,NaN,NaN
