Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
LTU,21/10/2016,16:00,FK Atlantas,FK Trakai,0,0,D,NaN,NaN,NaN
LTU,22/10/2016,11:00,FK Lietava Jonava,FK Žalgiris,1,4,A,NaN,NaN,NaN
LTU,22/10/2016,12:00,FK Sūduva,FC Stumbras,6,1,H,NaN,NaN,NaN
LTU,29/10/2016,11:00,FC Stumbras,FK Lietava Jonava,3,1,H,1,1,D
LTU,29/10/2016,14:00,FK Trakai,FK Sūduva,1,1,D,1,0,H
LTU,30/10/2016,13:00,FK Žalgiris,FK Atlantas,2,0,H,1,0,H
LTU,05/11/2016,12:00,FK Sūduva,FK Žalgiris,1,3,A,0,2,A
LTU,06/11/2016,13:00,FK Trakai,FC Stumbras,1,1,D,0,0,D
LTU,06/11/2016,16:00,FK Atlantas,FK Lietava Jonava,2,1,H,2,0,H
LTU,18/11/2016,17:15,FK Žalgiris,FC Stumbras,2,2,D,1,1,D
LTU,20/11/2016,12:00,FK Sūduva,FK Atlantas,3,1,H,2,1,H
LTU,20/11/2016,13:00,FK Trakai,FK Lietava Jonava,3,1,H,1,0,H
LTU,26/11/2016,10:00,FK Žalgiris,FK Trakai,1,3,A,0,2,A
LTU,26/11/2016,10:00,FC Stumbras,FK Atlantas,1,1,D,1,0,H
LTU,26/11/2016,10:00,FK Lietava Jonava,FK Sūduva,3,2,H,1,0,H
