Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,04/08/2007,00:00,UAG Tecos,CF Pachuca,1,4,A,0,2,A
MEX,04/08/2007,23:00,Jaguares Chiapas,CF Atlante,1,1,D,0,1,A
MEX,05/08/2007,01:00,UANL Tigres,Club San Luis,0,0,D,0,0,D
MEX,05/08/2007,01:00,Monarcas Morelia,Veracruz (old),1,1,D,0,0,D
MEX,05/08/2007,02:45,Atlas Guadalajara,Deportivo Toluca,1,1,D,0,0,D
MEX,05/08/2007,18:00,Pumas UNAM,Deportivo Guadalajara,1,1,D,0,1,A
MEX,05/08/2007,21:00,Santos Laguna,Cruz Azul,2,0,H,2,0,H
MEX,05/08/2007,22:00,Club Necaxa,CF Monterrey,3,2,H,2,0,H
MEX,06/08/2007,01:00,Puebla FC,CF América,0,0,D,0,0,D
MEX,11/08/2007,00:00,Veracruz (old),Atlas Guadalajara,2,1,H,1,1,D
MEX,11/08/2007,23:00,Club San Luis,Club Necaxa,3,2,H,1,2,A
MEX,11/08/2007,23:00,CF Monterrey,Puebla FC,2,0,H,0,0,D
MEX,11/08/2007,23:00,Cruz Azul,UANL Tigres,1,0,H,0,0,D
MEX,12/08/2007,01:00,Deportivo Guadalajara,UAG Tecos,0,0,D,0,0,D
MEX,12/08/2007,01:00,CF Pachuca,Monarcas Morelia,3,1,H,1,1,D
MEX,12/08/2007,02:30,CF Atlante,Pumas UNAM,1,0,H,1,0,H
MEX,12/08/2007,18:00,Deportivo Toluca,Santos Laguna,2,3,A,0,2,A
MEX,12/08/2007,22:00,CF América,Jaguares Chiapas,6,1,H,2,1,H
MEX,18/08/2007,00:00,UAG Tecos,CF Atlante,0,3,A,0,3,A
MEX,18/08/2007,23:00,Club San Luis,Cruz Azul,3,1,H,1,0,H
MEX,18/08/2007,23:00,Jaguares Chiapas,CF Monterrey,0,0,D,0,0,D
MEX,19/08/2007,01:00,UANL Tigres,Deportivo Toluca,0,1,A,0,0,D
MEX,19/08/2007,02:45,Atlas Guadalajara,CF Pachuca,0,1,A,0,1,A
MEX,19/08/2007,18:00,Pumas UNAM,CF América,1,1,D,1,1,D
MEX,19/08/2007,22:00,Club Necaxa,Puebla FC,2,1,H,1,0,H
MEX,19/08/2007,22:00,Santos Laguna,Veracruz (old),2,0,H,2,0,H
MEX,20/08/2007,01:00,Monarcas Morelia,Deportivo Guadalajara,1,0,H,1,0,H
MEX,25/08/2007,00:00,Veracruz (old),UANL Tigres,2,1,H,0,0,D
MEX,25/08/2007,23:00,CF Monterrey,Pumas UNAM,1,0,H,0,0,D
MEX,25/08/2007,23:00,Cruz Azul,Club Necaxa,3,0,H,3,0,H
MEX,26/08/2007,01:00,Deportivo Guadalajara,Atlas Guadalajara,3,1,H,3,1,H
MEX,26/08/2007,01:00,CF Pachuca,Santos Laguna,0,1,A,0,1,A
MEX,26/08/2007,01:00,Monarcas Morelia,CF Atlante,1,1,D,0,1,A
MEX,26/08/2007,18:00,Deportivo Toluca,Club San Luis,2,1,H,0,1,A
MEX,26/08/2007,22:00,CF América,UAG Tecos,4,1,H,1,1,D
MEX,26/08/2007,22:00,Puebla FC,Jaguares Chiapas,1,2,A,0,1,A
MEX,29/08/2007,22:00,Santos Laguna,Deportivo Guadalajara,2,1,H,1,1,D
MEX,30/08/2007,00:00,Cruz Azul,Deportivo Toluca,3,1,H,0,1,A
MEX,30/08/2007,01:00,Club San Luis,Veracruz (old),2,1,H,1,1,D
MEX,30/08/2007,02:00,Monarcas Morelia,CF América,2,1,H,2,1,H
MEX,30/08/2007,02:45,Atlas Guadalajara,CF Atlante,1,2,A,0,1,A
MEX,30/08/2007,03:00,Club Necaxa,Jaguares Chiapas,1,1,D,1,1,D
MEX,30/08/2007,03:00,Pumas UNAM,Puebla FC,2,2,D,2,0,H
MEX,06/09/2007,02:45,UANL Tigres,CF Pachuca,3,2,H,2,2,D
MEX,26/09/2007,02:00,UAG Tecos,CF Monterrey,3,0,H,2,0,H
MEX,01/09/2007,23:00,Veracruz (old),Cruz Azul,1,4,A,1,2,A
MEX,01/09/2007,23:00,CF Monterrey,Monarcas Morelia,1,2,A,1,1,D
MEX,01/09/2007,23:00,Jaguares Chiapas,Pumas UNAM,1,2,A,0,1,A
MEX,02/09/2007,01:00,Deportivo Guadalajara,UANL Tigres,1,0,H,1,0,H
MEX,02/09/2007,01:00,CF Pachuca,Club San Luis,4,1,H,0,1,A
MEX,02/09/2007,02:30,CF Atlante,Santos Laguna,2,2,D,0,1,A
MEX,02/09/2007,18:00,Deportivo Toluca,Club Necaxa,4,0,H,2,0,H
MEX,02/09/2007,22:00,Puebla FC,UAG Tecos,3,0,H,1,0,H
MEX,03/09/2007,00:30,CF América,Atlas Guadalajara,2,1,H,1,0,H
MEX,08/09/2007,00:00,UAG Tecos,Jaguares Chiapas,2,1,H,1,0,H
MEX,08/09/2007,23:00,Club San Luis,Deportivo Guadalajara,0,0,D,0,0,D
MEX,08/09/2007,23:00,Cruz Azul,CF Pachuca,1,2,A,1,1,D
MEX,09/09/2007,01:00,UANL Tigres,CF Atlante,2,3,A,2,1,H
MEX,09/09/2007,01:00,Monarcas Morelia,Puebla FC,2,0,H,1,0,H
MEX,09/09/2007,02:45,Atlas Guadalajara,CF Monterrey,2,2,D,1,0,H
MEX,09/09/2007,18:00,Deportivo Toluca,Veracruz (old),2,1,H,1,1,D
MEX,09/09/2007,22:00,Club Necaxa,Pumas UNAM,1,1,D,0,1,A
MEX,10/09/2007,02:00,Santos Laguna,CF América,4,0,H,1,0,H
MEX,15/09/2007,00:00,Veracruz (old),Club Necaxa,1,3,A,0,0,D
MEX,15/09/2007,23:00,CF Monterrey,Santos Laguna,1,1,D,1,0,H
MEX,15/09/2007,23:00,Jaguares Chiapas,Monarcas Morelia,1,1,D,0,1,A
MEX,16/09/2007,01:00,Deportivo Guadalajara,Cruz Azul,1,0,H,1,0,H
MEX,16/09/2007,01:00,CF Pachuca,Deportivo Toluca,1,2,A,0,1,A
MEX,16/09/2007,02:30,CF Atlante,Club San Luis,4,3,H,2,2,D
MEX,16/09/2007,18:00,Pumas UNAM,UAG Tecos,2,0,H,1,0,H
MEX,16/09/2007,18:15,Puebla FC,Atlas Guadalajara,1,0,H,1,0,H
MEX,17/09/2007,00:00,CF América,UANL Tigres,1,1,D,0,0,D
MEX,22/09/2007,00:00,Veracruz (old),CF Pachuca,3,0,H,2,0,H
MEX,22/09/2007,23:00,Club San Luis,CF América,2,1,H,1,0,H
MEX,22/09/2007,23:00,Cruz Azul,CF Atlante,2,2,D,2,0,H
MEX,23/09/2007,01:00,UANL Tigres,CF Monterrey,1,0,H,1,0,H
MEX,23/09/2007,01:00,Monarcas Morelia,Pumas UNAM,0,3,A,0,2,A
MEX,23/09/2007,02:45,Atlas Guadalajara,Jaguares Chiapas,0,1,A,0,1,A
MEX,23/09/2007,03:00,Club Necaxa,UAG Tecos,1,1,D,1,0,H
MEX,23/09/2007,18:00,Deportivo Toluca,Deportivo Guadalajara,1,0,H,0,0,D
MEX,23/09/2007,22:00,Santos Laguna,Puebla FC,4,1,H,2,0,H
MEX,29/09/2007,00:00,UAG Tecos,Monarcas Morelia,3,2,H,1,1,D
MEX,29/09/2007,23:00,CF Monterrey,Club San Luis,2,3,A,0,1,A
MEX,29/09/2007,23:00,Jaguares Chiapas,Santos Laguna,2,2,D,0,2,A
MEX,30/09/2007,01:00,Deportivo Guadalajara,Veracruz (old),3,1,H,1,1,D
MEX,30/09/2007,01:00,CF Pachuca,Club Necaxa,1,1,D,0,0,D
MEX,30/09/2007,02:30,CF Atlante,Deportivo Toluca,2,0,H,0,0,D
MEX,30/09/2007,18:00,Pumas UNAM,Atlas Guadalajara,3,2,H,0,0,D
MEX,30/09/2007,18:00,Puebla FC,UANL Tigres,3,0,H,2,0,H
MEX,01/10/2007,00:30,CF América,Cruz Azul,2,2,D,2,2,D
MEX,06/10/2007,00:00,Veracruz (old),CF Atlante,0,2,A,0,1,A
MEX,06/10/2007,23:00,Club San Luis,Puebla FC,0,3,A,0,2,A
MEX,06/10/2007,23:00,Cruz Azul,CF Monterrey,2,1,H,1,1,D
MEX,07/10/2007,01:00,UANL Tigres,Jaguares Chiapas,1,1,D,1,0,H
MEX,07/10/2007,01:00,CF Pachuca,Deportivo Guadalajara,1,2,A,1,2,A
MEX,07/10/2007,01:00,Club Necaxa,Monarcas Morelia,1,1,D,0,1,A
MEX,07/10/2007,02:45,Atlas Guadalajara,UAG Tecos,3,2,H,2,0,H
MEX,07/10/2007,18:00,Deportivo Toluca,CF América,3,1,H,1,0,H
MEX,07/10/2007,22:00,Santos Laguna,Pumas UNAM,3,2,H,1,1,D
MEX,11/10/2007,02:45,CF Monterrey,Deportivo Toluca,1,1,D,0,1,A
MEX,13/10/2007,00:00,UAG Tecos,Santos Laguna,3,1,H,0,0,D
MEX,13/10/2007,23:00,Jaguares Chiapas,Club San Luis,2,2,D,2,0,H
MEX,14/10/2007,01:00,Deportivo Guadalajara,Club Necaxa,5,1,H,2,1,H
MEX,14/10/2007,01:00,Monarcas Morelia,Atlas Guadalajara,0,2,A,0,0,D
MEX,14/10/2007,02:30,CF Atlante,CF Pachuca,1,2,A,0,2,A
MEX,14/10/2007,18:00,Pumas UNAM,UANL Tigres,3,0,H,1,0,H
MEX,14/10/2007,18:00,Puebla FC,Cruz Azul,1,1,D,0,1,A
MEX,14/10/2007,22:00,CF América,Veracruz (old),0,0,D,0,0,D
MEX,20/10/2007,00:00,Veracruz (old),CF Monterrey,3,1,H,2,0,H
MEX,20/10/2007,23:00,Club San Luis,Pumas UNAM,3,2,H,2,0,H
MEX,20/10/2007,23:00,Cruz Azul,Jaguares Chiapas,1,1,D,1,1,D
MEX,21/10/2007,01:00,UANL Tigres,UAG Tecos,4,0,H,2,0,H
MEX,21/10/2007,01:00,Deportivo Guadalajara,CF Atlante,1,1,D,0,0,D
MEX,21/10/2007,01:00,CF Pachuca,CF América,1,2,A,1,0,H
MEX,21/10/2007,18:00,Deportivo Toluca,Puebla FC,2,0,H,1,0,H
MEX,21/10/2007,18:00,Club Necaxa,Atlas Guadalajara,2,4,A,2,2,D
MEX,21/10/2007,22:00,Santos Laguna,Monarcas Morelia,3,2,H,2,0,H
MEX,27/10/2007,00:00,UAG Tecos,Club San Luis,2,3,A,1,0,H
MEX,27/10/2007,23:00,CF Monterrey,CF Pachuca,3,1,H,1,1,D
MEX,27/10/2007,23:00,Jaguares Chiapas,Deportivo Toluca,0,0,D,0,0,D
MEX,28/10/2007,01:00,Monarcas Morelia,UANL Tigres,1,0,H,0,0,D
MEX,28/10/2007,01:30,CF Atlante,Club Necaxa,0,2,A,0,0,D
MEX,28/10/2007,01:45,Atlas Guadalajara,Santos Laguna,2,5,A,1,3,A
MEX,28/10/2007,18:00,Pumas UNAM,Cruz Azul,1,2,A,0,0,D
MEX,28/10/2007,18:00,Puebla FC,Veracruz (old),0,0,D,0,0,D
MEX,29/10/2007,02:30,CF América,Deportivo Guadalajara,2,1,H,0,0,D
MEX,31/10/2007,22:00,Cruz Azul,UAG Tecos,1,2,A,0,0,D
MEX,01/11/2007,00:00,Veracruz (old),Jaguares Chiapas,1,3,A,1,1,D
MEX,01/11/2007,01:00,Club Necaxa,Santos Laguna,2,3,A,1,2,A
MEX,01/11/2007,01:00,Deportivo Toluca,Pumas UNAM,0,0,D,0,0,D
MEX,01/11/2007,02:00,CF Pachuca,Puebla FC,0,0,D,0,0,D
MEX,01/11/2007,02:30,Deportivo Guadalajara,CF Monterrey,1,0,H,1,0,H
MEX,01/11/2007,02:30,Club San Luis,Monarcas Morelia,2,1,H,0,1,A
MEX,01/11/2007,02:45,UANL Tigres,Atlas Guadalajara,3,2,H,1,1,D
MEX,01/11/2007,03:00,CF Atlante,CF América,2,1,H,1,0,H
MEX,03/11/2007,23:05,CF Monterrey,CF Atlante,1,1,D,1,1,D
MEX,03/11/2007,23:05,Jaguares Chiapas,CF Pachuca,0,2,A,0,1,A
MEX,04/11/2007,00:00,UAG Tecos,Deportivo Toluca,2,3,A,0,2,A
MEX,04/11/2007,01:00,Monarcas Morelia,Cruz Azul,2,1,H,0,0,D
MEX,04/11/2007,02:45,Atlas Guadalajara,Club San Luis,1,1,D,0,1,A
MEX,04/11/2007,18:00,Pumas UNAM,Veracruz (old),8,0,H,4,0,H
MEX,04/11/2007,22:00,CF América,Club Necaxa,1,0,H,0,0,D
MEX,04/11/2007,22:00,Santos Laguna,UANL Tigres,0,0,D,0,0,D
MEX,04/11/2007,22:00,Puebla FC,Deportivo Guadalajara,0,3,A,0,2,A
MEX,10/11/2007,00:00,Veracruz (old),UAG Tecos,3,2,H,2,2,D
MEX,10/11/2007,23:00,Club San Luis,Santos Laguna,2,2,D,1,2,A
MEX,10/11/2007,23:00,CF Monterrey,CF América,0,1,A,0,1,A
MEX,10/11/2007,23:00,Cruz Azul,Atlas Guadalajara,2,0,H,1,0,H
MEX,11/11/2007,01:00,Deportivo Guadalajara,Jaguares Chiapas,5,4,H,4,3,H
MEX,11/11/2007,02:30,CF Atlante,Puebla FC,4,0,H,1,0,H
MEX,11/11/2007,18:00,Deportivo Toluca,Monarcas Morelia,2,0,H,1,0,H
MEX,11/11/2007,20:00,Club Necaxa,UANL Tigres,1,0,H,0,0,D
MEX,11/11/2007,23:00,CF Pachuca,Pumas UNAM,1,1,D,1,1,D
