Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,24/11/2016,01:30,Club León,Club Tijuana,3,0,H,2,0,H
MEX,24/11/2016,03:30,Pumas UNAM,UANL Tigres,2,2,D,1,1,D
MEX,25/11/2016,01:30,Club Necaxa,CF Pachuca,2,1,H,NaN,NaN,NaN
MEX,25/11/2016,03:30,CF América,Deportivo Guadalajara,1,1,D,NaN,NaN,NaN
MEX,27/11/2016,01:00,UANL Tigres,Pumas UNAM,5,0,H,2,0,H
MEX,27/11/2016,03:00,Club Tijuana,Club León,3,2,H,3,0,H
MEX,28/11/2016,00:06,Deportivo Guadalajara,CF América,0,1,A,0,0,D
MEX,28/11/2016,02:06,CF Pachuca,Club Necaxa,0,0,D,0,0,D
MEX,01/12/2016,02:36,Club León,UANL Tigres,0,1,A,0,0,D
MEX,02/12/2016,03:00,Club Necaxa,CF América,1,1,D,0,0,D
MEX,04/12/2016,01:00,UANL Tigres,Club León,2,1,H,1,1,D
MEX,05/12/2016,02:00,CF América,Club Necaxa,2,0,H,0,0,D
MEX,23/12/2016,03:00,CF América,UANL Tigres,1,1,D,0,1,A
MEX,26/12/2016,00:30,UANL Tigres,CF América,3,0,H,0,00,A
