Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MKD,20/04/2016,15:00,Vardar Skopje,FK Bregalnica Štip,2,1,H,1,1,D
MKD,20/04/2016,15:00,KF Shkëndija 79,FK Rabotnički,3,1,H,1,0,H
MKD,20/04/2016,15:00,Sileks Kratovo,KF Shkupi,1,0,H,1,0,H
MKD,24/04/2016,15:00,FK Bregalnica Štip,KF Shkupi,2,0,H,0,0,D
MKD,24/04/2016,15:00,FK Rabotnički,Sileks Kratovo,2,0,H,1,0,H
MKD,24/04/2016,15:00,Vardar Skopje,KF Shkëndija 79,1,0,H,1,0,H
MKD,30/04/2016,15:00,Sileks Kratovo,Vardar Skopje,1,2,A,0,1,A
MKD,30/04/2016,15:00,KF Shkëndija 79,FK Bregalnica Štip,3,0,H,1,0,H
MKD,30/04/2016,15:00,KF Shkupi,FK Rabotnički,0,1,A,0,1,A
MKD,08/05/2016,15:00,Vardar Skopje,KF Shkupi,2,0,H,0,0,D
MKD,08/05/2016,15:00,FK Bregalnica Štip,FK Rabotnički,0,0,D,0,0,D
MKD,08/05/2016,15:00,KF Shkëndija 79,Sileks Kratovo,3,0,H,1,0,H
MKD,19/05/2016,15:30,Sileks Kratovo,FK Bregalnica Štip,1,1,D,0,1,A
MKD,19/05/2016,15:30,KF Shkupi,KF Shkëndija 79,1,3,A,1,0,H
MKD,19/05/2016,15:30,FK Rabotnički,Vardar Skopje,0,1,A,0,1,A
