Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NED,20/08/1961,,ADO Den Haag,Fortuna Sittard,2,1,H,NaN,NaN,NaN
NED,20/08/1961,,De Volewijckers,NAC Breda,0,3,A,NaN,NaN,NaN
NED,20/08/1961,,DOS Utrecht,AFC Ajax,2,2,D,NaN,NaN,NaN
NED,20/08/1961,,DWS Amsterdam,MVV,1,0,H,NaN,NaN,NaN
NED,20/08/1961,,Groninger VAV,Blauw Wit,2,2,D,NaN,NaN,NaN
NED,20/08/1961,,Rapid JC Heerlen,Feijenoord,1,6,A,NaN,NaN,NaN
NED,20/08/1961,,Sportclub Enschede,FC Volendam,2,3,A,NaN,NaN,NaN
NED,20/08/1961,,Sparta Rotterdam,Willem II,4,2,H,NaN,NaN,NaN
NED,20/08/1961,,VVV-Venlo,PSV Eindhoven,1,3,A,NaN,NaN,NaN
NED,27/08/1961,,AFC Ajax,Sportclub Enschede,6,1,H,NaN,NaN,NaN
NED,27/08/1961,,Blauw Wit,VVV-Venlo,2,1,H,NaN,NaN,NaN
NED,27/08/1961,,Feijenoord,Sparta Rotterdam,3,0,H,NaN,NaN,NaN
NED,27/08/1961,,Fortuna Sittard,De Volewijckers,5,2,H,NaN,NaN,NaN
NED,27/08/1961,,MVV,Groninger VAV,0,0,D,NaN,NaN,NaN
NED,27/08/1961,,NAC Breda,Rapid JC Heerlen,1,1,D,NaN,NaN,NaN
NED,27/08/1961,,PSV Eindhoven,ADO Den Haag,6,1,H,NaN,NaN,NaN
NED,27/08/1961,,FC Volendam,DWS Amsterdam,0,0,D,NaN,NaN,NaN
NED,27/08/1961,,Willem II,DOS Utrecht,2,1,H,NaN,NaN,NaN
NED,03/09/1961,,ADO Den Haag,VVV-Venlo,5,1,H,NaN,NaN,NaN
NED,03/09/1961,,De Volewijckers,PSV Eindhoven,3,6,A,NaN,NaN,NaN
NED,03/09/1961,,DOS Utrecht,Feijenoord,0,0,D,NaN,NaN,NaN
NED,03/09/1961,,DWS Amsterdam,AFC Ajax,0,0,D,NaN,NaN,NaN
NED,03/09/1961,,Groninger VAV,FC Volendam,1,3,A,NaN,NaN,NaN
NED,03/09/1961,,MVV,Blauw Wit,5,3,H,NaN,NaN,NaN
NED,03/09/1961,,Rapid JC Heerlen,Fortuna Sittard,0,3,A,NaN,NaN,NaN
NED,03/09/1961,,Sportclub Enschede,Willem II,2,4,A,NaN,NaN,NaN
NED,03/09/1961,,Sparta Rotterdam,NAC Breda,3,3,D,NaN,NaN,NaN
NED,10/09/1961,,AFC Ajax,Groninger VAV,4,2,H,NaN,NaN,NaN
NED,10/09/1961,,Blauw Wit,ADO Den Haag,0,0,D,NaN,NaN,NaN
NED,10/09/1961,,Feijenoord,Sportclub Enschede,2,0,H,NaN,NaN,NaN
NED,10/09/1961,,Fortuna Sittard,Sparta Rotterdam,1,0,H,NaN,NaN,NaN
NED,10/09/1961,,NAC Breda,DOS Utrecht,2,0,H,NaN,NaN,NaN
NED,10/09/1961,,PSV Eindhoven,Rapid JC Heerlen,7,1,H,NaN,NaN,NaN
NED,10/09/1961,,FC Volendam,MVV,2,3,A,NaN,NaN,NaN
NED,10/09/1961,,VVV-Venlo,De Volewijckers,1,1,D,NaN,NaN,NaN
NED,10/09/1961,,Willem II,DWS Amsterdam,3,1,H,NaN,NaN,NaN
NED,17/09/1961,,De Volewijckers,ADO Den Haag,2,7,A,NaN,NaN,NaN
NED,17/09/1961,,DOS Utrecht,Fortuna Sittard,2,3,A,NaN,NaN,NaN
NED,17/09/1961,,DWS Amsterdam,Feijenoord,2,3,A,NaN,NaN,NaN
NED,17/09/1961,,Groninger VAV,Willem II,2,2,D,NaN,NaN,NaN
NED,17/09/1961,,MVV,AFC Ajax,2,4,A,NaN,NaN,NaN
NED,17/09/1961,,Rapid JC Heerlen,VVV-Venlo,3,0,H,NaN,NaN,NaN
NED,17/09/1961,,Sportclub Enschede,NAC Breda,3,1,H,NaN,NaN,NaN
NED,17/09/1961,,Sparta Rotterdam,PSV Eindhoven,0,5,A,NaN,NaN,NaN
NED,17/09/1961,,FC Volendam,Blauw Wit,2,4,A,NaN,NaN,NaN
NED,24/09/1961,,ADO Den Haag,Rapid JC Heerlen,4,1,H,NaN,NaN,NaN
NED,24/09/1961,,AFC Ajax,FC Volendam,9,1,H,NaN,NaN,NaN
NED,24/09/1961,,Blauw Wit,De Volewijckers,5,1,H,NaN,NaN,NaN
NED,24/09/1961,,Feijenoord,Groninger VAV,7,4,H,NaN,NaN,NaN
NED,24/09/1961,,Fortuna Sittard,Sportclub Enschede,5,0,H,NaN,NaN,NaN
NED,24/09/1961,,NAC Breda,DWS Amsterdam,1,1,D,NaN,NaN,NaN
NED,24/09/1961,,PSV Eindhoven,DOS Utrecht,0,1,A,NaN,NaN,NaN
NED,24/09/1961,,VVV-Venlo,Sparta Rotterdam,1,1,D,NaN,NaN,NaN
NED,24/09/1961,,Willem II,MVV,4,3,H,NaN,NaN,NaN
NED,01/10/1961,,AFC Ajax,Blauw Wit,2,2,D,NaN,NaN,NaN
NED,01/10/1961,,DOS Utrecht,VVV-Venlo,1,1,D,NaN,NaN,NaN
NED,01/10/1961,,DWS Amsterdam,Fortuna Sittard,2,1,H,NaN,NaN,NaN
NED,01/10/1961,,Groninger VAV,NAC Breda,2,2,D,NaN,NaN,NaN
NED,01/10/1961,,MVV,Feijenoord,0,0,D,NaN,NaN,NaN
NED,01/10/1961,,Rapid JC Heerlen,De Volewijckers,4,1,H,NaN,NaN,NaN
NED,01/10/1961,,Sportclub Enschede,PSV Eindhoven,0,1,A,NaN,NaN,NaN
NED,01/10/1961,,Sparta Rotterdam,ADO Den Haag,2,2,D,NaN,NaN,NaN
NED,01/10/1961,,FC Volendam,Willem II,3,2,H,NaN,NaN,NaN
NED,08/10/1961,,ADO Den Haag,DOS Utrecht,1,2,A,NaN,NaN,NaN
NED,08/10/1961,,Blauw Wit,Rapid JC Heerlen,3,1,H,NaN,NaN,NaN
NED,08/10/1961,,De Volewijckers,Sparta Rotterdam,3,0,H,NaN,NaN,NaN
NED,08/10/1961,,Feijenoord,FC Volendam,3,0,H,NaN,NaN,NaN
NED,08/10/1961,,Fortuna Sittard,Groninger VAV,0,3,A,NaN,NaN,NaN
NED,08/10/1961,,NAC Breda,MVV,1,0,H,NaN,NaN,NaN
NED,08/10/1961,,PSV Eindhoven,DWS Amsterdam,2,1,H,NaN,NaN,NaN
NED,08/10/1961,,VVV-Venlo,Sportclub Enschede,2,0,H,NaN,NaN,NaN
NED,08/10/1961,,Willem II,AFC Ajax,0,1,A,NaN,NaN,NaN
NED,15/10/1961,,AFC Ajax,Feijenoord,1,3,A,NaN,NaN,NaN
NED,15/10/1961,,DOS Utrecht,De Volewijckers,4,1,H,NaN,NaN,NaN
NED,15/10/1961,,DWS Amsterdam,VVV-Venlo,1,1,D,NaN,NaN,NaN
NED,15/10/1961,,Groninger VAV,PSV Eindhoven,3,2,H,NaN,NaN,NaN
NED,15/10/1961,,MVV,Fortuna Sittard,3,1,H,NaN,NaN,NaN
NED,15/10/1961,,Sportclub Enschede,ADO Den Haag,4,1,H,NaN,NaN,NaN
NED,15/10/1961,,Sparta Rotterdam,Rapid JC Heerlen,3,0,H,NaN,NaN,NaN
NED,15/10/1961,,FC Volendam,NAC Breda,3,1,H,NaN,NaN,NaN
NED,15/10/1961,,Willem II,Blauw Wit,3,0,H,NaN,NaN,NaN
NED,29/10/1961,,ADO Den Haag,DWS Amsterdam,3,0,H,NaN,NaN,NaN
NED,29/10/1961,,Blauw Wit,Sparta Rotterdam,3,0,H,NaN,NaN,NaN
NED,29/10/1961,,De Volewijckers,Sportclub Enschede,3,1,H,NaN,NaN,NaN
NED,29/10/1961,,Feijenoord,Willem II,0,2,A,NaN,NaN,NaN
NED,29/10/1961,,Fortuna Sittard,FC Volendam,6,1,H,NaN,NaN,NaN
NED,29/10/1961,,NAC Breda,AFC Ajax,1,3,A,NaN,NaN,NaN
NED,29/10/1961,,PSV Eindhoven,MVV,2,1,H,NaN,NaN,NaN
NED,29/10/1961,,Rapid JC Heerlen,DOS Utrecht,3,3,D,NaN,NaN,NaN
NED,29/10/1961,,VVV-Venlo,Groninger VAV,2,0,H,NaN,NaN,NaN
NED,05/11/1961,,AFC Ajax,Fortuna Sittard,3,4,A,NaN,NaN,NaN
NED,05/11/1961,,DOS Utrecht,Sparta Rotterdam,3,2,H,NaN,NaN,NaN
NED,05/11/1961,,DWS Amsterdam,De Volewijckers,2,2,D,NaN,NaN,NaN
NED,05/11/1961,,Feijenoord,Blauw Wit,9,1,H,NaN,NaN,NaN
NED,05/11/1961,,Groninger VAV,ADO Den Haag,3,1,H,NaN,NaN,NaN
NED,05/11/1961,,MVV,VVV-Venlo,1,0,H,NaN,NaN,NaN
NED,05/11/1961,,Sportclub Enschede,Rapid JC Heerlen,1,2,A,NaN,NaN,NaN
NED,05/11/1961,,FC Volendam,PSV Eindhoven,3,1,H,NaN,NaN,NaN
NED,05/11/1961,,Willem II,NAC Breda,0,1,A,NaN,NaN,NaN
NED,19/11/1961,,ADO Den Haag,MVV,0,1,A,NaN,NaN,NaN
NED,19/11/1961,,Blauw Wit,DOS Utrecht,2,1,H,NaN,NaN,NaN
NED,19/11/1961,,De Volewijckers,Groninger VAV,1,1,D,NaN,NaN,NaN
NED,19/11/1961,,Fortuna Sittard,Willem II,1,3,A,NaN,NaN,NaN
NED,19/11/1961,,NAC Breda,Feijenoord,2,3,A,NaN,NaN,NaN
NED,19/11/1961,,PSV Eindhoven,AFC Ajax,2,2,D,NaN,NaN,NaN
NED,19/11/1961,,Rapid JC Heerlen,DWS Amsterdam,0,1,A,NaN,NaN,NaN
NED,19/11/1961,,Sparta Rotterdam,Sportclub Enschede,0,2,A,NaN,NaN,NaN
NED,19/11/1961,,VVV-Venlo,FC Volendam,0,0,D,NaN,NaN,NaN
NED,26/11/1961,,AFC Ajax,VVV-Venlo,3,1,H,NaN,NaN,NaN
NED,26/11/1961,,DWS Amsterdam,Sparta Rotterdam,0,0,D,NaN,NaN,NaN
NED,26/11/1961,,Feijenoord,Fortuna Sittard,1,1,D,NaN,NaN,NaN
NED,26/11/1961,,Groninger VAV,Rapid JC Heerlen,2,1,H,NaN,NaN,NaN
NED,26/11/1961,,MVV,De Volewijckers,2,1,H,NaN,NaN,NaN
NED,26/11/1961,,NAC Breda,Blauw Wit,0,1,A,NaN,NaN,NaN
NED,26/11/1961,,Sportclub Enschede,DOS Utrecht,3,4,A,NaN,NaN,NaN
NED,26/11/1961,,FC Volendam,ADO Den Haag,3,2,H,NaN,NaN,NaN
NED,26/11/1961,,Willem II,PSV Eindhoven,1,2,A,NaN,NaN,NaN
NED,03/12/1961,,ADO Den Haag,AFC Ajax,1,3,A,NaN,NaN,NaN
NED,03/12/1961,,Blauw Wit,Sportclub Enschede,1,1,D,NaN,NaN,NaN
NED,03/12/1961,,De Volewijckers,FC Volendam,2,1,H,NaN,NaN,NaN
NED,03/12/1961,,DOS Utrecht,DWS Amsterdam,2,2,D,NaN,NaN,NaN
NED,03/12/1961,,Fortuna Sittard,NAC Breda,0,2,A,NaN,NaN,NaN
NED,03/12/1961,,PSV Eindhoven,Feijenoord,0,3,A,NaN,NaN,NaN
NED,03/12/1961,,Rapid JC Heerlen,MVV,0,0,D,NaN,NaN,NaN
NED,03/12/1961,,Sparta Rotterdam,Groninger VAV,3,1,H,NaN,NaN,NaN
NED,03/12/1961,,VVV-Venlo,Willem II,2,4,A,NaN,NaN,NaN
NED,10/12/1961,,AFC Ajax,De Volewijckers,2,1,H,NaN,NaN,NaN
