Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NIR,10/08/2013,15:00,Ballinamallard United FC,Crusaders FC,1,0,H,NaN,NaN,NaN
NIR,10/08/2013,15:00,Ballymena United,Glenavon FC,3,6,A,NaN,NaN,NaN
NIR,10/08/2013,15:00,Cliftonville FC,Ards FC,4,2,H,NaN,NaN,NaN
NIR,10/08/2013,15:00,Glentoran Belfast,Coleraine FC,1,1,D,NaN,NaN,NaN
NIR,10/08/2013,15:00,Portadown FC,Linfield FC,1,1,D,NaN,NaN,NaN
NIR,10/08/2013,15:00,Warrenpoint Town,Dungannon Swifts,2,3,A,NaN,NaN,NaN
NIR,16/08/2013,19:45,Ards FC,Warrenpoint Town,1,2,A,NaN,NaN,NaN
NIR,17/08/2013,15:00,Coleraine FC,Portadown FC,2,2,D,NaN,NaN,NaN
NIR,17/08/2013,15:00,Crusaders FC,Ballymena United,1,2,A,NaN,NaN,NaN
NIR,17/08/2013,15:00,Dungannon Swifts,Ballinamallard United FC,1,0,H,NaN,NaN,NaN
NIR,17/08/2013,15:00,Glenavon FC,Glentoran Belfast,1,2,A,NaN,NaN,NaN
NIR,17/08/2013,15:00,Linfield FC,Cliftonville FC,2,4,A,NaN,NaN,NaN
NIR,23/08/2013,19:45,Glenavon FC,Coleraine FC,2,2,D,NaN,NaN,NaN
NIR,24/08/2013,15:00,Ballymena United,Dungannon Swifts,2,1,H,NaN,NaN,NaN
NIR,24/08/2013,15:00,Crusaders FC,Linfield FC,2,0,H,NaN,NaN,NaN
NIR,24/08/2013,15:00,Glentoran Belfast,Ballinamallard United FC,0,0,D,NaN,NaN,NaN
NIR,24/08/2013,15:00,Portadown FC,Ards FC,2,0,H,NaN,NaN,NaN
NIR,24/08/2013,15:00,Warrenpoint Town,Cliftonville FC,2,4,A,NaN,NaN,NaN
NIR,30/08/2013,19:45,Ards FC,Ballymena United,2,0,H,NaN,NaN,NaN
NIR,30/08/2013,19:45,Cliftonville FC,Portadown FC,1,2,A,NaN,NaN,NaN
NIR,30/08/2013,19:45,Coleraine FC,Crusaders FC,2,2,D,NaN,NaN,NaN
NIR,30/08/2013,19:45,Dungannon Swifts,Glenavon FC,3,3,D,NaN,NaN,NaN
NIR,30/08/2013,20:00,Ballinamallard United FC,Warrenpoint Town,3,0,H,NaN,NaN,NaN
NIR,31/08/2013,15:00,Linfield FC,Glentoran Belfast,0,0,D,NaN,NaN,NaN
NIR,02/09/2013,19:45,Cliftonville FC,Coleraine FC,1,3,A,NaN,NaN,NaN
NIR,03/09/2013,19:45,Ballinamallard United FC,Glenavon FC,0,2,A,NaN,NaN,NaN
NIR,03/09/2013,19:45,Ballymena United,Portadown FC,2,1,H,NaN,NaN,NaN
NIR,03/09/2013,19:45,Crusaders FC,Dungannon Swifts,1,1,D,NaN,NaN,NaN
NIR,03/09/2013,19:45,Glentoran Belfast,Ards FC,5,0,H,NaN,NaN,NaN
NIR,03/09/2013,19:45,Warrenpoint Town,Linfield FC,0,2,A,NaN,NaN,NaN
NIR,07/09/2013,15:00,Ards FC,Linfield FC,1,3,A,NaN,NaN,NaN
NIR,07/09/2013,15:00,Ballymena United,Cliftonville FC,0,1,A,NaN,NaN,NaN
NIR,07/09/2013,15:00,Dungannon Swifts,Coleraine FC,1,0,H,NaN,NaN,NaN
NIR,07/09/2013,15:00,Glenavon FC,Warrenpoint Town,3,1,H,NaN,NaN,NaN
NIR,07/09/2013,15:00,Glentoran Belfast,Crusaders FC,0,3,A,NaN,NaN,NaN
NIR,07/09/2013,15:00,Portadown FC,Ballinamallard United FC,11,0,H,NaN,NaN,NaN
NIR,14/09/2013,15:00,Glenavon FC,Ards FC,4,1,H,NaN,NaN,NaN
NIR,14/09/2013,15:00,Cliftonville FC,Glentoran Belfast,4,1,H,NaN,NaN,NaN
NIR,14/09/2013,15:00,Coleraine FC,Ballinamallard United FC,1,2,A,NaN,NaN,NaN
NIR,14/09/2013,15:00,Linfield FC,Ballymena United,4,1,H,NaN,NaN,NaN
NIR,14/09/2013,15:00,Portadown FC,Dungannon Swifts,2,1,H,NaN,NaN,NaN
NIR,14/09/2013,15:00,Warrenpoint Town,Crusaders FC,1,1,D,NaN,NaN,NaN
NIR,21/09/2013,15:00,Ballinamallard United FC,Linfield FC,1,2,A,NaN,NaN,NaN
NIR,21/09/2013,15:00,Coleraine FC,Warrenpoint Town,3,2,H,NaN,NaN,NaN
NIR,21/09/2013,15:00,Crusaders FC,Portadown FC,2,2,D,NaN,NaN,NaN
