Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PAR,17/07/2010,00:00,Sportivo Luqueño,Libertad,1,2,A,0,1,A
PAR,17/07/2010,20:00,Sportivo Trinidense,3 de Febrero,1,1,D,0,0,D
PAR,17/07/2010,20:15,Tacuary,Rubio Ñu,0,0,D,0,0,D
PAR,18/07/2010,20:00,Sol de América,Guaraní,1,2,A,1,1,D
PAR,18/07/2010,20:00,Club Nacional,Cerro Porteño,0,0,D,0,0,D
PAR,18/07/2010,22:15,Club Olimpia,Sport Colombia,3,0,H,1,0,H
PAR,24/07/2010,19:45,3 de Febrero,Sportivo Luqueño,0,0,D,0,0,D
PAR,24/07/2010,19:45,Rubio Ñu,Sport Colombia,1,0,H,0,0,D
PAR,24/07/2010,22:00,Libertad,Tacuary,3,0,H,0,0,D
PAR,25/07/2010,20:00,Club Nacional,Club Olimpia,0,2,A,0,1,A
PAR,25/07/2010,20:00,Guaraní,Sportivo Trinidense,0,1,A,0,0,D
PAR,25/07/2010,22:00,Cerro Porteño,Sol de América,2,0,H,0,0,D
PAR,30/07/2010,23:30,Club Olimpia,Rubio Ñu,1,4,A,0,3,A
PAR,31/07/2010,20:15,Tacuary,3 de Febrero,2,0,H,1,0,H
PAR,01/08/2010,19:45,Sport Colombia,Libertad,1,0,H,0,0,D
PAR,01/08/2010,19:45,Sportivo Luqueño,Guaraní,0,3,A,0,1,A
PAR,01/08/2010,19:45,Sol de América,Club Nacional,1,0,H,1,0,H
PAR,01/08/2010,22:20,Sportivo Trinidense,Cerro Porteño,1,5,A,0,3,A
PAR,07/08/2010,19:45,Club Nacional,Sportivo Trinidense,4,1,H,1,1,D
PAR,07/08/2010,19:45,3 de Febrero,Sport Colombia,0,3,A,0,0,D
PAR,07/08/2010,21:00,Libertad,Rubio Ñu,2,1,H,2,1,H
PAR,07/08/2010,22:00,Guaraní,Tacuary,1,0,H,0,0,D
PAR,08/08/2010,20:00,Cerro Porteño,Sportivo Luqueño,1,1,D,0,0,D
PAR,08/08/2010,22:20,Sol de América,Club Olimpia,1,0,H,1,0,H
PAR,14/08/2010,19:45,Sport Colombia,Guaraní,1,1,D,0,1,A
PAR,14/08/2010,19:45,Sportivo Trinidense,Sol de América,1,3,A,1,1,D
PAR,14/08/2010,22:00,Sportivo Luqueño,Club Nacional,0,1,A,0,0,D
PAR,15/08/2010,19:45,Rubio Ñu,3 de Febrero,1,1,D,1,0,H
PAR,15/08/2010,20:00,Tacuary,Cerro Porteño,0,1,A,0,1,A
PAR,15/08/2010,22:20,Club Olimpia,Libertad,0,2,A,0,1,A
PAR,21/08/2010,19:45,3 de Febrero,Sol de América,1,1,D,0,0,D
PAR,21/08/2010,19:45,Rubio Ñu,Sportivo Luqueño,2,2,D,0,0,D
PAR,21/08/2010,19:45,Sport Colombia,Tacuary,1,3,A,0,0,D
PAR,21/08/2010,22:00,Libertad,Sportivo Trinidense,7,0,H,2,0,H
PAR,22/08/2010,19:45,Guaraní,Club Nacional,0,0,D,0,0,D
PAR,22/08/2010,20:00,Club Olimpia,Cerro Porteño,2,2,D,2,0,H
PAR,27/08/2010,23:30,Libertad,Guaraní,2,0,H,0,0,D
