Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PER,03/02/2007,17:00,Alianza Atlético,Sporting Cristal,0,0,D,NaN,NaN,NaN
PER,03/02/2007,19:00,Deportivo Municipal,FBC Melgar,1,2,A,NaN,NaN,NaN
PER,03/02/2007,20:00,Coronel Bolognesi,Universidad San Martín,1,1,D,NaN,NaN,NaN
PER,04/02/2007,17:00,Sport Áncash,Cienciano,0,1,A,NaN,NaN,NaN
PER,04/02/2007,18:00,Total Clean,Universitario de Deportes,1,2,A,NaN,NaN,NaN
PER,04/02/2007,20:00,Alianza Lima,Sport Boys,2,2,D,NaN,NaN,NaN
PER,10/02/2007,16:00,Sporting Cristal,Deportivo Municipal,3,1,H,NaN,NaN,NaN
PER,10/02/2007,20:00,Sport Boys,Alianza Atlético,0,1,A,NaN,NaN,NaN
PER,10/02/2007,22:05,Universitario de Deportes,Sport Áncash,0,0,D,NaN,NaN,NaN
PER,11/02/2007,17:30,FBC Melgar,Alianza Lima,2,1,H,NaN,NaN,NaN
PER,11/02/2007,19:00,Universidad San Martín,Total Clean,1,0,H,NaN,NaN,NaN
PER,11/02/2007,19:30,Cienciano,Coronel Bolognesi,3,0,H,NaN,NaN,NaN
PER,14/02/2007,17:30,Alianza Atlético,FBC Melgar,0,0,D,NaN,NaN,NaN
PER,14/02/2007,20:00,Total Clean,Cienciano,0,2,A,NaN,NaN,NaN
PER,14/02/2007,20:00,Coronel Bolognesi,Sport Áncash,0,0,D,NaN,NaN,NaN
PER,14/02/2007,22:05,Alianza Lima,Universidad San Martín,4,1,H,NaN,NaN,NaN
PER,14/02/2007,23:00,Deportivo Municipal,Universitario de Deportes,2,1,H,NaN,NaN,NaN
PER,15/02/2007,00:00,Sport Boys,Sporting Cristal,0,1,A,NaN,NaN,NaN
PER,18/02/2007,15:30,Sport Áncash,Total Clean,4,1,H,NaN,NaN,NaN
PER,18/02/2007,17:30,FBC Melgar,Sport Boys,1,4,A,NaN,NaN,NaN
PER,18/02/2007,19:30,Cienciano,Deportivo Municipal,2,0,H,NaN,NaN,NaN
PER,18/02/2007,20:00,Universidad San Martín,Alianza Atlético,3,0,H,NaN,NaN,NaN
PER,18/02/2007,22:05,Sporting Cristal,Alianza Lima,1,1,D,NaN,NaN,NaN
PER,19/02/2007,00:00,Universitario de Deportes,Coronel Bolognesi,4,0,H,NaN,NaN,NaN
PER,24/02/2007,19:00,Deportivo Municipal,Sport Áncash,1,1,D,NaN,NaN,NaN
PER,24/02/2007,20:00,Sporting Cristal,FBC Melgar,1,3,A,NaN,NaN,NaN
PER,24/02/2007,23:00,Alianza Lima,Cienciano,2,1,H,NaN,NaN,NaN
PER,25/02/2007,17:30,Alianza Atlético,Universitario de Deportes,3,0,H,NaN,NaN,NaN
PER,25/02/2007,18:00,Total Clean,Coronel Bolognesi,3,0,H,NaN,NaN,NaN
PER,25/02/2007,19:30,Sport Boys,Universidad San Martín,2,0,H,NaN,NaN,NaN
PER,03/03/2007,17:00,Coronel Bolognesi,Deportivo Municipal,2,2,D,NaN,NaN,NaN
PER,03/03/2007,19:00,Universidad San Martín,Sporting Cristal,2,2,D,NaN,NaN,NaN
PER,03/03/2007,23:45,Universitario de Deportes,Alianza Lima,1,2,A,NaN,NaN,NaN
PER,04/03/2007,16:00,FBC Melgar,Total Clean,3,1,H,NaN,NaN,NaN
PER,04/03/2007,18:00,Cienciano,Sport Boys,1,1,D,NaN,NaN,NaN
PER,04/03/2007,20:00,Sport Áncash,Alianza Atlético,1,1,D,NaN,NaN,NaN
PER,09/03/2007,23:00,Alianza Lima,Sport Áncash,2,0,H,NaN,NaN,NaN
PER,10/03/2007,18:00,Sport Boys,Universitario de Deportes,1,1,D,NaN,NaN,NaN
PER,11/03/2007,15:45,Alianza Atlético,Coronel Bolognesi,2,0,H,NaN,NaN,NaN
PER,11/03/2007,17:45,FBC Melgar,Universidad San Martín,0,3,A,NaN,NaN,NaN
PER,11/03/2007,18:00,Deportivo Municipal,Total Clean,3,0,H,NaN,NaN,NaN
PER,11/03/2007,20:00,Sporting Cristal,Cienciano,2,2,D,NaN,NaN,NaN
PER,17/03/2007,19:00,Universidad San Martín,Deportivo Municipal,2,1,H,NaN,NaN,NaN
PER,18/03/2007,00:00,Coronel Bolognesi,Alianza Lima,2,0,H,NaN,NaN,NaN
PER,18/03/2007,17:30,Cienciano,FBC Melgar,2,3,A,NaN,NaN,NaN
PER,18/03/2007,18:05,Total Clean,Alianza Atlético,0,2,A,NaN,NaN,NaN
PER,18/03/2007,22:05,Universitario de Deportes,Sporting Cristal,3,1,H,NaN,NaN,NaN
PER,25/04/2007,19:00,Sport Áncash,Sport Boys,4,1,H,NaN,NaN,NaN
