Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
POL,21/07/2001,16:00,KSZO Ostrowiec,Wisła Kraków,0,1,A,NaN,NaN,NaN
POL,21/07/2001,16:00,Odra Wodzisław,GKS Katowice,3,1,H,NaN,NaN,NaN
POL,21/07/2001,16:00,Polonia Warszawa,Górnik Zabrze,4,1,H,NaN,NaN,NaN
POL,21/07/2001,16:00,Amica Wronki,Groclin Dyskobolia,3,0,H,NaN,NaN,NaN
POL,21/07/2001,16:00,Ruch Chorzów,Stomil Olsztyn,2,1,H,NaN,NaN,NaN
POL,21/07/2001,16:00,Śląsk Wrocław,Legia Warszawa,1,0,H,NaN,NaN,NaN
POL,21/07/2001,16:30,Widzew Łódź,Zagłębie Lubin,0,2,A,NaN,NaN,NaN
POL,22/07/2001,16:00,RKS Radomsko,Pogoń Szczecin,0,3,A,NaN,NaN,NaN
POL,27/07/2001,19:00,Legia Warszawa,Amica Wronki,1,2,A,NaN,NaN,NaN
POL,28/07/2001,14:00,Stomil Olsztyn,RKS Radomsko,0,0,D,NaN,NaN,NaN
POL,28/07/2001,16:00,Zagłębie Lubin,Odra Wodzisław,3,1,H,NaN,NaN,NaN
POL,28/07/2001,16:15,Górnik Zabrze,KSZO Ostrowiec,0,0,D,NaN,NaN,NaN
POL,28/07/2001,16:30,Pogoń Szczecin,Ruch Chorzów,0,0,D,NaN,NaN,NaN
POL,28/07/2001,16:30,Groclin Dyskobolia,Śląsk Wrocław,2,4,A,NaN,NaN,NaN
POL,29/07/2001,16:00,Wisła Kraków,Polonia Warszawa,2,2,D,NaN,NaN,NaN
POL,11/09/2001,16:00,GKS Katowice,Widzew Łódź,0,1,A,NaN,NaN,NaN
POL,03/08/2001,18:00,Ruch Chorzów,Legia Warszawa,0,4,A,NaN,NaN,NaN
POL,04/08/2001,16:00,Polonia Warszawa,GKS Katowice,1,2,A,NaN,NaN,NaN
POL,04/08/2001,16:00,Widzew Łódź,Wisła Kraków,3,2,H,NaN,NaN,NaN
POL,04/08/2001,16:00,Amica Wronki,Pogoń Szczecin,1,1,D,NaN,NaN,NaN
