Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
POR,22/08/2008,20:30,Vitória Guimarães,Vitória Setúbal,1,1,D,1,0,H
POR,23/08/2008,18:15,Paços de Ferreira,Sporting Braga,0,2,A,0,1,A
POR,23/08/2008,20:45,Sporting CP,CD Trofense,3,1,H,3,0,H
POR,24/08/2008,16:00,Estrela Amadora,Académica de Coimbra,1,0,H,0,0,D
POR,24/08/2008,17:00,Naval 1° de Maio,CS Marítimo,1,0,H,1,0,H
POR,24/08/2008,17:00,Leixões SC,CD Nacional,1,3,A,1,1,D
POR,24/08/2008,19:15,FC Porto,Os Belenenses,2,0,H,1,0,H
POR,24/08/2008,21:15,Rio Ave FC,SL Benfica,1,1,D,0,0,D
POR,29/08/2008,20:30,Os Belenenses,Paços de Ferreira,2,2,D,1,0,H
POR,30/08/2008,20:45,SL Benfica,FC Porto,1,1,D,0,1,A
POR,31/08/2008,16:00,CD Trofense,Leixões SC,1,2,A,0,1,A
POR,31/08/2008,16:00,CD Nacional,Naval 1° de Maio,2,1,H,0,0,D
POR,31/08/2008,16:00,Académica de Coimbra,Rio Ave FC,1,0,H,1,0,H
POR,31/08/2008,18:00,Vitória Setúbal,Estrela Amadora,1,0,H,1,0,H
POR,01/09/2008,19:15,CS Marítimo,Vitória Guimarães,0,1,A,0,1,A
POR,01/09/2008,21:15,Sporting Braga,Sporting CP,0,1,A,0,1,A
POR,20/09/2008,20:30,Sporting CP,Os Belenenses,2,0,H,1,0,H
POR,21/09/2008,16:00,Estrela Amadora,CS Marítimo,0,0,D,0,0,D
POR,21/09/2008,17:00,Naval 1° de Maio,CD Trofense,3,1,H,2,1,H
POR,21/09/2008,18:00,Leixões SC,Sporting Braga,2,0,H,1,0,H
POR,21/09/2008,20:15,Rio Ave FC,FC Porto,0,0,D,0,0,D
POR,21/09/2008,21:15,Académica de Coimbra,Vitória Setúbal,1,0,H,1,0,H
POR,22/09/2008,19:00,Vitória Guimarães,CD Nacional,0,2,A,0,1,A
POR,22/09/2008,21:00,Paços de Ferreira,SL Benfica,3,4,A,1,3,A
POR,26/09/2008,21:15,FC Porto,Paços de Ferreira,2,0,H,1,0,H
POR,27/09/2008,17:15,Sporting Braga,Naval 1° de Maio,1,1,D,1,0,H
POR,27/09/2008,19:00,Vitória Setúbal,Rio Ave FC,1,0,H,0,0,D
POR,27/09/2008,20:45,SL Benfica,Sporting CP,2,0,H,0,0,D
POR,28/09/2008,16:00,CD Nacional,Estrela Amadora,1,2,A,0,1,A
POR,28/09/2008,16:00,CS Marítimo,Académica de Coimbra,2,0,H,1,0,H
POR,28/09/2008,20:15,CD Trofense,Vitória Guimarães,1,3,A,0,2,A
POR,29/09/2008,19:45,Os Belenenses,Leixões SC,0,1,A,0,0,D
POR,04/10/2008,19:45,Naval 1° de Maio,Os Belenenses,1,1,D,0,0,D
POR,05/10/2008,16:00,Rio Ave FC,Paços de Ferreira,3,2,H,1,0,H
POR,05/10/2008,16:00,Académica de Coimbra,CD Nacional,1,1,D,0,1,A
POR,05/10/2008,16:00,Estrela Amadora,CD Trofense,1,0,H,0,0,D
POR,05/10/2008,19:45,Sporting CP,FC Porto,1,2,A,1,2,A
POR,06/10/2008,19:30,Vitória Guimarães,Sporting Braga,0,0,D,0,0,D
POR,06/10/2008,21:00,Leixões SC,SL Benfica,1,1,D,0,1,A
POR,07/10/2008,19:45,Vitória Setúbal,CS Marítimo,0,2,A,0,0,D
POR,24/10/2008,20:30,CD Trofense,Académica de Coimbra,0,0,D,0,0,D
POR,25/10/2008,18:30,Os Belenenses,Vitória Guimarães,1,1,D,0,1,A
POR,25/10/2008,21:00,FC Porto,Leixões SC,2,3,A,1,2,A
POR,26/10/2008,16:00,CS Marítimo,Rio Ave FC,1,1,D,0,0,D
POR,26/10/2008,16:00,CD Nacional,Vitória Setúbal,1,0,H,0,0,D
POR,26/10/2008,19:00,SL Benfica,Naval 1° de Maio,2,1,H,0,0,D
POR,26/10/2008,21:00,Paços de Ferreira,Sporting CP,0,0,D,0,0,D
POR,27/10/2008,19:45,Sporting Braga,Estrela Amadora,5,0,H,2,0,H
POR,31/10/2008,20:30,Vitória Setúbal,CD Trofense,0,2,A,0,1,A
POR,01/11/2008,18:45,Naval 1° de Maio,FC Porto,1,0,H,0,0,D
POR,01/11/2008,21:00,Rio Ave FC,Sporting CP,0,1,A,0,1,A
POR,02/11/2008,16:00,Leixões SC,Paços de Ferreira,2,1,H,2,0,H
POR,02/11/2008,16:00,Estrela Amadora,Os Belenenses,1,1,D,1,1,D
