Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
QAT,11/09/2015,16:00,Al Rayyan,Al Sailiya,4,0,H,2,0,H
QAT,11/09/2015,18:15,Al Khor SC,Umm-Salal,0,2,A,0,1,A
QAT,12/09/2015,16:00,Al Kharitiyath,Qatar SC,2,1,H,0,0,D
QAT,12/09/2015,18:15,Al Arabi,Al Wakrah,1,0,H,1,0,H
QAT,13/09/2015,16:00,Al Mesaimeer,Al Sadd,0,4,A,0,2,A
QAT,13/09/2015,18:15,El Jaish SC,Al Ahli Doha,1,1,D,1,0,H
QAT,27/10/2015,14:30,Al Gharafa,Lekhwiya SC,1,1,D,0,0,D
QAT,17/09/2015,16:00,Al Sadd,Umm-Salal,2,2,D,1,0,H
QAT,17/09/2015,18:15,Al Wakrah,Al Ahli Doha,1,2,A,1,1,D
QAT,18/09/2015,16:00,Al Gharafa,Al Mesaimeer,1,0,H,1,0,H
QAT,18/09/2015,16:00,Al Kharitiyath,Al Rayyan,1,2,A,0,0,D
QAT,18/09/2015,18:15,El Jaish SC,Al Sailiya,4,0,H,2,0,H
QAT,19/09/2015,16:00,Al Arabi,Al Khor SC,1,0,H,1,0,H
QAT,19/09/2015,18:15,Lekhwiya SC,Qatar SC,3,1,H,1,1,D
QAT,26/09/2015,16:00,El Jaish SC,Al Khor SC,0,0,D,0,0,D
QAT,26/09/2015,16:00,Al Gharafa,Al Ahli Doha,2,0,H,1,0,H
QAT,26/09/2015,18:15,Lekhwiya SC,Al Kharitiyath,7,0,H,2,0,H
QAT,26/09/2015,18:15,Qatar SC,Al Arabi,0,4,A,0,1,A
QAT,27/09/2015,16:00,Al Mesaimeer,Al Sailiya,0,1,A,0,0,D
QAT,27/09/2015,16:00,Al Sadd,Al Wakrah,4,1,H,1,0,H
QAT,27/09/2015,18:15,Al Rayyan,Umm-Salal,3,1,H,2,0,H
QAT,01/10/2015,15:45,Al Ahli Doha,Al Sadd,1,2,A,0,1,A
QAT,01/10/2015,15:45,Al Sailiya,Lekhwiya SC,0,2,A,0,1,A
QAT,01/10/2015,18:00,Al Kharitiyath,El Jaish SC,1,2,A,1,1,D
QAT,01/10/2015,18:00,Al Arabi,Al Gharafa,0,1,A,0,1,A
QAT,02/10/2015,15:45,Al Rayyan,Al Mesaimeer,2,0,H,0,0,D
QAT,02/10/2015,18:00,Qatar SC,Umm-Salal,2,2,D,1,0,H
QAT,02/10/2015,18:00,Al Khor SC,Al Wakrah,0,1,A,0,1,A
QAT,17/10/2015,15:30,Al Ahli Doha,Al Kharitiyath,2,2,D,0,1,A
QAT,17/10/2015,15:30,Al Khor SC,Al Rayyan,2,4,A,1,4,A
QAT,17/10/2015,17:45,Al Mesaimeer,Umm-Salal,0,3,A,0,1,A
QAT,17/10/2015,17:45,Al Wakrah,Al Sailiya,1,2,A,0,1,A
QAT,18/10/2015,15:30,Al Gharafa,El Jaish SC,1,4,A,1,1,D
QAT,18/10/2015,15:30,Al Sadd,Qatar SC,2,1,H,1,0,H
QAT,18/10/2015,17:45,Lekhwiya SC,Al Arabi,2,3,A,2,1,H
QAT,22/10/2015,15:30,Al Mesaimeer,Al Kharitiyath,2,1,H,1,1,D
QAT,22/10/2015,15:30,Al Wakrah,Al Gharafa,2,1,H,0,0,D
QAT,22/10/2015,17:45,El Jaish SC,Lekhwiya SC,2,0,H,2,0,H
QAT,23/10/2015,15:30,Al Sailiya,Umm-Salal,1,2,A,1,0,H
QAT,23/10/2015,15:30,Al Sadd,Al Khor SC,0,0,D,0,0,D
QAT,23/10/2015,17:45,Al Ahli Doha,Qatar SC,3,0,H,0,0,D
QAT,24/10/2015,15:30,Al Rayyan,Al Arabi,5,2,H,2,0,H
QAT,29/10/2015,14:30,Al Kharitiyath,Al Sailiya,2,1,H,1,0,H
QAT,29/10/2015,16:45,Al Wakrah,El Jaish SC,1,2,A,0,0,D
QAT,30/10/2015,14:30,Al Ahli Doha,Al Khor SC,1,0,H,0,0,D
QAT,30/10/2015,16:45,Al Mesaimeer,Qatar SC,0,2,A,0,0,D
QAT,31/10/2015,14:30,Al Gharafa,Umm-Salal,0,0,D,0,0,D
QAT,31/10/2015,14:30,Lekhwiya SC,Al Rayyan,1,3,A,1,0,H
QAT,31/10/2015,16:45,Al Arabi,Al Sadd,2,2,D,1,1,D
QAT,05/11/2015,13:15,Umm-Salal,Lekhwiya SC,1,0,H,0,0,D
QAT,05/11/2015,15:30,Al Arabi,Al Kharitiyath,2,1,H,1,0,H
QAT,06/11/2015,13:15,Al Rayyan,Al Wakrah,2,1,H,1,1,D
QAT,06/11/2015,13:15,Al Khor SC,Qatar SC,2,1,H,1,1,D
QAT,06/11/2015,15:30,Al Gharafa,Al Sadd,0,1,A,0,0,D
QAT,07/11/2015,13:15,Al Sailiya,Al Ahli Doha,2,2,D,1,0,H
QAT,07/11/2015,15:30,El Jaish SC,Al Mesaimeer,5,2,H,4,1,H
QAT,20/11/2015,13:00,Umm-Salal,Al Ahli Doha,1,1,D,0,1,A
QAT,20/11/2015,15:30,Al Mesaimeer,Al Wakrah,1,4,A,0,1,A
QAT,21/11/2015,13:00,El Jaish SC,Al Arabi,4,0,H,2,0,H
QAT,21/11/2015,13:00,Al Sailiya,Al Gharafa,1,3,A,1,3,A
QAT,22/11/2015,13:00,Lekhwiya SC,Al Khor SC,3,2,H,0,1,A
QAT,22/11/2015,13:00,Al Kharitiyath,Al Sadd,2,4,A,2,2,D
QAT,22/11/2015,15:30,Qatar SC,Al Rayyan,0,9,A,0,5,A
QAT,26/11/2015,13:00,Umm-Salal,Al Wakrah,1,1,D,0,0,D
QAT,26/11/2015,15:30,Al Sailiya,Qatar SC,5,0,H,2,0,H
QAT,27/11/2015,13:00,Al Kharitiyath,Al Gharafa,2,0,H,1,0,H
QAT,27/11/2015,13:00,Al Arabi,Al Ahli Doha,1,0,H,1,0,H
QAT,27/11/2015,15:30,Al Mesaimeer,Al Khor SC,1,2,A,0,0,D
QAT,27/11/2015,15:30,Al Sadd,Lekhwiya SC,2,4,A,1,1,D
QAT,28/11/2015,14:30,Al Rayyan,El Jaish SC,2,1,H,1,0,H
QAT,03/12/2015,13:00,Lekhwiya SC,Al Wakrah,6,2,H,3,0,H
QAT,03/12/2015,15:30,Al Ahli Doha,Al Mesaimeer,2,2,D,1,1,D
QAT,03/12/2015,15:30,Al Khor SC,Al Kharitiyath,2,2,D,0,1,A
QAT,04/12/2015,13:00,Al Sadd,Al Sailiya,1,2,A,1,2,A
QAT,04/12/2015,15:30,Umm-Salal,Al Arabi,1,1,D,0,0,D
QAT,05/12/2015,13:00,Qatar SC,El Jaish SC,1,0,H,0,0,D
QAT,05/12/2015,15:30,Al Gharafa,Al Rayyan,0,2,A,0,1,A
QAT,08/12/2015,13:00,Al Sailiya,Al Khor SC,2,0,H,1,0,H
QAT,08/12/2015,15:30,Al Wakrah,Al Kharitiyath,1,0,H,0,0,D
QAT,09/12/2015,13:00,Al Ahli Doha,Lekhwiya SC,0,4,A,0,3,A
QAT,09/12/2015,13:00,Qatar SC,Al Gharafa,0,0,D,0,0,D
QAT,09/12/2015,15:30,El Jaish SC,Umm-Salal,2,3,A,0,2,A
QAT,09/12/2015,15:30,Al Arabi,Al Mesaimeer,4,1,H,0,0,D
QAT,10/12/2015,15:30,Al Rayyan,Al Sadd,1,2,A,1,2,A
QAT,13/12/2015,13:00,Al Sailiya,Al Arabi,2,0,H,1,0,H
QAT,13/12/2015,13:00,Qatar SC,Al Wakrah,2,2,D,1,1,D
QAT,13/12/2015,15:30,Al Khor SC,Al Gharafa,2,0,H,0,0,D
QAT,13/12/2015,15:30,Umm-Salal,Al Kharitiyath,0,3,A,0,1,A
QAT,14/12/2015,13:00,Al Rayyan,Al Ahli Doha,3,1,H,2,0,H
QAT,14/12/2015,15:30,El Jaish SC,Al Sadd,4,2,H,1,2,A
QAT,14/12/2015,15:30,Al Mesaimeer,Lekhwiya SC,0,2,A,0,2,A
QAT,20/12/2015,15:45,Al Sadd,Al Mesaimeer,5,1,H,4,0,H
QAT,21/12/2015,13:00,Umm-Salal,Al Khor SC,0,0,D,0,0,D
QAT,21/12/2015,15:45,Al Sailiya,Al Rayyan,1,2,A,0,0,D
QAT,21/12/2015,15:45,Qatar SC,Al Kharitiyath,2,3,A,1,2,A
QAT,22/12/2015,13:00,Al Ahli Doha,El Jaish SC,0,1,A,0,1,A
QAT,22/12/2015,15:45,Al Wakrah,Al Arabi,1,0,H,1,0,H
QAT,22/12/2015,15:45,Lekhwiya SC,Al Gharafa,4,0,H,0,0,D
QAT,02/01/2016,13:15,Al Khor SC,Al Arabi,2,1,H,1,0,H
QAT,02/01/2016,13:15,Qatar SC,Lekhwiya SC,1,2,A,0,1,A
QAT,02/01/2016,15:45,Al Mesaimeer,Al Gharafa,0,2,A,0,0,D
QAT,02/01/2016,15:45,Al Rayyan,Al Kharitiyath,2,1,H,1,1,D
QAT,03/01/2016,13:15,Umm-Salal,Al Sadd,1,1,D,1,1,D
QAT,03/01/2016,15:45,Al Ahli Doha,Al Wakrah,2,1,H,0,0,D
QAT,03/01/2016,15:45,Al Sailiya,El Jaish SC,1,2,A,1,1,D
QAT,27/01/2016,13:30,Al Ahli Doha,Al Gharafa,0,1,A,0,1,A
QAT,27/01/2016,16:00,Al Khor SC,El Jaish SC,1,0,H,1,0,H
QAT,27/01/2016,16:00,Al Sailiya,Al Mesaimeer,3,1,H,1,0,H
QAT,28/01/2016,13:30,Al Kharitiyath,Lekhwiya SC,2,3,A,0,1,A
QAT,28/01/2016,13:30,Umm-Salal,Al Rayyan,0,2,A,0,0,D
QAT,28/01/2016,16:00,Al Arabi,Qatar SC,1,1,D,1,0,H
QAT,28/01/2016,16:00,Al Wakrah,Al Sadd,3,1,H,1,1,D
QAT,04/02/2016,13:30,El Jaish SC,Al Kharitiyath,3,0,H,2,0,H
QAT,04/02/2016,16:15,Al Sadd,Al Ahli Doha,1,1,D,0,0,D
QAT,05/02/2016,13:30,Umm-Salal,Qatar SC,2,2,D,1,0,H
QAT,05/02/2016,16:15,Al Gharafa,Al Arabi,2,3,A,0,1,A
QAT,05/02/2016,16:15,Lekhwiya SC,Al Sailiya,2,3,A,0,1,A
