Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ROM,30/07/2004,16:00,CFR Cluj,FCU Politechnica Timisoara,2,1,H,NaN,NaN,NaN
ROM,30/07/2004,16:00,Politehnica Iasi,Rapid Bucureşti,1,2,A,NaN,NaN,NaN
ROM,31/07/2004,16:00,Sportul Studenţesc,Apulum Alba Iulia,1,2,A,NaN,NaN,NaN
ROM,31/07/2004,18:00,Farul Constanta,Dinamo Bucureşti,1,0,H,NaN,NaN,NaN
ROM,31/07/2004,19:00,National Bucureşti,FC Braşov,2,1,H,NaN,NaN,NaN
ROM,01/08/2004,16:00,Argeș Pitești,FC Universitatea Craiova,1,1,D,NaN,NaN,NaN
ROM,01/08/2004,18:15,Steaua Bucureşti,Gloria Bistrita,2,0,H,NaN,NaN,NaN
ROM,01/08/2004,18:30,FCM Bacău,Oţelul Galaţi,1,0,H,NaN,NaN,NaN
ROM,06/08/2004,16:00,FC Braşov,FCM Bacău,0,0,D,NaN,NaN,NaN
ROM,06/08/2004,17:00,Apulum Alba Iulia,Politehnica Iasi,2,1,H,NaN,NaN,NaN
ROM,07/08/2004,18:00,Dinamo Bucureşti,Sportul Studenţesc,2,1,H,NaN,NaN,NaN
ROM,07/08/2004,18:00,Oţelul Galaţi,Argeș Pitești,1,2,A,NaN,NaN,NaN
ROM,07/08/2004,18:15,FC Universitatea Craiova,Farul Constanta,0,0,D,NaN,NaN,NaN
ROM,07/08/2004,19:00,FCU Politechnica Timisoara,National Bucureşti,1,4,A,NaN,NaN,NaN
ROM,08/08/2004,16:00,Gloria Bistrita,CFR Cluj,2,0,H,NaN,NaN,NaN
ROM,08/08/2004,18:15,Rapid Bucureşti,Steaua Bucureşti,2,1,H,NaN,NaN,NaN
ROM,11/08/2004,16:00,CFR Cluj,Rapid Bucureşti,1,1,D,NaN,NaN,NaN
ROM,11/08/2004,16:00,Sportul Studenţesc,FC Universitatea Craiova,2,0,H,NaN,NaN,NaN
ROM,11/08/2004,17:00,Farul Constanta,Argeș Pitești,3,0,H,NaN,NaN,NaN
ROM,11/08/2004,18:00,FCM Bacău,FCU Politechnica Timisoara,2,1,H,NaN,NaN,NaN
ROM,11/08/2004,19:00,National Bucureşti,Gloria Bistrita,1,0,H,NaN,NaN,NaN
ROM,03/11/2004,12:00,FC Braşov,Oţelul Galaţi,2,1,H,NaN,NaN,NaN
ROM,03/11/2004,12:00,Politehnica Iasi,Dinamo Bucureşti,2,3,A,NaN,NaN,NaN
ROM,05/12/2004,12:00,Steaua Bucureşti,Apulum Alba Iulia,3,0,H,NaN,NaN,NaN
ROM,20/08/2004,16:00,Argeș Pitești,Sportul Studenţesc,2,2,D,NaN,NaN,NaN
ROM,20/08/2004,18:00,FC Universitatea Craiova,Politehnica Iasi,0,0,D,NaN,NaN,NaN
ROM,21/08/2004,16:00,Apulum Alba Iulia,CFR Cluj,2,4,A,NaN,NaN,NaN
ROM,21/08/2004,16:00,Oţelul Galaţi,Farul Constanta,1,0,H,NaN,NaN,NaN
ROM,21/08/2004,18:15,Rapid Bucureşti,National Bucureşti,3,0,H,NaN,NaN,NaN
ROM,22/08/2004,16:00,Gloria Bistrita,FCM Bacău,1,0,H,NaN,NaN,NaN
ROM,22/08/2004,16:30,FCU Politechnica Timisoara,FC Braşov,2,1,H,NaN,NaN,NaN
ROM,22/08/2004,18:15,Dinamo Bucureşti,Steaua Bucureşti,0,1,A,NaN,NaN,NaN
ROM,27/08/2004,16:00,Sportul Studenţesc,Farul Constanta,1,1,D,NaN,NaN,NaN
ROM,27/08/2004,18:00,National Bucureşti,Apulum Alba Iulia,3,0,H,NaN,NaN,NaN
ROM,28/08/2004,16:00,FC Braşov,Gloria Bistrita,1,3,A,NaN,NaN,NaN
ROM,28/08/2004,18:15,FCM Bacău,Rapid Bucureşti,2,1,H,NaN,NaN,NaN
ROM,29/08/2004,16:00,CFR Cluj,Dinamo Bucureşti,4,2,H,NaN,NaN,NaN
