Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
RSA,27/08/2010,17:00,Vasco da Gama,Orlando Pirates,1,2,A,1,1,D
RSA,27/08/2010,19:45,Ajax Cape Town,Bloemfontein Celtic,2,0,H,1,0,H
RSA,28/08/2010,14:00,BidVest Wits,SuperSport United,3,0,H,0,0,D
RSA,28/08/2010,14:00,Free State Stars,Santos FC,0,0,D,0,0,D
RSA,28/08/2010,19:15,Kaizer Chiefs,Golden Arrows,2,0,H,0,0,D
RSA,28/08/2010,19:15,Mamelodi Sundowns,Moroka Swallows,2,0,H,0,0,D
RSA,29/08/2010,14:00,AmaZulu FC,Maritzburg United,3,2,H,2,1,H
RSA,29/08/2010,14:00,Mpumalanga Black Aces,Platinum Stars,2,3,A,2,1,H
RSA,08/09/2010,14:00,Golden Arrows,Vasco da Gama,2,0,H,0,0,D
RSA,08/09/2010,18:30,Santos FC,BidVest Wits,2,1,H,0,0,D
RSA,08/09/2010,18:30,SuperSport United,Mpumalanga Black Aces,2,1,H,1,0,H
RSA,08/09/2010,18:30,Bloemfontein Celtic,AmaZulu FC,3,1,H,2,0,H
RSA,08/09/2010,18:30,Platinum Stars,Mamelodi Sundowns,0,2,A,0,1,A
RSA,08/09/2010,19:00,Moroka Swallows,Ajax Cape Town,2,3,A,1,2,A
RSA,08/09/2010,19:00,Orlando Pirates,Free State Stars,0,0,D,0,0,D
RSA,08/09/2010,19:30,Maritzburg United,Kaizer Chiefs,1,1,D,0,1,A
RSA,17/09/2010,18:30,Ajax Cape Town,Platinum Stars,2,0,H,1,0,H
RSA,17/09/2010,19:00,Maritzburg United,Golden Arrows,0,3,A,0,2,A
RSA,18/09/2010,14:00,BidVest Wits,Orlando Pirates,1,1,D,0,0,D
RSA,18/09/2010,14:00,Free State Stars,Vasco da Gama,1,1,D,0,0,D
RSA,18/09/2010,17:00,Kaizer Chiefs,Bloemfontein Celtic,1,0,H,1,0,H
RSA,18/09/2010,19:15,Mamelodi Sundowns,SuperSport United,2,1,H,0,1,A
RSA,19/09/2010,14:00,Mpumalanga Black Aces,Santos FC,0,1,A,0,0,D
RSA,19/09/2010,14:00,AmaZulu FC,Moroka Swallows,2,2,D,1,0,H
RSA,22/09/2010,14:00,Golden Arrows,Free State Stars,2,0,H,0,0,D
RSA,22/09/2010,18:30,Santos FC,Mamelodi Sundowns,0,1,A,0,1,A
RSA,22/09/2010,18:30,Bloemfontein Celtic,Maritzburg United,2,0,H,1,0,H
RSA,22/09/2010,18:30,Platinum Stars,AmaZulu FC,2,2,D,0,0,D
RSA,22/09/2010,18:30,Vasco da Gama,BidVest Wits,2,0,H,1,0,H
RSA,20/10/2010,18:30,SuperSport United,Ajax Cape Town,1,1,D,0,0,D
RSA,20/10/2010,19:00,Orlando Pirates,Mpumalanga Black Aces,0,1,A,0,0,D
RSA,20/10/2010,19:00,Moroka Swallows,Kaizer Chiefs,0,1,A,0,1,A
RSA,15/10/2010,19:00,Maritzburg United,Moroka Swallows,1,0,H,0,0,D
RSA,15/10/2010,19:00,Ajax Cape Town,Santos FC,1,1,D,1,0,H
RSA,16/10/2010,14:30,BidVest Wits,Free State Stars,2,0,H,1,0,H
