Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
RUS,30/08/1992,,Torpedo Moskva,Uralmash Ekaterinburg,1,1,D,NaN,NaN,NaN
RUS,30/08/1992,,Krylia Sovetov,FK Tekstilschik Kamyshin,2,0,H,NaN,NaN,NaN
RUS,30/08/1992,,Rotor Volgograd (alt),Dinamo Stavropol,2,1,H,NaN,NaN,NaN
RUS,30/08/1992,,Kuban Krasnodar,Dinamo-Gazovik Tyumen,2,1,H,NaN,NaN,NaN
RUS,30/08/1992,,Shinnik Yaroslavl,Fakel Voronezh,1,1,D,NaN,NaN,NaN
RUS,30/08/1992,,Zenit St. Petersburg,Okean Nakhodka,3,0,H,NaN,NaN,NaN
RUS,03/09/1992,,Okean Nakhodka,Rotor Volgograd (alt),0,2,A,NaN,NaN,NaN
RUS,03/09/1992,,Dinamo Stavropol,Zenit St. Petersburg,3,0,H,NaN,NaN,NaN
RUS,03/09/1992,,Fakel Voronezh,Kuban Krasnodar,2,0,H,NaN,NaN,NaN
RUS,03/09/1992,,Dinamo-Gazovik Tyumen,Shinnik Yaroslavl,1,2,A,NaN,NaN,NaN
RUS,03/09/1992,,FK Tekstilschik Kamyshin,Torpedo Moskva,3,0,H,NaN,NaN,NaN
RUS,03/09/1992,,Uralmash Ekaterinburg,Krylia Sovetov,2,0,H,NaN,NaN,NaN
RUS,07/09/1992,,Okean Nakhodka,Torpedo Moskva,0,0,D,NaN,NaN,NaN
RUS,07/09/1992,,Dinamo Stavropol,Krylia Sovetov,0,3,A,NaN,NaN,NaN
RUS,09/09/1992,,Kuban Krasnodar,Uralmash Ekaterinburg,0,0,D,NaN,NaN,NaN
RUS,09/09/1992,,Shinnik Yaroslavl,FK Tekstilschik Kamyshin,2,0,H,NaN,NaN,NaN
RUS,09/09/1992,,Rotor Volgograd (alt),Dinamo-Gazovik Tyumen,3,2,H,NaN,NaN,NaN
RUS,09/09/1992,,Zenit St. Petersburg,Fakel Voronezh,2,0,H,NaN,NaN,NaN
RUS,11/09/1992,,Torpedo Moskva,Dinamo Stavropol,0,1,A,NaN,NaN,NaN
RUS,13/09/1992,,FK Tekstilschik Kamyshin,Kuban Krasnodar,1,0,H,NaN,NaN,NaN
RUS,13/09/1992,,Uralmash Ekaterinburg,Shinnik Yaroslavl,2,0,H,NaN,NaN,NaN
RUS,13/09/1992,,Fakel Voronezh,Rotor Volgograd (alt),1,0,H,NaN,NaN,NaN
RUS,13/09/1992,,Dinamo-Gazovik Tyumen,Zenit St. Petersburg,1,3,A,NaN,NaN,NaN
RUS,15/09/1992,,Krylia Sovetov,Okean Nakhodka,3,1,H,NaN,NaN,NaN
RUS,19/09/1992,,Shinnik Yaroslavl,Okean Nakhodka,1,2,A,NaN,NaN,NaN
RUS,20/09/1992,,Rotor Volgograd (alt),Uralmash Ekaterinburg,2,2,D,NaN,NaN,NaN
RUS,20/09/1992,,Zenit St. Petersburg,FK Tekstilschik Kamyshin,0,1,A,NaN,NaN,NaN
RUS,20/09/1992,,Kuban Krasnodar,Dinamo Stavropol,2,2,D,NaN,NaN,NaN
RUS,20/09/1992,,Fakel Voronezh,Torpedo Moskva,1,1,D,NaN,NaN,NaN
RUS,20/09/1992,,Dinamo-Gazovik Tyumen,Krylia Sovetov,1,0,H,NaN,NaN,NaN
RUS,25/09/1992,,Torpedo Moskva,Dinamo-Gazovik Tyumen,3,0,H,NaN,NaN,NaN
RUS,27/09/1992,,FK Tekstilschik Kamyshin,Rotor Volgograd (alt),1,0,H,NaN,NaN,NaN
RUS,27/09/1992,,Uralmash Ekaterinburg,Zenit St. Petersburg,1,1,D,NaN,NaN,NaN
RUS,27/09/1992,,Okean Nakhodka,Kuban Krasnodar,2,0,H,NaN,NaN,NaN
RUS,27/09/1992,,Dinamo Stavropol,Shinnik Yaroslavl,1,0,H,NaN,NaN,NaN
RUS,27/09/1992,,Krylia Sovetov,Fakel Voronezh,1,0,H,NaN,NaN,NaN
RUS,03/10/1992,,Dinamo Stavropol,Rotor Volgograd (alt),4,2,H,NaN,NaN,NaN
RUS,03/10/1992,,Torpedo Moskva,FK Tekstilschik Kamyshin,1,0,H,NaN,NaN,NaN
RUS,03/10/1992,,Krylia Sovetov,Uralmash Ekaterinburg,1,1,D,NaN,NaN,NaN
RUS,03/10/1992,,Kuban Krasnodar,Fakel Voronezh,0,2,A,NaN,NaN,NaN
RUS,03/10/1992,,Shinnik Yaroslavl,Dinamo-Gazovik Tyumen,3,0,H,NaN,NaN,NaN
RUS,28/10/1992,,Okean Nakhodka,Zenit St. Petersburg,3,2,H,NaN,NaN,NaN
RUS,11/10/1992,,Zenit St. Petersburg,Dinamo Stavropol,2,0,H,NaN,NaN,NaN
RUS,11/10/1992,,FK Tekstilschik Kamyshin,Krylia Sovetov,1,1,D,NaN,NaN,NaN
RUS,11/10/1992,,Uralmash Ekaterinburg,Torpedo Moskva,1,0,H,NaN,NaN,NaN
RUS,11/10/1992,,Fakel Voronezh,Shinnik Yaroslavl,1,0,H,NaN,NaN,NaN
RUS,11/10/1992,,Dinamo-Gazovik Tyumen,Kuban Krasnodar,1,0,H,NaN,NaN,NaN
RUS,13/10/1992,,Rotor Volgograd (alt),Okean Nakhodka,2,0,H,NaN,NaN,NaN
RUS,16/10/1992,,Torpedo Moskva,Okean Nakhodka,2,0,H,NaN,NaN,NaN
RUS,17/10/1992,,Rotor Volgograd (alt),Fakel Voronezh,2,0,H,NaN,NaN,NaN
RUS,17/10/1992,,Kuban Krasnodar,FK Tekstilschik Kamyshin,0,2,A,NaN,NaN,NaN
RUS,18/10/1992,,Krylia Sovetov,Dinamo Stavropol,0,0,D,NaN,NaN,NaN
RUS,18/10/1992,,Zenit St. Petersburg,Dinamo-Gazovik Tyumen,4,0,H,NaN,NaN,NaN
RUS,18/10/1992,,Shinnik Yaroslavl,Uralmash Ekaterinburg,0,4,A,NaN,NaN,NaN
RUS,25/10/1992,,Dinamo Stavropol,Torpedo Moskva,1,0,H,NaN,NaN,NaN
RUS,25/10/1992,,Fakel Voronezh,Zenit St. Petersburg,1,0,H,NaN,NaN,NaN
RUS,25/10/1992,,Dinamo-Gazovik Tyumen,Rotor Volgograd (alt),0,3,A,NaN,NaN,NaN
RUS,25/10/1992,,FK Tekstilschik Kamyshin,Shinnik Yaroslavl,3,1,H,NaN,NaN,NaN
RUS,25/10/1992,,Okean Nakhodka,Krylia Sovetov,1,0,H,NaN,NaN,NaN
RUS,10/11/1992,,Uralmash Ekaterinburg,Kuban Krasnodar,6,0,H,NaN,NaN,NaN
RUS,30/10/1992,,Torpedo Moskva,Fakel Voronezh,2,1,H,NaN,NaN,NaN
