Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SCO,13/08/1947,,Aberdeen FC,Hibernian FC,0,2,A,NaN,NaN,NaN
SCO,13/08/1947,,Airdrieonians FC (old),Celtic FC,3,2,H,NaN,NaN,NaN
SCO,13/08/1947,,Clyde FC,Falkirk FC,1,1,D,NaN,NaN,NaN
SCO,13/08/1947,,Greenock Morton FC,Dundee FC,3,0,H,NaN,NaN,NaN
SCO,13/08/1947,,Heart of Midlothian,St. Mirren FC,3,2,H,NaN,NaN,NaN
SCO,13/08/1947,,Queen Of The South,Partick Thistle,0,1,A,NaN,NaN,NaN
SCO,13/08/1947,,Queen's Park FC,Motherwell FC,2,5,A,NaN,NaN,NaN
SCO,13/08/1947,,Rangers FC,Third Lanark,5,2,H,NaN,NaN,NaN
SCO,26/08/1947,,St. Mirren FC,Aberdeen FC,3,0,H,NaN,NaN,NaN
SCO,27/08/1947,,Celtic FC,Queen's Park FC,4,0,H,NaN,NaN,NaN
SCO,27/08/1947,,Dundee FC,Queen Of The South,1,0,H,NaN,NaN,NaN
SCO,27/08/1947,,Falkirk FC,Greenock Morton FC,4,1,H,NaN,NaN,NaN
SCO,27/08/1947,,Hibernian FC,Airdrieonians FC (old),7,1,H,NaN,NaN,NaN
SCO,27/08/1947,,Motherwell FC,Heart of Midlothian,3,1,H,NaN,NaN,NaN
SCO,27/08/1947,,Partick Thistle,Rangers FC,0,1,A,NaN,NaN,NaN
SCO,27/08/1947,,Third Lanark,Clyde FC,2,1,H,NaN,NaN,NaN
SCO,20/09/1947,,Aberdeen FC,Dundee FC,3,2,H,NaN,NaN,NaN
SCO,20/09/1947,,Airdrieonians FC (old),Motherwell FC,1,5,A,NaN,NaN,NaN
SCO,20/09/1947,,Clyde FC,Partick Thistle,2,4,A,NaN,NaN,NaN
SCO,20/09/1947,,Greenock Morton FC,St. Mirren FC,2,2,D,NaN,NaN,NaN
SCO,20/09/1947,,Heart of Midlothian,Hibernian FC,2,1,H,NaN,NaN,NaN
SCO,20/09/1947,,Queen Of The South,Falkirk FC,6,6,D,NaN,NaN,NaN
SCO,20/09/1947,,Rangers FC,Celtic FC,2,0,H,NaN,NaN,NaN
SCO,20/09/1947,,Third Lanark,Queen's Park FC,4,2,H,NaN,NaN,NaN
SCO,27/09/1947,,Celtic FC,Motherwell FC,0,1,A,NaN,NaN,NaN
SCO,27/09/1947,,Dundee FC,Airdrieonians FC (old),6,0,H,NaN,NaN,NaN
SCO,27/09/1947,,Hibernian FC,Clyde FC,2,1,H,NaN,NaN,NaN
SCO,27/09/1947,,Partick Thistle,Queen's Park FC,5,1,H,NaN,NaN,NaN
SCO,27/09/1947,,St. Mirren FC,Queen Of The South,0,1,A,NaN,NaN,NaN
SCO,27/09/1947,,Third Lanark,Greenock Morton FC,2,1,H,NaN,NaN,NaN
SCO,04/10/1947,,Aberdeen FC,Celtic FC,2,0,H,NaN,NaN,NaN
