Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SIN,25/09/2013,12:30,Warriors FC,Hougang United,1,1,D,0,0,D
SIN,26/09/2013,13:45,Harimau Muda B,Geylang International,2,2,D,1,1,D
SIN,27/09/2013,12:30,Young Lions,Brunei DPMM FC,2,3,A,1,2,A
SIN,18/10/2013,12:30,Geylang International,Warriors FC,3,0,H,NaN,NaN,NaN
SIN,19/10/2013,13:15,Brunei DPMM FC,Hougang United,1,0,H,NaN,NaN,NaN
SIN,27/10/2013,,Harimau Muda B,Young Lions,0,3,A,NaN,NaN,NaN
SIN,23/10/2013,12:30,Warriors FC,Brunei DPMM FC,3,2,H,NaN,NaN,NaN
SIN,24/10/2013,12:30,Geylang International,Young Lions,1,0,H,NaN,NaN,NaN
SIN,24/10/2013,12:30,Hougang United,Harimau Muda B,4,1,H,NaN,NaN,NaN
SIN,29/10/2013,11:30,Hougang United,Geylang International,4,1,H,NaN,NaN,NaN
SIN,31/10/2013,08:45,Harimau Muda B,Brunei DPMM FC,2,2,D,NaN,NaN,NaN
SIN,31/10/2013,11:30,Young Lions,Warriors FC,2,1,H,NaN,NaN,NaN
SIN,05/11/2013,12:45,Warriors FC,Harimau Muda B,1,1,D,NaN,NaN,NaN
SIN,05/11/2013,12:45,Young Lions,Hougang United,2,0,H,NaN,NaN,NaN
SIN,06/11/2013,12:15,Brunei DPMM FC,Geylang International,2,2,D,NaN,NaN,NaN
