Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SLV,18/01/2014,23:00,Universidad de El Salvador,Alianza FC,1,2,A,NaN,NaN,NaN
SLV,19/01/2014,01:00,AD Isidro Metapan,Juventud Independiente,3,1,H,NaN,NaN,NaN
SLV,19/01/2014,20:30,CD Dragón,CD FAS,1,2,A,NaN,NaN,NaN
SLV,19/01/2014,21:00,Atlético Marte,Luis Angel Firpo,6,1,H,NaN,NaN,NaN
SLV,19/01/2014,21:30,Santa Tecla FC,CD Águila,2,0,H,NaN,NaN,NaN
SLV,26/01/2014,00:00,Luis Angel Firpo,Universidad de El Salvador,3,1,H,NaN,NaN,NaN
SLV,26/01/2014,01:00,CD Águila,AD Isidro Metapan,1,2,A,NaN,NaN,NaN
SLV,26/01/2014,01:00,CD FAS,Atlético Marte,1,0,H,NaN,NaN,NaN
SLV,26/01/2014,21:00,Alianza FC,Santa Tecla FC,2,0,H,NaN,NaN,NaN
SLV,26/01/2014,21:00,Juventud Independiente,CD Dragón,0,0,D,NaN,NaN,NaN
SLV,29/01/2014,21:30,Atlético Marte,Juventud Independiente,1,3,A,NaN,NaN,NaN
SLV,30/01/2014,00:00,Santa Tecla FC,Luis Angel Firpo,0,1,A,NaN,NaN,NaN
SLV,30/01/2014,00:00,Universidad de El Salvador,CD FAS,0,1,A,NaN,NaN,NaN
SLV,30/01/2014,01:00,CD Águila,Alianza FC,1,0,H,NaN,NaN,NaN
SLV,30/01/2014,01:00,AD Isidro Metapan,CD Dragón,1,1,D,NaN,NaN,NaN
SLV,09/02/2014,00:00,Luis Angel Firpo,CD Águila,2,1,H,NaN,NaN,NaN
SLV,09/02/2014,01:00,CD FAS,Santa Tecla FC,2,1,H,NaN,NaN,NaN
SLV,09/02/2014,20:30,CD Dragón,Atlético Marte,0,2,A,NaN,NaN,NaN
SLV,09/02/2014,21:00,Alianza FC,AD Isidro Metapan,0,3,A,NaN,NaN,NaN
SLV,09/02/2014,21:00,Juventud Independiente,Universidad de El Salvador,2,0,H,NaN,NaN,NaN
SLV,15/02/2014,23:00,Universidad de El Salvador,CD Dragón,0,3,A,NaN,NaN,NaN
SLV,16/02/2014,01:00,CD Águila,CD FAS,0,0,D,NaN,NaN,NaN
SLV,16/02/2014,01:00,AD Isidro Metapan,Atlético Marte,1,3,A,NaN,NaN,NaN
SLV,16/02/2014,21:30,Alianza FC,Luis Angel Firpo,2,2,D,NaN,NaN,NaN
SLV,16/02/2014,21:30,Santa Tecla FC,Juventud Independiente,2,2,D,NaN,NaN,NaN
SLV,23/02/2014,00:00,Luis Angel Firpo,AD Isidro Metapan,1,3,A,NaN,NaN,NaN
SLV,23/02/2014,01:00,CD FAS,Alianza FC,2,0,H,NaN,NaN,NaN
SLV,23/02/2014,01:00,CD Dragón,Santa Tecla FC,1,1,D,NaN,NaN,NaN
SLV,23/02/2014,21:00,Juventud Independiente,CD Águila,3,2,H,NaN,NaN,NaN
SLV,23/02/2014,21:30,Atlético Marte,Universidad de El Salvador,2,1,H,NaN,NaN,NaN
SLV,27/02/2014,00:00,Santa Tecla FC,Atlético Marte,0,0,D,NaN,NaN,NaN
SLV,27/02/2014,00:30,Luis Angel Firpo,CD FAS,1,2,A,NaN,NaN,NaN
SLV,27/02/2014,01:00,Alianza FC,Juventud Independiente,0,0,D,NaN,NaN,NaN
SLV,27/02/2014,01:00,CD Águila,CD Dragón,1,1,D,NaN,NaN,NaN
SLV,27/02/2014,01:00,AD Isidro Metapan,Universidad de El Salvador,1,2,A,NaN,NaN,NaN
SLV,01/03/2014,23:00,Universidad de El Salvador,Santa Tecla FC,2,3,A,NaN,NaN,NaN
SLV,01/03/2014,23:00,Atlético Marte,CD Águila,1,2,A,NaN,NaN,NaN
SLV,02/03/2014,01:00,AD Isidro Metapan,CD FAS,1,0,H,NaN,NaN,NaN
SLV,02/03/2014,20:30,CD Dragón,Alianza FC,4,0,H,NaN,NaN,NaN
SLV,02/03/2014,21:00,Juventud Independiente,Luis Angel Firpo,2,0,H,NaN,NaN,NaN
SLV,16/03/2014,00:00,Luis Angel Firpo,CD Dragón,1,2,A,NaN,NaN,NaN
SLV,16/03/2014,01:00,CD FAS,Juventud Independiente,2,1,H,NaN,NaN,NaN
SLV,16/03/2014,01:00,CD Águila,Universidad de El Salvador,2,3,A,NaN,NaN,NaN
SLV,16/03/2014,21:00,Alianza FC,Atlético Marte,2,1,H,NaN,NaN,NaN
SLV,16/03/2014,21:30,Santa Tecla FC,AD Isidro Metapan,1,0,H,NaN,NaN,NaN
SLV,22/03/2014,21:30,Alianza FC,Universidad de El Salvador,0,0,D,NaN,NaN,NaN
SLV,23/03/2014,00:00,Luis Angel Firpo,Atlético Marte,3,1,H,NaN,NaN,NaN
SLV,23/03/2014,01:00,CD FAS,CD Dragón,1,2,A,NaN,NaN,NaN
SLV,23/03/2014,01:00,CD Águila,Santa Tecla FC,3,1,H,NaN,NaN,NaN
SLV,23/03/2014,21:00,Juventud Independiente,AD Isidro Metapan,0,3,A,NaN,NaN,NaN
SLV,29/03/2014,23:00,Universidad de El Salvador,Luis Angel Firpo,3,1,H,NaN,NaN,NaN
SLV,30/03/2014,02:00,AD Isidro Metapan,CD Águila,0,2,A,NaN,NaN,NaN
SLV,30/03/2014,21:30,CD Dragón,Juventud Independiente,1,0,H,NaN,NaN,NaN
SLV,30/03/2014,22:00,Atlético Marte,CD FAS,1,2,A,NaN,NaN,NaN
SLV,30/03/2014,22:30,Santa Tecla FC,Alianza FC,4,4,D,NaN,NaN,NaN
SLV,02/04/2014,21:30,CD Dragón,AD Isidro Metapan,0,1,A,NaN,NaN,NaN
SLV,02/04/2014,22:30,Juventud Independiente,Atlético Marte,3,2,H,NaN,NaN,NaN
SLV,03/04/2014,01:00,Luis Angel Firpo,Santa Tecla FC,1,0,H,NaN,NaN,NaN
SLV,03/04/2014,02:00,CD FAS,Universidad de El Salvador,1,1,D,NaN,NaN,NaN
SLV,03/04/2014,02:15,Alianza FC,CD Águila,1,2,A,NaN,NaN,NaN
SLV,06/04/2014,00:00,Universidad de El Salvador,Juventud Independiente,0,2,A,NaN,NaN,NaN
SLV,06/04/2014,02:00,AD Isidro Metapan,Alianza FC,2,0,H,NaN,NaN,NaN
SLV,06/04/2014,02:00,CD Águila,Luis Angel Firpo,2,2,D,NaN,NaN,NaN
SLV,06/04/2014,22:00,Atlético Marte,CD Dragón,2,2,D,NaN,NaN,NaN
SLV,06/04/2014,22:30,Santa Tecla FC,CD FAS,5,2,H,NaN,NaN,NaN
SLV,13/04/2014,01:00,Luis Angel Firpo,Alianza FC,1,2,A,NaN,NaN,NaN
SLV,13/04/2014,02:00,CD FAS,CD Águila,1,0,H,NaN,NaN,NaN
SLV,13/04/2014,21:30,CD Dragón,Universidad de El Salvador,2,2,D,NaN,NaN,NaN
SLV,13/04/2014,22:00,Juventud Independiente,Santa Tecla FC,1,0,H,NaN,NaN,NaN
SLV,13/04/2014,22:00,Atlético Marte,AD Isidro Metapan,2,2,D,NaN,NaN,NaN
SLV,17/04/2014,02:00,AD Isidro Metapan,Luis Angel Firpo,0,0,D,NaN,NaN,NaN
SLV,17/04/2014,02:00,CD Águila,Juventud Independiente,1,1,D,NaN,NaN,NaN
SLV,17/04/2014,22:00,Universidad de El Salvador,Atlético Marte,1,0,H,NaN,NaN,NaN
SLV,17/04/2014,22:15,Alianza FC,CD FAS,0,0,D,NaN,NaN,NaN
SLV,18/04/2014,01:00,Santa Tecla FC,CD Dragón,2,0,H,NaN,NaN,NaN
SLV,23/04/2014,22:00,Juventud Independiente,Alianza FC,0,0,D,NaN,NaN,NaN
SLV,23/04/2014,22:00,Atlético Marte,Santa Tecla FC,0,1,A,NaN,NaN,NaN
