Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SRB,22/07/2016,19:00,Crvena Zvezda,FK Napredak,2,2,D,0,1,A
SRB,23/07/2016,19:00,FK Metalac,Borac Čačak,1,0,H,1,0,H
SRB,23/07/2016,19:00,Mladost Lučani,FK Rad Beograd,2,1,H,1,0,H
SRB,23/07/2016,19:00,FK Voždovac,Spartak Subotica,0,3,A,0,0,D
SRB,23/07/2016,19:00,Radnik Surdulica,FK Javor,2,2,D,2,1,H
SRB,24/07/2016,18:00,Bačka Bačka Palanka,Partizan,0,0,D,0,0,D
SRB,24/07/2016,19:00,Radnički Niš,FK Čukarički-Stankom,2,1,H,0,1,A
SRB,14/09/2016,15:30,FK Novi Pazar,Vojvodina,1,2,A,0,0,D
SRB,29/07/2016,19:00,Crvena Zvezda,FK Metalac,3,1,H,2,0,H
SRB,30/07/2016,16:00,FK Rad Beograd,FK Voždovac,0,2,A,0,0,D
SRB,30/07/2016,18:00,FK Javor,FK Novi Pazar,1,1,D,0,0,D
SRB,30/07/2016,19:00,Spartak Subotica,Radnički Niš,3,1,H,0,0,D
SRB,30/07/2016,19:00,Borac Čačak,Mladost Lučani,0,1,A,0,1,A
SRB,31/07/2016,18:00,FK Napredak,Partizan,2,1,H,1,0,H
SRB,31/07/2016,19:00,Vojvodina,Bačka Bačka Palanka,1,0,H,0,0,D
SRB,31/07/2016,19:00,FK Čukarički-Stankom,Radnik Surdulica,0,0,D,0,0,D
SRB,05/08/2016,19:00,Radnički Niš,FK Rad Beograd,3,0,H,2,0,H
SRB,06/08/2016,19:00,FK Metalac,FK Napredak,2,0,H,2,0,H
SRB,06/08/2016,19:00,Mladost Lučani,Crvena Zvezda,2,4,A,1,3,A
SRB,06/08/2016,19:00,FK Voždovac,Borac Čačak,2,0,H,1,0,H
SRB,06/08/2016,19:00,Radnik Surdulica,Spartak Subotica,2,1,H,2,0,H
SRB,06/08/2016,19:00,FK Novi Pazar,FK Čukarički-Stankom,1,0,H,1,0,H
SRB,06/08/2016,19:00,Bačka Bačka Palanka,FK Javor,0,1,A,0,0,D
SRB,07/08/2016,18:00,Partizan,Vojvodina,1,3,A,0,2,A
SRB,10/08/2016,17:30,FK Javor,Partizan,0,2,A,0,1,A
SRB,10/08/2016,17:30,Spartak Subotica,FK Novi Pazar,2,5,A,1,3,A
SRB,10/08/2016,19:00,FK Napredak,Vojvodina,0,0,D,0,0,D
SRB,10/08/2016,19:00,FK Čukarički-Stankom,Bačka Bačka Palanka,1,0,H,0,0,D
SRB,10/08/2016,19:00,FK Rad Beograd,Radnik Surdulica,1,0,H,1,0,H
SRB,10/08/2016,19:00,Borac Čačak,Radnički Niš,0,0,D,0,0,D
SRB,10/08/2016,19:00,FK Metalac,Mladost Lučani,2,0,H,0,0,D
SRB,10/08/2016,19:30,Crvena Zvezda,FK Voždovac,3,0,H,2,0,H
SRB,13/08/2016,18:00,Bačka Bačka Palanka,Spartak Subotica,1,3,A,0,2,A
SRB,14/08/2016,16:00,Partizan,FK Čukarički-Stankom,1,0,H,1,0,H
SRB,14/08/2016,18:00,Radnički Niš,Crvena Zvezda,0,3,A,0,2,A
SRB,14/08/2016,19:00,Mladost Lučani,FK Napredak,1,0,H,1,0,H
SRB,14/08/2016,19:00,FK Voždovac,FK Metalac,0,0,D,0,0,D
SRB,14/08/2016,19:00,Radnik Surdulica,Borac Čačak,1,1,D,0,1,A
SRB,14/08/2016,19:00,FK Novi Pazar,FK Rad Beograd,0,2,A,0,0,D
SRB,14/08/2016,19:00,Vojvodina,FK Javor,4,0,H,3,0,H
SRB,20/08/2016,18:00,Spartak Subotica,Partizan,2,1,H,0,0,D
SRB,20/08/2016,19:00,FK Napredak,FK Javor,3,1,H,2,1,H
SRB,20/08/2016,19:00,FK Rad Beograd,Bačka Bačka Palanka,2,1,H,1,0,H
SRB,20/08/2016,19:00,Borac Čačak,FK Novi Pazar,2,1,H,2,0,H
SRB,20/08/2016,19:00,Mladost Lučani,FK Voždovac,0,1,A,0,0,D
SRB,21/08/2016,16:00,FK Metalac,Radnički Niš,1,2,A,0,0,D
SRB,21/08/2016,17:00,Crvena Zvezda,Radnik Surdulica,5,0,H,2,0,H
SRB,21/08/2016,18:00,FK Čukarički-Stankom,Vojvodina,1,3,A,0,1,A
SRB,26/08/2016,19:00,Radnik Surdulica,FK Metalac,0,1,A,0,0,D
SRB,27/08/2016,18:00,Partizan,FK Rad Beograd,4,0,H,2,0,H
SRB,27/08/2016,19:00,FK Voždovac,FK Napredak,0,0,D,0,0,D
SRB,27/08/2016,19:00,Radnički Niš,Mladost Lučani,2,0,H,0,0,D
