Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SUD,18/02/2009,,Al-Mirghani Kasala,Al-Mawrada,1,1,D,NaN,NaN,NaN
SUD,18/02/2009,,Al-Hilal Port Sudan,Al-Hilal Kadougli,4,3,H,NaN,NaN,NaN
SUD,18/02/2009,,Khartoum 3,Al-Nil Al-Hasahesa,1,1,D,NaN,NaN,NaN
SUD,19/02/2009,,Al-Merreikh Omdurman,Al-Ahli Wad Madani,3,0,H,NaN,NaN,NaN
SUD,19/02/2009,,Al-Ittihad Wad Madani,Hay Al-Arab,1,0,H,NaN,NaN,NaN
SUD,19/02/2009,,Al Shimali,Al-Hilal Omdurman,0,1,A,NaN,NaN,NaN
SUD,22/02/2009,,Alamal Atbara,Al-Merreikh Omdurman,1,1,D,NaN,NaN,NaN
SUD,23/02/2009,,Al-Mawrada,Khartoum 3,0,0,D,NaN,NaN,NaN
SUD,23/02/2009,,Al-Hilal Port Sudan,Al-Ahli Wad Madani,4,1,H,NaN,NaN,NaN
SUD,23/02/2009,,Al-Hilal Kadougli,Al-Ittihad Wad Madani,4,0,H,NaN,NaN,NaN
SUD,23/02/2009,,Al-Nil Al-Hasahesa,Al Shimali,3,0,H,NaN,NaN,NaN
SUD,24/02/2009,,Hay Al-Arab,Al-Mirghani Kasala,0,2,A,NaN,NaN,NaN
SUD,27/02/2009,,Al-Hilal Omdurman,Al-Merreikh Omdurman,1,1,D,NaN,NaN,NaN
SUD,27/02/2009,,Al-Ittihad Wad Madani,Al Shimali,3,2,H,NaN,NaN,NaN
SUD,27/02/2009,,Al-Nil Al-Hasahesa,Al-Ahli Wad Madani,1,0,H,NaN,NaN,NaN
SUD,28/02/2009,,Al-Mawrada,Al-Hilal Kadougli,1,1,D,NaN,NaN,NaN
SUD,28/02/2009,,Al-Mirghani Kasala,Khartoum 3,1,2,A,NaN,NaN,NaN
SUD,28/02/2009,,Alamal Atbara,Hay Al-Arab,0,1,A,NaN,NaN,NaN
SUD,09/03/2009,,Hay Al-Arab,Al-Mawrada,2,1,H,NaN,NaN,NaN
SUD,09/03/2009,,Khartoum 3,Al-Ittihad Wad Madani,2,0,H,NaN,NaN,NaN
SUD,09/03/2009,,Al-Mirghani Kasala,Alamal Atbara,1,1,D,NaN,NaN,NaN
SUD,09/03/2009,,Al-Nil Al-Hasahesa,Al-Hilal Kadougli,2,0,H,NaN,NaN,NaN
SUD,09/03/2009,,Al Shimali,Al-Hilal Port Sudan,0,2,A,NaN,NaN,NaN
SUD,10/03/2009,,Al-Ahli Wad Madani,Al-Hilal Omdurman,2,5,A,NaN,NaN,NaN
SUD,13/03/2009,,Khartoum 3,Alamal Atbara,1,0,H,NaN,NaN,NaN
SUD,13/03/2009,,Al Shimali,Al-Mirghani Kasala,1,3,A,NaN,NaN,NaN
