Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SUI,28/02/1993,13:30,FC Grenchen,Etoile Carouge FC,0,1,A,NaN,NaN,NaN
SUI,28/02/1993,13:30,Yverdon-Sport FC,FC Schaffhausen,2,0,H,NaN,NaN,NaN
SUI,28/02/1993,13:30,FC St. Gallen,FC Winterthur,1,0,H,NaN,NaN,NaN
SUI,28/02/1993,13:30,SC Kriens,FC Chiasso,0,0,D,NaN,NaN,NaN
SUI,06/03/1993,14:00,Etoile Carouge FC,FC Winterthur,1,4,A,NaN,NaN,NaN
SUI,07/03/1993,13:30,FC Chiasso,Yverdon-Sport FC,6,2,H,NaN,NaN,NaN
SUI,07/03/1993,13:30,FC St. Gallen,FC Grenchen,5,0,H,NaN,NaN,NaN
SUI,07/03/1993,13:30,FC Schaffhausen,SC Kriens,0,0,D,NaN,NaN,NaN
SUI,14/03/1993,13:30,SC Kriens,Etoile Carouge FC,4,2,H,NaN,NaN,NaN
SUI,14/03/1993,13:30,FC Grenchen,FC Schaffhausen,0,2,A,NaN,NaN,NaN
SUI,14/03/1993,13:30,Yverdon-Sport FC,FC St. Gallen,1,0,H,NaN,NaN,NaN
SUI,14/03/1993,13:30,FC Winterthur,FC Chiasso,1,3,A,NaN,NaN,NaN
SUI,21/03/1993,13:30,FC Chiasso,FC Grenchen,1,0,H,NaN,NaN,NaN
SUI,24/03/1993,19:00,Etoile Carouge FC,Yverdon-Sport FC,2,3,A,NaN,NaN,NaN
SUI,24/03/1993,19:00,FC St. Gallen,SC Kriens,0,1,A,NaN,NaN,NaN
SUI,24/03/1993,19:00,FC Schaffhausen,FC Winterthur,2,0,H,NaN,NaN,NaN
SUI,03/04/1993,16:30,Etoile Carouge FC,FC St. Gallen,0,1,A,NaN,NaN,NaN
SUI,03/04/1993,19:00,FC Chiasso,FC Schaffhausen,2,0,H,NaN,NaN,NaN
SUI,03/04/1993,19:00,SC Kriens,Yverdon-Sport FC,1,7,A,NaN,NaN,NaN
SUI,04/04/1993,13:30,FC Winterthur,FC Grenchen,3,3,D,NaN,NaN,NaN
SUI,10/04/1993,19:00,FC Grenchen,SC Kriens,1,2,A,NaN,NaN,NaN
SUI,10/04/1993,19:00,Yverdon-Sport FC,FC Winterthur,1,1,D,NaN,NaN,NaN
SUI,10/04/1993,19:00,FC St. Gallen,FC Chiasso,3,1,H,NaN,NaN,NaN
SUI,10/04/1993,19:00,FC Schaffhausen,Etoile Carouge FC,3,0,H,NaN,NaN,NaN
