Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SUI,20/02/1994,13:30,Servette Genève,BSC Young Boys,1,1,D,NaN,NaN,NaN
SUI,20/02/1994,13:30,FC Luzern,FC Sion,2,2,D,NaN,NaN,NaN
SUI,20/02/1994,13:30,FC Lugano,Lausanne Sports,2,1,H,NaN,NaN,NaN
SUI,20/02/1994,13:30,Grasshoppers Zürich,FC Aarau,1,2,A,NaN,NaN,NaN
SUI,27/02/1994,13:30,Lausanne Sports,Grasshoppers Zürich,2,3,A,NaN,NaN,NaN
SUI,27/02/1994,13:30,FC Aarau,Servette Genève,1,1,D,NaN,NaN,NaN
SUI,27/02/1994,13:30,BSC Young Boys,FC Luzern,1,1,D,NaN,NaN,NaN
SUI,27/02/1994,13:30,FC Sion,FC Lugano,0,0,D,NaN,NaN,NaN
SUI,05/03/1994,16:30,Grasshoppers Zürich,BSC Young Boys,4,0,H,NaN,NaN,NaN
SUI,05/03/1994,19:00,Servette Genève,FC Sion,4,3,H,NaN,NaN,NaN
SUI,05/03/1994,19:00,FC Lugano,FC Aarau,1,2,A,NaN,NaN,NaN
SUI,06/03/1994,13:30,FC Luzern,Lausanne Sports,1,2,A,NaN,NaN,NaN
SUI,12/03/1994,16:30,Lausanne Sports,Servette Genève,0,3,A,NaN,NaN,NaN
SUI,13/03/1994,13:30,FC Aarau,FC Luzern,3,0,H,NaN,NaN,NaN
SUI,13/03/1994,13:30,BSC Young Boys,FC Lugano,0,0,D,NaN,NaN,NaN
SUI,13/03/1994,13:30,FC Sion,Grasshoppers Zürich,1,0,H,NaN,NaN,NaN
SUI,19/03/1994,16:30,FC Sion,FC Aarau,1,1,D,NaN,NaN,NaN
SUI,20/03/1994,13:30,Servette Genève,FC Lugano,1,0,H,NaN,NaN,NaN
SUI,20/03/1994,13:30,FC Luzern,Grasshoppers Zürich,3,1,H,NaN,NaN,NaN
SUI,20/03/1994,13:30,BSC Young Boys,Lausanne Sports,0,4,A,NaN,NaN,NaN
SUI,27/03/1994,13:30,FC Lugano,FC Luzern,4,1,H,NaN,NaN,NaN
SUI,27/03/1994,13:30,Grasshoppers Zürich,Servette Genève,4,2,H,NaN,NaN,NaN
SUI,27/03/1994,13:30,Lausanne Sports,FC Sion,1,1,D,NaN,NaN,NaN
SUI,27/03/1994,13:30,FC Aarau,BSC Young Boys,2,2,D,NaN,NaN,NaN
SUI,31/03/1994,19:00,Servette Genève,FC Luzern,3,0,H,NaN,NaN,NaN
SUI,31/03/1994,19:00,FC Lugano,Grasshoppers Zürich,1,1,D,NaN,NaN,NaN
SUI,02/04/1994,16:30,FC Aarau,Lausanne Sports,0,1,A,NaN,NaN,NaN
SUI,02/04/1994,19:00,FC Sion,BSC Young Boys,1,0,H,NaN,NaN,NaN
SUI,09/04/1994,16:30,FC Luzern,Servette Genève,2,4,A,NaN,NaN,NaN
SUI,09/04/1994,16:30,Grasshoppers Zürich,FC Lugano,3,3,D,NaN,NaN,NaN
SUI,09/04/1994,19:00,BSC Young Boys,FC Sion,1,3,A,NaN,NaN,NaN
SUI,09/04/1994,19:00,Lausanne Sports,FC Aarau,1,0,H,NaN,NaN,NaN
SUI,15/04/1994,19:00,Servette Genève,Grasshoppers Zürich,1,1,D,NaN,NaN,NaN
SUI,16/04/1994,16:30,FC Luzern,FC Lugano,1,3,A,NaN,NaN,NaN
SUI,16/04/1994,19:00,FC Sion,Lausanne Sports,5,0,H,NaN,NaN,NaN
SUI,16/04/1994,19:00,BSC Young Boys,FC Aarau,1,2,A,NaN,NaN,NaN
SUI,23/04/1994,16:30,FC Aarau,FC Sion,2,1,H,NaN,NaN,NaN
SUI,23/04/1994,16:30,Grasshoppers Zürich,FC Luzern,3,0,H,NaN,NaN,NaN
SUI,23/04/1994,19:00,FC Lugano,Servette Genève,1,1,D,NaN,NaN,NaN
SUI,23/04/1994,19:00,Lausanne Sports,BSC Young Boys,1,2,A,NaN,NaN,NaN
SUI,29/04/1994,19:00,Grasshoppers Zürich,FC Sion,3,1,H,NaN,NaN,NaN
SUI,30/04/1994,19:00,Servette Genève,Lausanne Sports,3,0,H,NaN,NaN,NaN
SUI,30/04/1994,19:00,FC Luzern,FC Aarau,1,3,A,NaN,NaN,NaN
SUI,30/04/1994,19:00,FC Lugano,BSC Young Boys,0,4,A,NaN,NaN,NaN
SUI,03/05/1994,19:00,FC Sion,Servette Genève,0,0,D,NaN,NaN,NaN
SUI,03/05/1994,19:00,FC Aarau,FC Lugano,4,3,H,NaN,NaN,NaN
SUI,03/05/1994,19:00,BSC Young Boys,Grasshoppers Zürich,0,0,D,NaN,NaN,NaN
SUI,03/05/1994,19:00,Lausanne Sports,FC Luzern,1,3,A,NaN,NaN,NaN
SUI,07/05/1994,19:00,Grasshoppers Zürich,Lausanne Sports,3,0,H,NaN,NaN,NaN
SUI,07/05/1994,19:00,Servette Genève,FC Aarau,1,0,H,NaN,NaN,NaN
SUI,07/05/1994,19:00,FC Luzern,BSC Young Boys,0,0,D,NaN,NaN,NaN
SUI,07/05/1994,19:00,FC Lugano,FC Sion,1,0,H,NaN,NaN,NaN
SUI,10/05/1994,19:00,BSC Young Boys,Servette Genève,1,4,A,NaN,NaN,NaN
SUI,10/05/1994,19:00,FC Sion,FC Luzern,2,0,H,NaN,NaN,NaN
SUI,10/05/1994,19:00,Lausanne Sports,FC Lugano,0,2,A,NaN,NaN,NaN
SUI,10/05/1994,19:00,FC Aarau,Grasshoppers Zürich,1,1,D,NaN,NaN,NaN
