Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SVK,10/07/2009,18:30,Slovan Bratislava,FK Senica,3,0,H,1,0,H
SVK,11/07/2009,16:30,MFK Petržalka,Tatran Prešov,0,1,A,0,0,D
SVK,11/07/2009,16:30,MFK Ružomberok,MFK Dubnica,1,1,D,1,0,H
SVK,11/07/2009,18:30,MFK Košice,DAC Dunajská Streda,2,0,H,1,0,H
SVK,11/07/2009,18:30,MŠK Žilina,FC Nitra,1,1,D,1,0,H
SVK,12/07/2009,18:30,Spartak Trnava,Dukla Banská Bystrica,0,0,D,0,0,D
SVK,18/07/2009,16:30,FK Senica,Tatran Prešov,3,2,H,2,1,H
SVK,18/07/2009,18:30,Dukla Banská Bystrica,MFK Košice,0,0,D,0,0,D
SVK,18/07/2009,18:30,MFK Dubnica,MFK Petržalka,0,0,D,0,0,D
SVK,18/07/2009,18:30,DAC Dunajská Streda,MFK Ružomberok,1,1,D,1,0,H
SVK,19/07/2009,16:30,FC Nitra,Spartak Trnava,1,0,H,0,0,D
SVK,16/09/2009,16:00,Slovan Bratislava,MŠK Žilina,2,1,H,0,0,D
SVK,25/07/2009,16:30,MFK Petržalka,DAC Dunajská Streda,1,0,H,0,0,D
SVK,25/07/2009,16:30,MFK Ružomberok,Dukla Banská Bystrica,1,1,D,0,1,A
SVK,25/07/2009,18:30,MFK Košice,FC Nitra,0,1,A,0,1,A
SVK,25/07/2009,18:30,Tatran Prešov,MFK Dubnica,0,0,D,0,0,D
SVK,26/07/2009,16:30,MŠK Žilina,FK Senica,3,0,H,2,0,H
SVK,26/07/2009,18:30,Spartak Trnava,Slovan Bratislava,0,2,A,0,1,A
SVK,01/08/2009,15:30,FK Senica,MFK Dubnica,2,1,H,2,1,H
SVK,01/08/2009,18:30,Dukla Banská Bystrica,MFK Petržalka,3,0,H,2,0,H
SVK,01/08/2009,18:30,FC Nitra,MFK Ružomberok,2,0,H,0,0,D
SVK,01/08/2009,18:30,DAC Dunajská Streda,Tatran Prešov,3,0,H,1,0,H
SVK,02/08/2009,18:30,Slovan Bratislava,MFK Košice,3,0,H,1,0,H
SVK,02/08/2009,18:30,MŠK Žilina,Spartak Trnava,2,1,H,0,1,A
SVK,08/08/2009,16:30,MFK Petržalka,FC Nitra,0,0,D,0,0,D
SVK,08/08/2009,18:30,MFK Dubnica,DAC Dunajská Streda,1,3,A,0,2,A
SVK,08/08/2009,18:30,Tatran Prešov,Dukla Banská Bystrica,0,1,A,0,1,A
SVK,08/08/2009,18:30,Spartak Trnava,FK Senica,3,0,H,3,0,H
SVK,09/08/2009,18:30,MFK Ružomberok,Slovan Bratislava,1,3,A,1,0,H
SVK,09/08/2009,18:30,MFK Košice,MŠK Žilina,0,2,A,0,0,D
SVK,15/08/2009,15:30,FK Senica,DAC Dunajská Streda,0,1,A,0,0,D
SVK,15/08/2009,18:30,Dukla Banská Bystrica,MFK Dubnica,3,0,H,2,0,H
SVK,15/08/2009,18:30,FC Nitra,Tatran Prešov,1,0,H,1,0,H
SVK,15/08/2009,18:30,Slovan Bratislava,MFK Petržalka,1,1,D,1,1,D
SVK,15/08/2009,18:30,MŠK Žilina,MFK Ružomberok,1,0,H,0,0,D
SVK,16/08/2009,18:30,Spartak Trnava,MFK Košice,5,4,H,4,3,H
SVK,22/08/2009,16:30,MFK Ružomberok,Spartak Trnava,2,1,H,0,1,A
SVK,22/08/2009,18:30,DAC Dunajská Streda,Dukla Banská Bystrica,0,2,A,0,1,A
SVK,22/08/2009,18:30,MFK Dubnica,FC Nitra,3,0,H,1,0,H
SVK,23/08/2009,16:30,MFK Petržalka,MŠK Žilina,1,0,H,1,0,H
SVK,23/08/2009,18:30,MFK Košice,FK Senica,0,1,A,0,1,A
SVK,23/08/2009,18:30,Tatran Prešov,Slovan Bratislava,3,0,H,1,0,H
SVK,29/08/2009,15:00,FK Senica,Dukla Banská Bystrica,2,2,D,1,1,D
SVK,29/08/2009,18:30,Spartak Trnava,MFK Petržalka,2,0,H,1,0,H
SVK,30/08/2009,18:30,FC Nitra,DAC Dunajská Streda,2,0,H,1,0,H
SVK,30/08/2009,18:30,MFK Košice,MFK Ružomberok,3,1,H,3,0,H
SVK,30/08/2009,18:30,Slovan Bratislava,MFK Dubnica,1,1,D,0,1,A
SVK,30/08/2009,18:30,MŠK Žilina,Tatran Prešov,1,0,H,0,0,D
SVK,12/09/2009,16:30,Dukla Banská Bystrica,FC Nitra,0,3,A,0,2,A
SVK,12/09/2009,16:30,MFK Ružomberok,FK Senica,0,1,A,0,1,A
SVK,12/09/2009,18:30,Tatran Prešov,Spartak Trnava,1,2,A,0,2,A
SVK,12/09/2009,18:30,MFK Dubnica,MŠK Žilina,0,1,A,0,0,D
SVK,13/09/2009,16:30,MFK Petržalka,MFK Košice,3,0,H,3,0,H
SVK,28/10/2009,16:30,DAC Dunajská Streda,Slovan Bratislava,0,0,D,0,0,D
SVK,19/09/2009,14:00,FK Senica,FC Nitra,0,0,D,0,0,D
SVK,19/09/2009,16:30,Slovan Bratislava,Dukla Banská Bystrica,3,0,H,2,0,H
SVK,19/09/2009,18:30,MFK Ružomberok,MFK Petržalka,2,0,H,1,0,H
SVK,19/09/2009,18:30,Spartak Trnava,MFK Dubnica,1,0,H,1,0,H
SVK,19/09/2009,18:30,MŠK Žilina,DAC Dunajská Streda,1,0,H,0,0,D
SVK,20/09/2009,18:15,MFK Košice,Tatran Prešov,0,1,A,0,1,A
SVK,26/09/2009,16:30,Dukla Banská Bystrica,MŠK Žilina,1,0,H,1,0,H
SVK,26/09/2009,16:30,FC Nitra,Slovan Bratislava,0,1,A,0,1,A
SVK,26/09/2009,18:30,MFK Dubnica,MFK Košice,1,0,H,1,0,H
SVK,26/09/2009,18:30,Tatran Prešov,MFK Ružomberok,1,0,H,1,0,H
SVK,27/09/2009,18:30,MFK Petržalka,FK Senica,1,2,A,1,1,D
SVK,27/09/2009,18:30,DAC Dunajská Streda,Spartak Trnava,2,1,H,1,0,H
SVK,03/10/2009,13:30,FK Senica,Slovan Bratislava,0,2,A,0,1,A
SVK,03/10/2009,16:30,MFK Dubnica,MFK Ružomberok,1,2,A,1,1,D
SVK,03/10/2009,16:30,DAC Dunajská Streda,MFK Košice,1,1,D,0,1,A
SVK,03/10/2009,16:30,Dukla Banská Bystrica,Spartak Trnava,1,0,H,1,0,H
SVK,03/10/2009,16:30,FC Nitra,MŠK Žilina,0,1,A,0,1,A
SVK,03/10/2009,16:30,Tatran Prešov,MFK Petržalka,2,0,H,2,0,H
SVK,17/10/2009,16:30,MFK Ružomberok,DAC Dunajská Streda,0,0,D,0,0,D
SVK,17/10/2009,16:30,Spartak Trnava,FC Nitra,1,2,A,1,1,D
