Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SVN,16/07/2016,17:15,Rudar Velenje,NK Krško,1,1,D,1,0,H
SVN,16/07/2016,19:15,Olimpija Ljubljana,NK Celje,1,0,H,1,0,H
SVN,17/07/2016,17:15,ND Gorica,NK Aluminij,2,0,H,1,0,H
SVN,17/07/2016,17:15,NK Domžale,NK Radomlje,2,0,H,1,0,H
SVN,17/07/2016,19:15,NK Maribor,FC Koper,1,0,H,0,0,D
SVN,22/07/2016,17:00,NK Celje,ND Gorica,1,0,H,0,0,D
SVN,23/07/2016,17:15,FC Koper,NK Aluminij,1,0,H,0,0,D
SVN,23/07/2016,19:15,NK Radomlje,Olimpija Ljubljana,0,2,A,0,0,D
SVN,24/07/2016,17:15,NK Krško,NK Domžale,1,1,D,1,0,H
SVN,24/07/2016,19:15,NK Maribor,Rudar Velenje,2,0,H,1,0,H
SVN,30/07/2016,19:15,ND Gorica,NK Radomlje,2,1,H,0,0,D
SVN,30/07/2016,19:15,Rudar Velenje,FC Koper,2,0,H,0,0,D
SVN,31/07/2016,17:15,NK Aluminij,NK Celje,2,4,A,1,1,D
SVN,31/07/2016,19:15,NK Domžale,NK Maribor,2,2,D,0,2,A
SVN,01/08/2016,19:15,Olimpija Ljubljana,NK Krško,3,1,H,2,1,H
SVN,06/08/2016,17:15,NK Radomlje,NK Aluminij,2,2,D,1,0,H
SVN,06/08/2016,17:15,NK Krško,ND Gorica,1,0,H,0,0,D
SVN,06/08/2016,19:15,FC Koper,NK Celje,2,1,H,1,1,D
SVN,07/08/2016,17:15,Rudar Velenje,NK Domžale,0,2,A,0,1,A
SVN,08/08/2016,19:15,NK Maribor,Olimpija Ljubljana,1,1,D,1,0,H
SVN,12/08/2016,17:15,NK Celje,NK Radomlje,0,0,D,0,0,D
SVN,13/08/2016,16:55,ND Gorica,NK Maribor,2,1,H,1,0,H
SVN,13/08/2016,19:15,NK Domžale,FC Koper,2,0,H,0,0,D
SVN,14/08/2016,16:30,NK Aluminij,NK Krško,3,0,H,1,0,H
SVN,14/08/2016,19:15,Olimpija Ljubljana,Rudar Velenje,0,2,A,0,1,A
SVN,20/08/2016,17:15,FC Koper,NK Radomlje,3,0,H,2,0,H
SVN,20/08/2016,17:15,Rudar Velenje,ND Gorica,1,2,A,1,1,D
SVN,20/08/2016,19:15,NK Domžale,Olimpija Ljubljana,1,3,A,0,1,A
SVN,21/08/2016,17:15,NK Krško,NK Celje,1,0,H,1,0,H
SVN,21/08/2016,19:15,NK Maribor,NK Aluminij,0,2,A,0,1,A
SVN,26/08/2016,18:00,NK Radomlje,NK Krško,2,2,D,1,1,D
SVN,26/08/2016,19:15,ND Gorica,NK Domžale,3,1,H,1,0,H
SVN,27/08/2016,19:15,Olimpija Ljubljana,FC Koper,0,1,A,0,0,D
SVN,28/08/2016,16:00,NK Aluminij,Rudar Velenje,0,3,A,0,1,A
SVN,28/08/2016,19:15,NK Celje,NK Maribor,0,3,A,0,0,D
SVN,09/09/2016,19:15,NK Domžale,NK Aluminij,2,0,H,0,0,D
SVN,10/09/2016,17:15,Rudar Velenje,NK Celje,1,3,A,1,1,D
SVN,10/09/2016,19:15,FC Koper,NK Krško,1,0,H,0,0,D
SVN,10/09/2016,19:15,NK Maribor,NK Radomlje,4,0,H,2,0,H
SVN,11/09/2016,15:55,Olimpija Ljubljana,ND Gorica,1,0,H,0,0,D
SVN,17/09/2016,15:00,NK Celje,NK Domžale,2,1,H,1,0,H
SVN,17/09/2016,17:15,NK Radomlje,Rudar Velenje,2,2,D,0,0,D
SVN,17/09/2016,19:15,NK Krško,NK Maribor,1,2,A,1,1,D
SVN,18/09/2016,15:00,NK Aluminij,Olimpija Ljubljana,0,3,A,0,1,A
SVN,28/09/2016,17:15,ND Gorica,FC Koper,1,1,D,1,1,D
SVN,21/09/2016,15:00,NK Aluminij,ND Gorica,0,0,D,0,0,D
SVN,21/09/2016,17:15,NK Celje,Olimpija Ljubljana,0,1,A,0,0,D
SVN,21/09/2016,17:15,NK Radomlje,NK Domžale,0,5,A,0,3,A
SVN,21/09/2016,17:15,NK Krško,Rudar Velenje,1,0,H,0,0,D
SVN,21/09/2016,19:15,FC Koper,NK Maribor,1,2,A,1,1,D
SVN,24/09/2016,17:15,ND Gorica,NK Celje,0,1,A,0,1,A
SVN,24/09/2016,17:15,NK Domžale,NK Krško,5,0,H,3,0,H
SVN,24/09/2016,19:15,Olimpija Ljubljana,NK Radomlje,2,0,H,1,0,H
SVN,25/09/2016,14:00,NK Aluminij,FC Koper,0,0,D,0,0,D
SVN,25/09/2016,15:55,Rudar Velenje,NK Maribor,1,1,D,0,1,A
SVN,01/10/2016,15:00,NK Celje,NK Aluminij,1,0,H,1,0,H
SVN,01/10/2016,17:00,FC Koper,Rudar Velenje,1,4,A,1,2,A
SVN,01/10/2016,19:15,NK Maribor,NK Domžale,3,1,H,0,1,A
SVN,02/10/2016,15:55,NK Krško,Olimpija Ljubljana,1,2,A,0,1,A
SVN,02/10/2016,18:00,NK Radomlje,ND Gorica,2,4,A,0,2,A
SVN,14/10/2016,19:00,ND Gorica,NK Krško,1,1,D,0,1,A
SVN,15/10/2016,14:00,NK Aluminij,NK Radomlje,2,1,H,1,0,H
SVN,15/10/2016,16:00,NK Domžale,Rudar Velenje,3,1,H,0,0,D
SVN,15/10/2016,19:30,Olimpija Ljubljana,NK Maribor,1,3,A,0,1,A
SVN,16/10/2016,15:55,NK Celje,FC Koper,1,1,D,0,1,A
SVN,21/10/2016,18:00,NK Radomlje,NK Celje,0,3,A,0,1,A
SVN,22/10/2016,15:00,NK Krško,NK Aluminij,2,2,D,0,1,A
SVN,22/10/2016,17:00,FC Koper,NK Domžale,1,3,A,1,2,A
SVN,22/10/2016,19:15,NK Maribor,ND Gorica,1,0,H,0,0,D
