Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SWE,04/08/1929,,AIK Solna,Stattena IF,6,0,H,NaN,NaN,NaN
SWE,04/08/1929,,IFK Göteborg,Landskrona BoIS,1,5,A,NaN,NaN,NaN
SWE,04/08/1929,,Helsingborgs IF,IF Elfsborg,6,2,H,NaN,NaN,NaN
SWE,04/08/1929,,IFK Malmö,IK Sleipner,2,5,A,NaN,NaN,NaN
SWE,04/08/1929,,IFK Norrköping,Örgryte IS,5,3,H,NaN,NaN,NaN
SWE,04/08/1929,,Sandvikens IF,GAIS Göteborg,4,2,H,NaN,NaN,NaN
SWE,07/08/1929,,Stattena IF,Helsingborgs IF,0,2,A,NaN,NaN,NaN
SWE,09/08/1929,,GAIS Göteborg,IFK Göteborg,1,1,D,NaN,NaN,NaN
SWE,11/08/1929,,IF Elfsborg,Örgryte IS,4,0,H,NaN,NaN,NaN
SWE,11/08/1929,,GAIS Göteborg,IK Sleipner,0,2,A,NaN,NaN,NaN
SWE,11/08/1929,,IFK Malmö,IFK Norrköping,4,1,H,NaN,NaN,NaN
SWE,11/08/1929,,Landskrona BoIS,IFK Göteborg,0,5,A,NaN,NaN,NaN
SWE,11/08/1929,,Sandvikens IF,Helsingborgs IF,2,5,A,NaN,NaN,NaN
SWE,11/08/1929,,Stattena IF,AIK Solna,0,5,A,NaN,NaN,NaN
SWE,14/08/1929,,IK Sleipner,IFK Norrköping,1,1,D,NaN,NaN,NaN
SWE,16/08/1929,,Örgryte IS,GAIS Göteborg,0,1,A,NaN,NaN,NaN
SWE,18/08/1929,,Helsingborgs IF,AIK Solna,5,0,H,NaN,NaN,NaN
SWE,18/08/1929,,IFK Malmö,IFK Göteborg,0,0,D,NaN,NaN,NaN
SWE,18/08/1929,,IFK Norrköping,Stattena IF,2,3,A,NaN,NaN,NaN
SWE,18/08/1929,,Örgryte IS,Landskrona BoIS,5,3,H,NaN,NaN,NaN
SWE,18/08/1929,,Sandvikens IF,IF Elfsborg,4,1,H,NaN,NaN,NaN
SWE,21/08/1929,,Stattena IF,IFK Malmö,4,3,H,NaN,NaN,NaN
SWE,23/08/1929,,IFK Göteborg,Örgryte IS,0,2,A,NaN,NaN,NaN
SWE,25/08/1929,,IF Elfsborg,Sandvikens IF,4,1,H,NaN,NaN,NaN
SWE,25/08/1929,,IFK Göteborg,IFK Norrköping,4,0,H,NaN,NaN,NaN
SWE,25/08/1929,,Landskrona BoIS,AIK Solna,1,3,A,NaN,NaN,NaN
SWE,25/08/1929,,IK Sleipner,GAIS Göteborg,0,6,A,NaN,NaN,NaN
SWE,25/08/1929,,Stattena IF,Örgryte IS,2,6,A,NaN,NaN,NaN
SWE,01/09/1929,,AIK Solna,IK Sleipner,3,1,H,NaN,NaN,NaN
SWE,01/09/1929,,GAIS Göteborg,Stattena IF,3,1,H,NaN,NaN,NaN
SWE,01/09/1929,,Helsingborgs IF,IFK Göteborg,2,2,D,NaN,NaN,NaN
SWE,01/09/1929,,IFK Malmö,IF Elfsborg,1,1,D,NaN,NaN,NaN
SWE,01/09/1929,,IFK Norrköping,Landskrona BoIS,1,2,A,NaN,NaN,NaN
SWE,01/09/1929,,Sandvikens IF,Örgryte IS,1,6,A,NaN,NaN,NaN
SWE,08/09/1929,,Landskrona BoIS,GAIS Göteborg,1,1,D,NaN,NaN,NaN
SWE,08/09/1929,,Örgryte IS,AIK Solna,2,1,H,NaN,NaN,NaN
SWE,08/09/1929,,Sandvikens IF,IFK Malmö,4,1,H,NaN,NaN,NaN
SWE,08/09/1929,,IK Sleipner,Helsingborgs IF,1,1,D,NaN,NaN,NaN
SWE,08/09/1929,,Stattena IF,IFK Norrköping,1,2,A,NaN,NaN,NaN
SWE,15/09/1929,,AIK Solna,Landskrona BoIS,5,1,H,NaN,NaN,NaN
SWE,15/09/1929,,IF Elfsborg,Helsingborgs IF,3,4,A,NaN,NaN,NaN
SWE,15/09/1929,,IFK Göteborg,Sandvikens IF,6,0,H,NaN,NaN,NaN
SWE,15/09/1929,,IFK Norrköping,GAIS Göteborg,1,4,A,NaN,NaN,NaN
SWE,15/09/1929,,Stattena IF,IK Sleipner,3,4,A,NaN,NaN,NaN
SWE,22/09/1929,,GAIS Göteborg,IF Elfsborg,6,4,H,NaN,NaN,NaN
SWE,22/09/1929,,Helsingborgs IF,IFK Norrköping,11,0,H,NaN,NaN,NaN
SWE,22/09/1929,,IFK Malmö,Örgryte IS,4,6,A,NaN,NaN,NaN
SWE,22/09/1929,,Landskrona BoIS,Stattena IF,4,1,H,NaN,NaN,NaN
SWE,22/09/1929,,IK Sleipner,AIK Solna,1,1,D,NaN,NaN,NaN
SWE,29/09/1929,,Landskrona BoIS,IF Elfsborg,0,0,D,NaN,NaN,NaN
SWE,29/09/1929,,Sandvikens IF,IFK Norrköping,4,0,H,NaN,NaN,NaN
SWE,06/10/1929,,AIK Solna,IFK Göteborg,0,3,A,NaN,NaN,NaN
SWE,06/10/1929,,IF Elfsborg,IK Sleipner,1,0,H,NaN,NaN,NaN
SWE,06/10/1929,,Helsingborgs IF,Landskrona BoIS,8,3,H,NaN,NaN,NaN
SWE,06/10/1929,,IFK Norrköping,Sandvikens IF,4,2,H,NaN,NaN,NaN
SWE,06/10/1929,,Örgryte IS,IFK Malmö,2,3,A,NaN,NaN,NaN
SWE,13/10/1929,,AIK Solna,GAIS Göteborg,1,1,D,NaN,NaN,NaN
SWE,13/10/1929,,IF Elfsborg,IFK Norrköping,3,2,H,NaN,NaN,NaN
SWE,13/10/1929,,IFK Göteborg,Helsingborgs IF,2,2,D,NaN,NaN,NaN
SWE,13/10/1929,,Landskrona BoIS,Örgryte IS,0,5,A,NaN,NaN,NaN
SWE,13/10/1929,,Sandvikens IF,Stattena IF,5,1,H,NaN,NaN,NaN
SWE,13/10/1929,,IK Sleipner,IFK Malmö,1,0,H,NaN,NaN,NaN
SWE,20/10/1929,,IF Elfsborg,AIK Solna,1,2,A,NaN,NaN,NaN
SWE,20/10/1929,,GAIS Göteborg,Landskrona BoIS,4,1,H,NaN,NaN,NaN
SWE,20/10/1929,,Helsingborgs IF,Örgryte IS,0,1,A,NaN,NaN,NaN
SWE,20/10/1929,,IFK Malmö,Sandvikens IF,2,0,H,NaN,NaN,NaN
SWE,20/10/1929,,IK Sleipner,IFK Göteborg,2,2,D,NaN,NaN,NaN
SWE,27/10/1929,,AIK Solna,IF Elfsborg,3,3,D,NaN,NaN,NaN
SWE,27/10/1929,,Helsingborgs IF,IK Sleipner,6,1,H,NaN,NaN,NaN
SWE,27/10/1929,,IFK Malmö,GAIS Göteborg,1,1,D,NaN,NaN,NaN
SWE,27/10/1929,,Landskrona BoIS,Sandvikens IF,5,0,H,NaN,NaN,NaN
SWE,27/10/1929,,IFK Norrköping,IFK Göteborg,2,5,A,NaN,NaN,NaN
SWE,27/10/1929,,Örgryte IS,Stattena IF,1,1,D,NaN,NaN,NaN
SWE,03/11/1929,,AIK Solna,Helsingborgs IF,5,1,H,NaN,NaN,NaN
SWE,03/11/1929,,IF Elfsborg,IFK Malmö,3,2,H,NaN,NaN,NaN
SWE,03/11/1929,,IFK Göteborg,IK Sleipner,1,1,D,NaN,NaN,NaN
SWE,03/11/1929,,Stattena IF,Sandvikens IF,2,1,H,NaN,NaN,NaN
SWE,10/11/1929,,GAIS Göteborg,IFK Malmö,3,1,H,NaN,NaN,NaN
SWE,06/04/1930,,IFK Malmö,Landskrona BoIS,0,2,A,NaN,NaN,NaN
SWE,06/04/1930,,Örgryte IS,IK Sleipner,6,4,H,NaN,NaN,NaN
SWE,13/04/1930,,IF Elfsborg,Landskrona BoIS,3,2,H,NaN,NaN,NaN
SWE,13/04/1930,,IFK Göteborg,IFK Malmö,7,0,H,NaN,NaN,NaN
SWE,13/04/1930,,Helsingborgs IF,Sandvikens IF,2,1,H,NaN,NaN,NaN
SWE,13/04/1930,,IFK Norrköping,AIK Solna,1,4,A,NaN,NaN,NaN
SWE,18/04/1930,,GAIS Göteborg,Sandvikens IF,1,2,A,NaN,NaN,NaN
SWE,20/04/1930,,Örgryte IS,IFK Norrköping,0,2,A,NaN,NaN,NaN
SWE,21/04/1930,,IFK Göteborg,Stattena IF,8,0,H,NaN,NaN,NaN
SWE,21/04/1930,,Helsingborgs IF,GAIS Göteborg,2,2,D,NaN,NaN,NaN
SWE,21/04/1930,,IFK Malmö,AIK Solna,1,1,D,NaN,NaN,NaN
SWE,21/04/1930,,IK Sleipner,IF Elfsborg,1,0,H,NaN,NaN,NaN
SWE,27/04/1930,,AIK Solna,Sandvikens IF,1,2,A,NaN,NaN,NaN
SWE,27/04/1930,,GAIS Göteborg,IFK Norrköping,5,0,H,NaN,NaN,NaN
SWE,27/04/1930,,Landskrona BoIS,Helsingborgs IF,3,2,H,NaN,NaN,NaN
SWE,27/04/1930,,IK Sleipner,Stattena IF,3,1,H,NaN,NaN,NaN
SWE,02/05/1930,,IFK Göteborg,GAIS Göteborg,4,0,H,NaN,NaN,NaN
SWE,04/05/1930,,IF Elfsborg,IFK Göteborg,0,2,A,NaN,NaN,NaN
SWE,04/05/1930,,Landskrona BoIS,IK Sleipner,1,2,A,NaN,NaN,NaN
SWE,04/05/1930,,IFK Norrköping,IFK Malmö,2,4,A,NaN,NaN,NaN
SWE,04/05/1930,,Örgryte IS,Helsingborgs IF,1,3,A,NaN,NaN,NaN
SWE,04/05/1930,,Sandvikens IF,AIK Solna,2,1,H,NaN,NaN,NaN
SWE,04/05/1930,,Stattena IF,GAIS Göteborg,1,2,A,NaN,NaN,NaN
SWE,09/05/1930,,GAIS Göteborg,Örgryte IS,1,0,H,NaN,NaN,NaN
SWE,09/05/1930,,IFK Malmö,Stattena IF,2,0,H,NaN,NaN,NaN
SWE,11/05/1930,,AIK Solna,Örgryte IS,3,3,D,NaN,NaN,NaN
SWE,11/05/1930,,IFK Göteborg,IF Elfsborg,1,6,A,NaN,NaN,NaN
SWE,11/05/1930,,IFK Norrköping,Helsingborgs IF,1,1,D,NaN,NaN,NaN
SWE,11/05/1930,,Sandvikens IF,Landskrona BoIS,2,2,D,NaN,NaN,NaN
SWE,14/05/1930,,IFK Norrköping,IK Sleipner,0,7,A,NaN,NaN,NaN
SWE,16/05/1930,,Örgryte IS,IFK Göteborg,3,1,H,NaN,NaN,NaN
SWE,16/05/1930,,Stattena IF,Landskrona BoIS,2,2,D,NaN,NaN,NaN
SWE,18/05/1930,,IF Elfsborg,Stattena IF,2,1,H,NaN,NaN,NaN
SWE,18/05/1930,,GAIS Göteborg,AIK Solna,1,1,D,NaN,NaN,NaN
SWE,18/05/1930,,Helsingborgs IF,IFK Malmö,2,3,A,NaN,NaN,NaN
SWE,18/05/1930,,IK Sleipner,Sandvikens IF,3,0,H,NaN,NaN,NaN
SWE,21/05/1930,,Örgryte IS,IF Elfsborg,4,1,H,NaN,NaN,NaN
SWE,25/05/1930,,AIK Solna,IFK Norrköping,3,1,H,NaN,NaN,NaN
SWE,25/05/1930,,IF Elfsborg,GAIS Göteborg,0,1,A,NaN,NaN,NaN
SWE,25/05/1930,,IFK Malmö,Helsingborgs IF,0,3,A,NaN,NaN,NaN
SWE,25/05/1930,,Örgryte IS,Sandvikens IF,3,1,H,NaN,NaN,NaN
SWE,25/05/1930,,IK Sleipner,Landskrona BoIS,3,1,H,NaN,NaN,NaN
SWE,25/05/1930,,Stattena IF,IFK Göteborg,1,8,A,NaN,NaN,NaN
SWE,28/05/1930,,Helsingborgs IF,Stattena IF,7,0,H,NaN,NaN,NaN
SWE,29/05/1930,,IFK Göteborg,AIK Solna,3,1,H,NaN,NaN,NaN
SWE,29/05/1930,,Landskrona BoIS,IFK Malmö,9,2,H,NaN,NaN,NaN
SWE,29/05/1930,,IFK Norrköping,IF Elfsborg,3,0,H,NaN,NaN,NaN
SWE,29/05/1930,,Sandvikens IF,IK Sleipner,1,3,A,NaN,NaN,NaN
SWE,01/06/1930,,AIK Solna,IFK Malmö,2,1,H,NaN,NaN,NaN
SWE,01/06/1930,,GAIS Göteborg,Helsingborgs IF,0,3,A,NaN,NaN,NaN
SWE,01/06/1930,,Landskrona BoIS,IFK Norrköping,6,1,H,NaN,NaN,NaN
SWE,01/06/1930,,Sandvikens IF,IFK Göteborg,0,1,A,NaN,NaN,NaN
SWE,01/06/1930,,IK Sleipner,Örgryte IS,2,0,H,NaN,NaN,NaN
SWE,01/06/1930,,Stattena IF,IF Elfsborg,3,3,D,NaN,NaN,NaN
