Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
UKR,15/07/2004,14:30,Metalurh Donetsk,FK Obolon Kiev,2,1,H,NaN,NaN,NaN
UKR,15/07/2004,15:00,Dnipro Dnipropetrovsk,Metalist Kharkov,4,2,H,NaN,NaN,NaN
UKR,15/07/2004,15:00,Borysfen Boryspil,Metalurg Zaporizhya,1,1,D,NaN,NaN,NaN
UKR,15/07/2004,16:00,Vorskla-Naftohaz,Arsenal Kiev,3,0,H,NaN,NaN,NaN
UKR,15/07/2004,17:00,Dinamo Kiev,Shakhtar Donetsk,0,2,A,NaN,NaN,NaN
UKR,15/07/2004,17:00,Volyn Lutsk,Tavriya Simferopol,1,0,H,NaN,NaN,NaN
UKR,15/07/2004,17:00,Chernomorets Odessa,FK Krivbas,3,1,H,NaN,NaN,NaN
UKR,18/10/2004,15:00,FK Illichivets,Zakarpattya Uzhgorod,3,0,H,NaN,NaN,NaN
UKR,20/07/2004,16:00,Zakarpattya Uzhgorod,Dinamo Kiev,1,2,A,NaN,NaN,NaN
UKR,20/07/2004,16:00,FK Obolon Kiev,Vorskla-Naftohaz,0,1,A,NaN,NaN,NaN
UKR,20/07/2004,16:00,Metalist Kharkov,Metalurh Donetsk,1,4,A,NaN,NaN,NaN
UKR,20/07/2004,17:00,Tavriya Simferopol,Metalurg Zaporizhya,1,1,D,NaN,NaN,NaN
UKR,20/07/2004,17:00,FK Krivbas,Dnipro Dnipropetrovsk,1,2,A,NaN,NaN,NaN
UKR,20/07/2004,17:00,Volyn Lutsk,FK Illichivets,3,2,H,NaN,NaN,NaN
UKR,20/07/2004,17:30,Shakhtar Donetsk,Chernomorets Odessa,1,0,H,NaN,NaN,NaN
UKR,24/08/2004,17:00,Arsenal Kiev,Borysfen Boryspil,2,1,H,NaN,NaN,NaN
UKR,24/07/2004,15:00,Dnipro Dnipropetrovsk,Shakhtar Donetsk,1,3,A,NaN,NaN,NaN
UKR,25/07/2004,12:00,FK Illichivets,Tavriya Simferopol,2,2,D,NaN,NaN,NaN
UKR,25/07/2004,12:00,Chernomorets Odessa,Zakarpattya Uzhgorod,0,0,D,NaN,NaN,NaN
UKR,25/07/2004,12:00,Vorskla-Naftohaz,Metalist Kharkov,0,1,A,NaN,NaN,NaN
UKR,25/07/2004,12:00,Borysfen Boryspil,FK Obolon Kiev,0,0,D,NaN,NaN,NaN
UKR,25/07/2004,12:00,Metalurg Zaporizhya,Arsenal Kiev,0,0,D,NaN,NaN,NaN
UKR,25/07/2004,15:00,Metalurh Donetsk,FK Krivbas,1,1,D,NaN,NaN,NaN
UKR,25/07/2004,17:00,Dinamo Kiev,Volyn Lutsk,3,0,H,NaN,NaN,NaN
UKR,31/07/2004,17:30,Shakhtar Donetsk,Metalurh Donetsk,3,0,H,NaN,NaN,NaN
UKR,01/08/2004,14:00,FK Krivbas,Vorskla-Naftohaz,1,0,H,NaN,NaN,NaN
UKR,01/08/2004,17:00,FK Obolon Kiev,Metalurg Zaporizhya,0,0,D,NaN,NaN,NaN
UKR,01/08/2004,17:00,Metalist Kharkov,Borysfen Boryspil,3,1,H,NaN,NaN,NaN
UKR,01/08/2004,17:00,Zakarpattya Uzhgorod,Dnipro Dnipropetrovsk,0,0,D,NaN,NaN,NaN
UKR,01/08/2004,18:00,Tavriya Simferopol,Arsenal Kiev,1,1,D,NaN,NaN,NaN
UKR,01/08/2004,18:00,Volyn Lutsk,Chernomorets Odessa,1,0,H,NaN,NaN,NaN
UKR,02/08/2004,12:00,FK Illichivets,Dinamo Kiev,1,1,D,NaN,NaN,NaN
UKR,07/08/2004,16:00,Chernomorets Odessa,FK Illichivets,0,1,A,NaN,NaN,NaN
UKR,07/08/2004,17:00,Dnipro Dnipropetrovsk,Volyn Lutsk,1,0,H,NaN,NaN,NaN
UKR,13/08/2004,15:00,Arsenal Kiev,FK Obolon Kiev,1,0,H,NaN,NaN,NaN
UKR,14/08/2004,16:00,Dinamo Kiev,Tavriya Simferopol,1,0,H,NaN,NaN,NaN
UKR,14/08/2004,16:00,Vorskla-Naftohaz,Shakhtar Donetsk,0,2,A,NaN,NaN,NaN
UKR,14/08/2004,16:00,Borysfen Boryspil,FK Krivbas,0,0,D,NaN,NaN,NaN
UKR,14/08/2004,16:00,Metalurg Zaporizhya,Metalist Kharkov,1,4,A,NaN,NaN,NaN
UKR,15/08/2004,17:00,Metalurh Donetsk,Zakarpattya Uzhgorod,2,0,H,NaN,NaN,NaN
UKR,29/08/2004,15:00,Metalist Kharkov,Arsenal Kiev,1,1,D,NaN,NaN,NaN
UKR,29/08/2004,15:00,FK Krivbas,Metalurg Zaporizhya,0,0,D,NaN,NaN,NaN
UKR,29/08/2004,15:00,Shakhtar Donetsk,Borysfen Boryspil,2,0,H,NaN,NaN,NaN
UKR,29/08/2004,16:00,Dinamo Kiev,Chernomorets Odessa,3,1,H,NaN,NaN,NaN
UKR,29/08/2004,16:00,Tavriya Simferopol,FK Obolon Kiev,0,1,A,NaN,NaN,NaN
UKR,29/08/2004,16:00,Zakarpattya Uzhgorod,Vorskla-Naftohaz,1,0,H,NaN,NaN,NaN
UKR,29/08/2004,17:00,FK Illichivets,Dnipro Dnipropetrovsk,3,0,H,NaN,NaN,NaN
UKR,30/08/2004,17:00,Volyn Lutsk,Metalurh Donetsk,1,2,A,NaN,NaN,NaN
UKR,18/09/2004,15:00,Metalurg Zaporizhya,Shakhtar Donetsk,1,3,A,NaN,NaN,NaN
UKR,18/09/2004,17:00,Arsenal Kiev,FK Krivbas,0,2,A,NaN,NaN,NaN
