Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
WAL,29/01/2016,19:45,Aberystwyth Town,Port Talbot Town,1,0,H,0,0,D
WAL,29/01/2016,19:45,Bangor City,Rhyl FC,4,3,H,0,1,A
WAL,05/04/2016,19:30,Carmarthen Town,Haverfordwest County,1,0,H,0,0,D
WAL,12/02/2016,19:30,Port Talbot Town,Carmarthen Town,0,2,A,0,0,D
WAL,12/02/2016,19:45,Rhyl FC,Aberystwyth Town,0,1,A,0,1,A
WAL,13/02/2016,14:30,Haverfordwest County,Bangor City,1,1,D,0,0,D
WAL,20/02/2016,14:30,Haverfordwest County,Aberystwyth Town,1,3,A,0,2,A
WAL,05/03/2016,14:30,Carmarthen Town,Bangor City,0,1,A,0,1,A
WAL,28/03/2016,14:30,Port Talbot Town,Rhyl FC,4,0,H,1,0,H
WAL,27/02/2016,14:30,Bangor City,Port Talbot Town,0,2,A,0,0,D
WAL,27/02/2016,17:15,Aberystwyth Town,Carmarthen Town,2,4,A,1,0,H
WAL,27/02/2016,17:15,Rhyl FC,Haverfordwest County,1,1,D,1,1,D
WAL,11/03/2016,19:45,Bangor City,Aberystwyth Town,0,0,D,0,0,D
WAL,12/03/2016,14:00,Carmarthen Town,Rhyl FC,2,0,H,2,0,H
WAL,12/03/2016,14:00,Haverfordwest County,Port Talbot Town,1,1,D,0,1,A
WAL,18/03/2016,19:30,Port Talbot Town,Aberystwyth Town,2,2,D,1,0,H
WAL,19/03/2016,14:30,Haverfordwest County,Carmarthen Town,1,2,A,0,1,A
WAL,19/03/2016,17:15,Rhyl FC,Bangor City,3,4,A,1,0,H
WAL,25/03/2016,19:30,Carmarthen Town,Port Talbot Town,2,3,A,2,1,H
WAL,25/03/2016,19:45,Aberystwyth Town,Rhyl FC,3,1,H,1,1,D
WAL,02/04/2016,14:30,Bangor City,Haverfordwest County,5,2,H,3,1,H
WAL,08/04/2016,19:45,Aberystwyth Town,Haverfordwest County,3,1,H,1,1,D
WAL,09/04/2016,14:30,Bangor City,Carmarthen Town,2,2,D,2,0,H
WAL,09/04/2016,14:30,Rhyl FC,Port Talbot Town,5,0,H,2,0,H
WAL,16/04/2016,14:30,Carmarthen Town,Aberystwyth Town,1,0,H,0,0,D
WAL,16/04/2016,14:30,Haverfordwest County,Rhyl FC,1,1,D,0,1,A
WAL,16/04/2016,14:30,Port Talbot Town,Bangor City,1,1,D,1,0,H
WAL,23/04/2016,17:15,Aberystwyth Town,Bangor City,4,0,H,0,0,D
WAL,23/04/2016,17:15,Port Talbot Town,Haverfordwest County,2,0,H,2,0,H
WAL,23/04/2016,17:15,Rhyl FC,Carmarthen Town,1,0,H,1,0,H
