Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AUT,2017-07-22,15:00,Rapid Wien,SV Mattersburg,2,2,D,1,0,H
AUT,2017-07-22,17:30,Wolfsberger AC,RB Salzburg,0,2,A,0,1,A
AUT,2017-07-22,17:30,LASK,FC Admira Wacker,3,0,H,2,0,H
AUT,2017-07-23,15:30,SCR Altach,Austria Wien,3,0,H,2,0,H
AUT,2017-07-23,18:00,Sturm Graz,SKN St. Pölten,3,2,H,1,2,A
AUT,2017-07-29,15:00,RB Salzburg,LASK,1,1,D,1,0,H
AUT,2017-07-29,17:30,SKN St. Pölten,Rapid Wien,1,4,A,0,2,A
AUT,2017-07-29,17:30,SV Mattersburg,Wolfsberger AC,1,0,H,1,0,H
AUT,2017-07-30,15:00,Austria Wien,Sturm Graz,2,3,A,0,1,A
AUT,2017-07-30,17:30,FC Admira Wacker,SCR Altach,4,1,H,3,0,H
AUT,2017-08-05,15:00,LASK,SKN St. Pölten,2,0,H,1,0,H
AUT,2017-08-05,17:30,RB Salzburg,FC Admira Wacker,5,1,H,2,0,H
AUT,2017-08-06,15:30,Wolfsberger AC,SCR Altach,1,0,H,0,0,D
AUT,2017-08-06,15:30,Rapid Wien,Austria Wien,2,2,D,1,0,H
AUT,2017-08-06,18:00,SV Mattersburg,Sturm Graz,2,3,A,1,1,D
